model,policy,checkpoint,repeat,repeat_type,speaker,fold,uar_percent,query_records,minimum_class_support
cnn,U,best,2,panel_draw,1042,4,27.777777777777775,72,12
cnn,U,best,2,panel_draw,1043,4,58.333333333333336,72,12
cnn,U,best,2,panel_draw,1044,2,44.44444444444444,72,12
cnn,U,best,2,panel_draw,1045,0,40.27777777777777,72,12
cnn,U,best,2,panel_draw,1046,2,30.555555555555554,72,12
cnn,U,best,2,panel_draw,1047,1,51.38888888888889,72,12
cnn,U,best,2,panel_draw,1048,2,48.611111111111114,72,12
cnn,U,best,2,panel_draw,1049,3,51.38888888888889,72,12
cnn,U,best,2,panel_draw,1050,2,54.166666666666664,72,12
cnn,U,best,2,panel_draw,1051,3,52.77777777777778,72,12
cnn,U,best,2,panel_draw,1052,0,41.66666666666667,72,12
cnn,U,best,2,panel_draw,1053,0,51.38888888888889,72,12
cnn,U,best,2,panel_draw,1054,4,31.944444444444443,72,12
cnn,U,best,2,panel_draw,1055,1,43.05555555555556,72,12
cnn,U,best,2,panel_draw,1056,2,49.99999999999999,72,12
cnn,U,best,2,panel_draw,1057,1,41.66666666666667,72,12
cnn,U,best,2,panel_draw,1058,4,44.44444444444445,72,12
cnn,U,best,2,panel_draw,1059,2,33.33333333333333,72,12
cnn,U,best,2,panel_draw,1060,2,31.944444444444443,72,12
cnn,U,best,2,panel_draw,1061,0,34.722222222222214,72,12
cnn,U,best,2,panel_draw,1062,4,47.22222222222223,72,12
cnn,U,best,2,panel_draw,1063,2,51.388888888888886,72,12
cnn,U,best,2,panel_draw,1064,1,51.38888888888889,72,12
cnn,U,best,2,panel_draw,1065,1,48.61111111111111,72,12
cnn,U,best,2,panel_draw,1066,4,49.99999999999999,72,12
cnn,U,best,2,panel_draw,1067,4,31.944444444444446,72,12
cnn,U,best,2,panel_draw,1068,0,45.83333333333333,72,12
cnn,U,best,2,panel_draw,1069,4,40.277777777777786,72,12
cnn,U,best,2,panel_draw,1070,2,41.66666666666666,72,12
cnn,U,best,2,panel_draw,1071,2,30.555555555555554,72,12
cnn,U,best,2,panel_draw,1072,3,41.66666666666667,72,12
cnn,U,best,2,panel_draw,1073,4,37.49999999999999,72,12
cnn,U,best,2,panel_draw,1074,4,30.555555555555554,72,12
cnn,U,best,2,panel_draw,1075,1,37.5,72,12
cnn,U,best,2,panel_draw,1076,4,41.91919191919192,70,11
cnn,U,best,2,panel_draw,1077,3,34.72222222222223,72,12
cnn,U,best,2,panel_draw,1078,1,44.44444444444444,72,12
cnn,U,best,2,panel_draw,1079,2,41.66666666666667,72,12
cnn,U,best,2,panel_draw,1080,3,54.166666666666664,72,12
cnn,U,best,2,panel_draw,1081,2,45.83333333333333,72,12
cnn,U,best,2,panel_draw,1082,2,25.0,72,12
cnn,U,best,2,panel_draw,1083,2,43.05555555555556,72,12
cnn,U,best,2,panel_draw,1084,4,31.944444444444446,72,12
cnn,U,best,2,panel_draw,1085,0,63.888888888888886,72,12
cnn,U,best,2,panel_draw,1086,0,48.61111111111111,72,12
cnn,U,best,2,panel_draw,1087,0,30.555555555555554,72,12
cnn,U,best,2,panel_draw,1088,2,36.11111111111111,72,12
cnn,U,best,2,panel_draw,1089,0,52.77777777777778,72,12
cnn,U,best,2,panel_draw,1090,1,51.38888888888889,72,12
cnn,U,best,2,panel_draw,1091,1,29.166666666666668,72,12
cnn,U,last,0,panel_draw,1001,1,23.611111111111107,72,12
cnn,U,last,0,panel_draw,1002,3,35.1010101010101,71,11
cnn,U,last,0,panel_draw,1003,4,48.611111111111114,72,12
cnn,U,last,0,panel_draw,1004,1,45.83333333333333,72,12
cnn,U,last,0,panel_draw,1005,1,31.944444444444446,72,12
cnn,U,last,0,panel_draw,1006,3,37.24747474747475,70,11
cnn,U,last,0,panel_draw,1007,2,41.66666666666667,72,12
cnn,U,last,0,panel_draw,1008,2,33.33333333333333,66,11
cnn,U,last,0,panel_draw,1009,3,54.54545454545454,66,11
cnn,U,last,0,panel_draw,1010,0,55.55555555555555,72,12
cnn,U,last,0,panel_draw,1011,0,51.38888888888889,72,12
cnn,U,last,0,panel_draw,1012,3,41.66666666666667,72,12
cnn,U,last,0,panel_draw,1013,0,53.03030303030303,70,11
cnn,U,last,0,panel_draw,1014,3,48.61111111111111,72,12
cnn,U,last,0,panel_draw,1015,3,38.88888888888889,72,12
cnn,U,last,0,panel_draw,1016,4,41.66666666666667,72,12
cnn,U,last,0,panel_draw,1017,1,40.78282828282829,70,11
cnn,U,last,0,panel_draw,1018,1,58.333333333333336,72,12
cnn,U,last,0,panel_draw,1019,0,42.42424242424242,66,11
cnn,U,last,0,panel_draw,1020,0,47.22222222222223,72,12
cnn,U,last,0,panel_draw,1021,3,41.66666666666666,72,12
cnn,U,last,0,panel_draw,1022,1,40.27777777777777,72,12
cnn,U,last,0,panel_draw,1023,3,44.44444444444444,72,12
cnn,U,last,0,panel_draw,1024,2,34.722222222222214,72,12
cnn,U,last,0,panel_draw,1025,0,33.33333333333333,72,12
cnn,U,last,0,panel_draw,1026,4,52.77777777777778,72,12
cnn,U,last,0,panel_draw,1027,3,56.94444444444443,72,12
cnn,U,last,0,panel_draw,1028,1,45.83333333333333,72,12
cnn,U,last,0,panel_draw,1029,1,38.88888888888889,72,12
cnn,U,last,0,panel_draw,1030,0,55.55555555555556,72,12
cnn,U,last,0,panel_draw,1031,2,36.11111111111111,72,12
cnn,U,last,0,panel_draw,1032,0,48.61111111111111,72,12
cnn,U,last,0,panel_draw,1033,3,41.66666666666667,72,12
cnn,U,last,0,panel_draw,1034,0,43.05555555555556,72,12
cnn,U,last,0,panel_draw,1035,4,45.83333333333333,72,12
cnn,U,last,0,panel_draw,1036,3,30.555555555555557,72,12
cnn,U,last,0,panel_draw,1037,3,56.94444444444445,72,12
cnn,U,last,0,panel_draw,1038,0,52.77777777777778,72,12
cnn,U,last,0,panel_draw,1039,4,40.27777777777777,72,12
