model,policy,checkpoint,speaker,fold,uar_percent
ridge_wavlm,C,best,1031,2,25.0
ridge_wavlm,C,best,1032,0,26.388888888888886
ridge_wavlm,C,best,1033,3,30.09259259259259
ridge_wavlm,C,best,1034,0,23.14814814814815
ridge_wavlm,C,best,1035,4,30.555555555555554
ridge_wavlm,C,best,1036,3,24.074074074074076
ridge_wavlm,C,best,1037,3,33.7962962962963
ridge_wavlm,C,best,1038,0,27.777777777777782
ridge_wavlm,C,best,1039,4,28.240740740740737
ridge_wavlm,C,best,1040,1,26.388888888888886
ridge_wavlm,C,best,1041,1,29.62962962962963
ridge_wavlm,C,best,1042,4,26.851851851851848
ridge_wavlm,C,best,1043,4,25.0
ridge_wavlm,C,best,1044,2,26.38888888888889
ridge_wavlm,C,best,1045,0,29.62962962962963
ridge_wavlm,C,best,1046,2,25.0
ridge_wavlm,C,best,1047,1,34.72222222222222
ridge_wavlm,C,best,1048,2,25.925925925925924
ridge_wavlm,C,best,1049,3,26.388888888888886
ridge_wavlm,C,best,1050,2,32.870370370370374
ridge_wavlm,C,best,1051,3,31.94444444444444
ridge_wavlm,C,best,1052,0,26.85185185185185
ridge_wavlm,C,best,1053,0,25.925925925925924
ridge_wavlm,C,best,1054,4,28.703703703703706
ridge_wavlm,C,best,1055,1,24.537037037037038
ridge_wavlm,C,best,1056,2,29.166666666666668
ridge_wavlm,C,best,1057,1,27.314814814814813
ridge_wavlm,C,best,1058,4,31.018518518518515
ridge_wavlm,C,best,1059,2,30.555555555555554
ridge_wavlm,C,best,1060,2,23.14814814814815
ridge_wavlm,C,best,1061,0,30.092592592592595
ridge_wavlm,C,best,1062,4,24.537037037037038
ridge_wavlm,C,best,1063,2,25.925925925925924
ridge_wavlm,C,best,1064,1,32.40740740740741
ridge_wavlm,C,best,1065,1,29.16666666666666
ridge_wavlm,C,best,1066,4,26.388888888888886
ridge_wavlm,C,best,1067,4,22.222222222222225
ridge_wavlm,C,best,1068,0,27.314814814814813
ridge_wavlm,C,best,1069,4,25.0
ridge_wavlm,C,best,1070,2,24.074074074074076
ridge_wavlm,C,best,1071,2,29.62962962962963
ridge_wavlm,C,best,1072,3,28.240740740740744
ridge_wavlm,C,best,1073,4,27.314814814814813
ridge_wavlm,C,best,1074,4,25.0
ridge_wavlm,C,best,1075,1,33.333333333333336
ridge_wavlm,C,best,1076,4,25.841750841750837
ridge_wavlm,C,best,1077,3,24.074074074074073
ridge_wavlm,C,best,1078,1,25.925925925925924
ridge_wavlm,C,best,1079,2,29.62962962962963
ridge_wavlm,C,best,1080,3,34.25925925925926
ridge_wavlm,C,best,1081,2,31.48148148148148
ridge_wavlm,C,best,1082,2,25.0
ridge_wavlm,C,best,1083,2,29.166666666666668
ridge_wavlm,C,best,1084,4,30.555555555555557
ridge_wavlm,C,best,1085,0,28.240740740740737
ridge_wavlm,C,best,1086,0,24.074074074074073
ridge_wavlm,C,best,1087,0,27.777777777777782
ridge_wavlm,C,best,1088,2,36.11111111111111
ridge_wavlm,C,best,1089,0,30.09259259259259
ridge_wavlm,C,best,1090,1,24.537037037037038
ridge_wavlm,C,best,1091,1,25.462962962962962
ridge_wavlm,U,last,1001,1,24.074074074074076
ridge_wavlm,U,last,1002,3,27.02020202020202
