level,enc,condition,estimator,speaker,uar
cremad,hubert_base,balanced@3,shrink,1035,82.88888888888889
cremad,hubert_base,balanced@3,shrink,1036,52.88888888888889
cremad,hubert_base,balanced@3,shrink,1037,79.11111111111111
cremad,hubert_base,balanced@3,shrink,1038,88.22222222222223
cremad,hubert_base,balanced@3,shrink,1039,85.55555555555559
cremad,hubert_base,balanced@3,shrink,1040,77.33333333333333
cremad,hubert_base,balanced@3,shrink,1041,70.44444444444444
cremad,hubert_base,balanced@3,shrink,1042,57.111111111111114
cremad,hubert_base,balanced@3,shrink,1043,71.33333333333333
cremad,hubert_base,balanced@3,shrink,1044,65.1111111111111
cremad,hubert_base,balanced@3,shrink,1045,60.22222222222222
cremad,hubert_base,balanced@3,shrink,1046,61.55555555555555
cremad,hubert_base,balanced@3,shrink,1047,82.66666666666667
cremad,hubert_base,balanced@3,shrink,1048,66.88888888888887
cremad,hubert_base,balanced@3,shrink,1049,69.55555555555556
cremad,hubert_base,balanced@3,shrink,1050,70.44444444444444
cremad,hubert_base,balanced@3,shrink,1051,74.22222222222221
cremad,hubert_base,balanced@3,shrink,1052,79.55555555555556
cremad,hubert_base,balanced@3,shrink,1053,74.66666666666667
cremad,hubert_base,balanced@3,shrink,1054,79.77777777777779
cremad,hubert_base,balanced@3,shrink,1055,65.11111111111111
cremad,hubert_base,balanced@3,shrink,1056,79.77777777777777
cremad,hubert_base,balanced@3,shrink,1057,60.44444444444445
cremad,hubert_base,balanced@3,shrink,1058,74.22222222222224
cremad,hubert_base,balanced@3,shrink,1059,59.11111111111112
cremad,hubert_base,balanced@3,shrink,1060,41.333333333333336
cremad,hubert_base,balanced@3,shrink,1061,71.1111111111111
cremad,hubert_base,balanced@3,shrink,1062,55.11111111111111
cremad,hubert_base,balanced@3,shrink,1063,72.66666666666667
cremad,hubert_base,balanced@3,shrink,1064,82.8888888888889
cremad,hubert_base,balanced@3,shrink,1065,68.88888888888889
cremad,hubert_base,balanced@3,shrink,1066,73.99999999999999
cremad,hubert_base,balanced@3,shrink,1067,39.333333333333336
cremad,hubert_base,balanced@3,shrink,1068,71.77777777777779
cremad,hubert_base,balanced@3,shrink,1069,79.33333333333334
cremad,hubert_base,balanced@3,shrink,1070,48.666666666666664
cremad,hubert_base,balanced@3,shrink,1071,62.22222222222222
cremad,hubert_base,balanced@3,shrink,1072,72.8888888888889
cremad,hubert_base,balanced@3,shrink,1073,58.666666666666664
cremad,hubert_base,balanced@3,shrink,1074,66.66666666666667
cremad,hubert_base,balanced@3,shrink,1075,76.66666666666667
cremad,hubert_base,balanced@3,shrink,1076,64.66666666666667
cremad,hubert_base,balanced@3,shrink,1077,54.88888888888889
cremad,hubert_base,balanced@3,shrink,1078,85.77777777777779
cremad,hubert_base,balanced@3,shrink,1079,56.88888888888889
cremad,hubert_base,balanced@3,shrink,1080,77.11111111111111
cremad,hubert_base,balanced@3,shrink,1081,84.66666666666669
cremad,hubert_base,balanced@3,shrink,1082,49.333333333333336
cremad,hubert_base,balanced@3,shrink,1083,62.0
cremad,hubert_base,balanced@3,shrink,1084,67.33333333333333
cremad,hubert_base,balanced@3,shrink,1085,71.77777777777777
cremad,hubert_base,balanced@3,shrink,1086,57.55555555555555
cremad,hubert_base,balanced@3,shrink,1087,64.88888888888889
cremad,hubert_base,balanced@3,shrink,1088,72.66666666666667
