level,enc,class,N,recall_single,recall_none,diff,ci_lo,ci_hi,n
subesco_980,hubert_base,FEAR,3,14.888888888888886,40.55555555555554,-25.666666666666664,-35.22222222222222,-16.111111111111107,20
subesco_980,hubert_base,HAPPY,3,12.777777777777775,33.888888888888886,-21.111111111111114,-32.33333333333333,-10.333333333333332,20
subesco_980,hubert_base,NEUTRAL,3,11.777777777777777,59.999999999999986,-48.222222222222214,-58.444444444444436,-37.99999999999999,20
subesco_980,hubert_base,SAD,3,14.22222222222222,39.44444444444444,-25.22222222222222,-35.66666666666666,-15.444444444444443,20
subesco_980,hubert_base,SURPRISE,3,16.888888888888893,42.777777777777764,-25.888888888888886,-38.44444444444444,-12.555555555555552,20
subesco_980,wav2vec2_base,ANGRY,3,12.444444444444441,42.77777777777777,-30.333333333333332,-42.999999999999986,-18.333333333333332,20
subesco_980,wav2vec2_base,DISGUST,3,17.333333333333332,36.666666666666664,-19.333333333333325,-30.89166666666667,-7.11111111111111,20
subesco_980,wav2vec2_base,FEAR,3,10.11111111111111,44.444444444444436,-34.33333333333333,-50.222222222222214,-19.333333333333332,20
subesco_980,wav2vec2_base,HAPPY,3,20.33333333333333,44.999999999999986,-24.666666666666664,-37.11388888888889,-10.999999999999996,20
subesco_980,wav2vec2_base,NEUTRAL,3,9.666666666666666,62.77777777777777,-53.11111111111111,-65.33333333333333,-40.44444444444444,20
subesco_980,wav2vec2_base,SAD,3,16.111111111111107,42.77777777777778,-26.666666666666664,-38.44444444444444,-15.330555555555595,20
subesco_980,wav2vec2_base,SURPRISE,3,16.666666666666664,38.88888888888888,-22.222222222222218,-31.444444444444446,-12.666666666666666,20
subesco_980,wavlm_base_plus,ANGRY,3,9.444444444444441,51.666666666666664,-42.222222222222214,-53.78055555555556,-29.99999999999999,20
subesco_980,wavlm_base_plus,DISGUST,3,14.888888888888886,28.333333333333325,-13.444444444444446,-26.0,-1.2222222222222232,20
subesco_980,wavlm_base_plus,FEAR,3,14.555555555555557,43.33333333333333,-28.77777777777777,-44.33333333333333,-13.777777777777777,20
subesco_980,wavlm_base_plus,HAPPY,3,18.666666666666664,48.33333333333333,-29.666666666666664,-40.888888888888886,-16.999999999999993,20
subesco_980,wavlm_base_plus,NEUTRAL,3,11.666666666666664,76.1111111111111,-64.44444444444443,-73.22222222222221,-54.999999999999986,20
subesco_980,wavlm_base_plus,SAD,3,14.666666666666663,45.0,-30.333333333333332,-41.99999999999999,-18.22222222222222,20
subesco_980,wavlm_base_plus,SURPRISE,3,20.999999999999996,42.77777777777777,-21.77777777777777,-29.666666666666664,-14.11111111111111,20
