corpus,model,window,criterion,n_draws,folds_per_draw,df,mean_pp,sd_draw_pp,se_pp,pointwise_95_low_pp,pointwise_95_high_pp
ravdess,wavlm_base_plus,7,CE,24,5,23,0.19965277777777776,1.0434390115446157,0.2129910963331962,-0.2409528746033853,0.6402584301589408
ravdess,wavlm_base_plus,7,UAR,24,5,23,0.26041666666666663,2.344378941377214,0.4785443475083643,-0.729527739729529,1.2503610730628623
ravdess,wavlm_base_plus,8,CE,24,5,23,0.24305555555555558,1.027377843587433,0.2097126241525098,-0.19076806039848337,0.6768791715095945
ravdess,wavlm_base_plus,8,UAR,24,5,23,0.5729166666666667,2.4652246200977777,0.503211868382172,-0.468056394515302,1.6138897278486355
ravdess,wavlm_base_plus,9,CE,24,5,23,0.13888888888888892,0.9687654211540752,0.19774841352332775,-0.27018487169443617,0.547962649472214
ravdess,wavlm_base_plus,9,UAR,24,5,23,0.13020833333333337,2.2729078245421075,0.46395536687562666,-0.8295564672486935,1.0899731339153602
ravdess,wavlm_base_plus,10,CE,24,5,23,0.15624999999999997,0.8562298342066266,0.1747771830295061,-0.2053041498015908,0.5178041498015907
ravdess,wavlm_base_plus,10,UAR,24,5,23,-0.234375,2.122203064843219,0.43319288661970745,-1.1305027616852539,0.6617527616852539
ravdess,wavlm_base_plus,11,CE,24,5,23,0.24305555555555547,1.1843679562182465,0.24175809670313927,-0.2570591710698179,0.7431702821809288
ravdess,wavlm_base_plus,11,UAR,24,5,23,0.10416666666666667,2.776116653078106,0.5666724388736989,-1.0680845866241335,1.276417919957467
ravdess,wavlm_base_plus,12,CE,24,5,23,0.16493055555555552,0.8965580289728156,0.18300914131490129,-0.21365269740177018,0.5435138085128812
ravdess,wavlm_base_plus,12,UAR,24,5,23,-0.4166666666666668,2.447362525931402,0.4995657836784083,-1.4500972269779622,0.6167638936446287
ravdess,wavlm_base_plus,13,CE,24,5,23,-0.4600694444444445,1.4209483020481068,0.29004985757433427,-1.0600832897165522,0.13994440082766318
ravdess,wavlm_base_plus,13,UAR,24,5,23,0.17361111111111122,2.7982338575281855,0.5711870943269913,-1.0079794185415625,1.3552016407637848
ravdess,wavlm_base_plus,14,CE,24,5,23,-0.1041666666666667,1.2842529172852035,0.2621470290024566,-0.6464591132613416,0.4381257799280082
ravdess,wavlm_base_plus,14,UAR,24,5,23,1.1631944444444444,2.1745576993036178,0.44387973162786654,0.2449592595016934,2.0814296293871957
ravdess,wavlm_base_plus,15,CE,24,5,23,0.2170138888888888,1.198326830641552,0.24460744001319637,-0.28899515345953075,0.7230229312373084
ravdess,wavlm_base_plus,15,UAR,24,5,23,0.7031250000000001,2.125313009768856,0.4338277014693715,-0.19431597625521835,1.6005659762552185
ravdess,wavlm_base_plus,16,CE,24,5,23,0.16493055555555555,1.8389029022372778,0.37536448308370246,-0.6115700390565577,0.9414311501676689
ravdess,wavlm_base_plus,16,UAR,24,5,23,0.5208333333333333,2.438092180017169,0.4976734822426611,-0.508682703211697,1.5503493698783635
ravdess,wavlm_base_plus,17,CE,24,5,23,0.5295138888888888,2.0029597350625408,0.4088524438536172,-0.31626183062732316,1.375289608405101
ravdess,wavlm_base_plus,17,UAR,24,5,23,0.3211805555555554,2.4504288039994573,0.5001916850680935,-0.7135447804288844,1.355905891539995
ravdess,wavlm_base_plus,18,CE,24,5,23,0.2430555555555555,1.5119125734081418,0.30861786171234684,-0.3953691327869443,0.8814802438980552
ravdess,wavlm_base_plus,18,UAR,24,5,23,0.451388888888889,2.567526049741864,0.5240940602642756,-0.6327822774522243,1.5355600552300024
ravdess,wavlm_base_plus,19,CE,24,5,23,0.19965277777777762,1.6997166557822627,0.34695320949803155,-0.51807461950964,0.9173801750651951
ravdess,wavlm_base_plus,19,UAR,24,5,23,0.295138888888889,2.265510037202097,0.4624452998582394,-0.6615021000653769,1.251779877843155
