corpus,model,window,criterion,draw,folds,seen_minus_unseen_outer_uar_pp
subesco,wavlm_base_plus,4,CE,17,5,0.0
subesco,wavlm_base_plus,4,CE,18,5,0.0
subesco,wavlm_base_plus,4,CE,19,5,0.0
subesco,wavlm_base_plus,4,CE,20,5,1.0714285714285716
subesco,wavlm_base_plus,4,CE,21,5,-0.7142857142857139
subesco,wavlm_base_plus,4,CE,22,5,-1.0714285714285716
subesco,wavlm_base_plus,4,CE,23,5,-1.4285714285714284
subesco,wavlm_base_plus,4,UAR,0,5,0.7142857142857153
subesco,wavlm_base_plus,4,UAR,1,5,2.1428571428571423
subesco,wavlm_base_plus,4,UAR,2,5,1.071428571428573
subesco,wavlm_base_plus,4,UAR,3,5,1.4285714285714284
subesco,wavlm_base_plus,4,UAR,4,5,0.0
subesco,wavlm_base_plus,4,UAR,5,5,1.7857142857142854
subesco,wavlm_base_plus,4,UAR,6,5,-1.4285714285714284
subesco,wavlm_base_plus,4,UAR,7,5,-1.0714285714285716
subesco,wavlm_base_plus,4,UAR,8,5,0.7142857142857146
subesco,wavlm_base_plus,4,UAR,9,5,0.0
subesco,wavlm_base_plus,4,UAR,10,5,0.35714285714285554
subesco,wavlm_base_plus,4,UAR,11,5,-2.1428571428571423
subesco,wavlm_base_plus,4,UAR,12,5,1.0714285714285716
subesco,wavlm_base_plus,4,UAR,13,5,-0.7142857142857146
subesco,wavlm_base_plus,4,UAR,14,5,-0.7142857142857139
subesco,wavlm_base_plus,4,UAR,15,5,-7.105427357601002e-16
subesco,wavlm_base_plus,4,UAR,16,5,-0.35714285714285765
subesco,wavlm_base_plus,4,UAR,17,5,0.7142857142857139
subesco,wavlm_base_plus,4,UAR,18,5,0.0
subesco,wavlm_base_plus,4,UAR,19,5,0.7142857142857146
subesco,wavlm_base_plus,4,UAR,20,5,1.0714285714285707
subesco,wavlm_base_plus,4,UAR,21,5,2.1428571428571432
subesco,wavlm_base_plus,4,UAR,22,5,0.0
subesco,wavlm_base_plus,4,UAR,23,5,0.35714285714285693
subesco,wavlm_base_plus,5,CE,0,5,2.1428571428571432
subesco,wavlm_base_plus,5,CE,1,5,3.5714285714285716
subesco,wavlm_base_plus,5,CE,2,5,0.7142857142857139
subesco,wavlm_base_plus,5,CE,3,5,2.499999999999999
subesco,wavlm_base_plus,5,CE,4,5,4.642857142857143
subesco,wavlm_base_plus,5,CE,5,5,2.1428571428571415
subesco,wavlm_base_plus,5,CE,6,5,0.0
subesco,wavlm_base_plus,5,CE,7,5,0.0
subesco,wavlm_base_plus,5,CE,8,5,0.7142857142857146
subesco,wavlm_base_plus,5,CE,9,5,-1.4285714285714277
subesco,wavlm_base_plus,5,CE,10,5,2.499999999999999
subesco,wavlm_base_plus,5,CE,11,5,2.8571428571428577
subesco,wavlm_base_plus,5,CE,12,5,1.0714285714285707
subesco,wavlm_base_plus,5,CE,13,5,0.0
subesco,wavlm_base_plus,5,CE,14,5,0.35714285714285693
subesco,wavlm_base_plus,5,CE,15,5,1.0714285714285723
subesco,wavlm_base_plus,5,CE,16,5,0.0
subesco,wavlm_base_plus,5,CE,17,5,0.0
subesco,wavlm_base_plus,5,CE,18,5,-1.0714285714285707
subesco,wavlm_base_plus,5,CE,19,5,1.0714285714285707
subesco,wavlm_base_plus,5,CE,20,5,0.0
subesco,wavlm_base_plus,5,CE,21,5,-1.0714285714285707
subesco,wavlm_base_plus,5,CE,22,5,3.5714285714285707
subesco,wavlm_base_plus,5,CE,23,5,0.0
subesco,wavlm_base_plus,5,UAR,0,5,-2.5
subesco,wavlm_base_plus,5,UAR,1,5,8.214285714285715
subesco,wavlm_base_plus,5,UAR,2,5,-2.1428571428571415
subesco,wavlm_base_plus,5,UAR,3,5,-1.0714285714285707
subesco,wavlm_base_plus,5,UAR,4,5,-3.5714285714285716
subesco,wavlm_base_plus,5,UAR,5,5,-0.35714285714285693
subesco,wavlm_base_plus,5,UAR,6,5,0.35714285714285765
subesco,wavlm_base_plus,5,UAR,7,5,2.8571428571428577
subesco,wavlm_base_plus,5,UAR,8,5,-0.7142857142857139
subesco,wavlm_base_plus,5,UAR,9,5,0.0
subesco,wavlm_base_plus,5,UAR,10,5,-1.785714285714286
subesco,wavlm_base_plus,5,UAR,11,5,1.785714285714286
subesco,wavlm_base_plus,5,UAR,12,5,-1.4285714285714293
subesco,wavlm_base_plus,5,UAR,13,5,1.7857142857142847
subesco,wavlm_base_plus,5,UAR,14,5,-1.785714285714287
subesco,wavlm_base_plus,5,UAR,15,5,-2.1428571428571432
subesco,wavlm_base_plus,5,UAR,16,5,-0.35714285714285693
subesco,wavlm_base_plus,5,UAR,17,5,-0.35714285714285693
subesco,wavlm_base_plus,5,UAR,18,5,1.0714285714285707
subesco,wavlm_base_plus,5,UAR,19,5,1.4285714285714284
subesco,wavlm_base_plus,5,UAR,20,5,0.7142857142857139
subesco,wavlm_base_plus,5,UAR,21,5,1.7857142857142847
subesco,wavlm_base_plus,5,UAR,22,5,0.0
subesco,wavlm_base_plus,5,UAR,23,5,2.499999999999999
subesco,wavlm_base_plus,6,CE,0,5,2.8571428571428568
subesco,wavlm_base_plus,6,CE,1,5,2.8571428571428563
subesco,wavlm_base_plus,6,CE,2,5,2.4999999999999987
subesco,wavlm_base_plus,6,CE,3,5,3.5714285714285716
subesco,wavlm_base_plus,6,CE,4,5,3.5714285714285707
subesco,wavlm_base_plus,6,CE,5,5,2.1428571428571415
subesco,wavlm_base_plus,6,CE,6,5,0.35714285714285693
subesco,wavlm_base_plus,6,CE,7,5,3.2142857142857144
subesco,wavlm_base_plus,6,CE,8,5,6.071428571428573
subesco,wavlm_base_plus,6,CE,9,5,-0.35714285714285693
subesco,wavlm_base_plus,6,CE,10,5,3.928571428571427
subesco,wavlm_base_plus,6,CE,11,5,-1.0714285714285723
subesco,wavlm_base_plus,6,CE,12,5,-1.0714285714285723
subesco,wavlm_base_plus,6,CE,13,5,0.0
subesco,wavlm_base_plus,6,CE,14,5,-1.0714285714285707
subesco,wavlm_base_plus,6,CE,15,5,-0.7142857142857139
subesco,wavlm_base_plus,6,CE,16,5,0.0
subesco,wavlm_base_plus,6,CE,17,5,1.0714285714285723
subesco,wavlm_base_plus,6,CE,18,5,0.0
subesco,wavlm_base_plus,6,CE,19,5,0.0
subesco,wavlm_base_plus,6,CE,20,5,1.785714285714286
subesco,wavlm_base_plus,6,CE,21,5,2.8571428571428585
subesco,wavlm_base_plus,6,CE,22,5,0.35714285714285693
subesco,wavlm_base_plus,6,CE,23,5,2.5
subesco,wavlm_base_plus,6,UAR,0,5,-0.35714285714285837
subesco,wavlm_base_plus,6,UAR,1,5,0.0
subesco,wavlm_base_plus,6,UAR,2,5,0.35714285714285693
subesco,wavlm_base_plus,6,UAR,3,5,1.0714285714285723
subesco,wavlm_base_plus,6,UAR,4,5,-4.999999999999998
subesco,wavlm_base_plus,6,UAR,5,5,0.0
subesco,wavlm_base_plus,6,UAR,6,5,0.35714285714285693
subesco,wavlm_base_plus,6,UAR,7,5,2.1428571428571432
subesco,wavlm_base_plus,6,UAR,8,5,1.0714285714285716
subesco,wavlm_base_plus,6,UAR,9,5,1.0714285714285707
subesco,wavlm_base_plus,6,UAR,10,5,0.0
subesco,wavlm_base_plus,6,UAR,11,5,-3.5714285714285716
subesco,wavlm_base_plus,6,UAR,12,5,-0.35714285714285693
subesco,wavlm_base_plus,6,UAR,13,5,0.7142857142857139
subesco,wavlm_base_plus,6,UAR,14,5,-3.2142857142857144
subesco,wavlm_base_plus,6,UAR,15,5,-0.35714285714285837
subesco,wavlm_base_plus,6,UAR,16,5,-0.35714285714285693
subesco,wavlm_base_plus,6,UAR,17,5,-1.7857142857142834
subesco,wavlm_base_plus,6,UAR,18,5,-2.499999999999999
subesco,wavlm_base_plus,6,UAR,19,5,2.1428571428571423
subesco,wavlm_base_plus,6,UAR,20,5,0.7142857142857132
subesco,wavlm_base_plus,6,UAR,21,5,-7.105427357601002e-16
subesco,wavlm_base_plus,6,UAR,22,5,0.0
subesco,wavlm_base_plus,6,UAR,23,5,3.9285714285714293
subesco,wavlm_base_plus,7,CE,0,5,3.571428571428572
subesco,wavlm_base_plus,7,CE,1,5,3.214285714285714
subesco,wavlm_base_plus,7,CE,2,5,0.0
subesco,wavlm_base_plus,7,CE,3,5,2.5
subesco,wavlm_base_plus,7,CE,4,5,5.357142857142855
subesco,wavlm_base_plus,7,CE,5,5,1.4285714285714277
subesco,wavlm_base_plus,7,CE,6,5,0.0
subesco,wavlm_base_plus,7,CE,7,5,1.7857142857142854
subesco,wavlm_base_plus,7,CE,8,5,6.071428571428573
subesco,wavlm_base_plus,7,CE,9,5,1.0714285714285723
subesco,wavlm_base_plus,7,CE,10,5,1.7857142857142847
subesco,wavlm_base_plus,7,CE,11,5,-0.35714285714285693
subesco,wavlm_base_plus,7,CE,12,5,0.0
subesco,wavlm_base_plus,7,CE,13,5,1.785714285714286
subesco,wavlm_base_plus,7,CE,14,5,1.0714285714285707
subesco,wavlm_base_plus,7,CE,15,5,1.4285714285714293
subesco,wavlm_base_plus,7,CE,16,5,-1.7857142857142854
subesco,wavlm_base_plus,7,CE,17,5,1.4285714285714277
subesco,wavlm_base_plus,7,CE,18,5,0.0
subesco,wavlm_base_plus,7,CE,19,5,7.105427357601002e-16
subesco,wavlm_base_plus,7,CE,20,5,-1.0714285714285723
subesco,wavlm_base_plus,7,CE,21,5,4.2857142857142865
subesco,wavlm_base_plus,7,CE,22,5,1.4285714285714293
subesco,wavlm_base_plus,7,CE,23,5,3.214285714285714
subesco,wavlm_base_plus,7,UAR,0,5,-1.4285714285714293
subesco,wavlm_base_plus,7,UAR,1,5,2.1428571428571423
subesco,wavlm_base_plus,7,UAR,2,5,-1.4285714285714277
subesco,wavlm_base_plus,7,UAR,3,5,2.5
subesco,wavlm_base_plus,7,UAR,4,5,2.1428571428571437
subesco,wavlm_base_plus,7,UAR,5,5,0.0
subesco,wavlm_base_plus,7,UAR,6,5,0.7142857142857139
subesco,wavlm_base_plus,7,UAR,7,5,-0.35714285714285693
subesco,wavlm_base_plus,7,UAR,8,5,0.0
subesco,wavlm_base_plus,7,UAR,9,5,2.8571428571428554
subesco,wavlm_base_plus,7,UAR,10,5,-1.4285714285714284
subesco,wavlm_base_plus,7,UAR,11,5,-1.0714285714285723
subesco,wavlm_base_plus,7,UAR,12,5,1.0714285714285716
subesco,wavlm_base_plus,7,UAR,13,5,3.2142857142857117
subesco,wavlm_base_plus,7,UAR,14,5,-1.4285714285714284
subesco,wavlm_base_plus,7,UAR,15,5,-4.285714285714286
subesco,wavlm_base_plus,7,UAR,16,5,-0.35714285714285693
subesco,wavlm_base_plus,7,UAR,17,5,-0.35714285714285693
subesco,wavlm_base_plus,7,UAR,18,5,-1.0714285714285707
subesco,wavlm_base_plus,7,UAR,19,5,2.8571428571428563
subesco,wavlm_base_plus,7,UAR,20,5,-1.4285714285714293
subesco,wavlm_base_plus,7,UAR,21,5,3.214285714285714
subesco,wavlm_base_plus,7,UAR,22,5,-1.0714285714285707
subesco,wavlm_base_plus,7,UAR,23,5,2.1428571428571432
subesco,wavlm_base_plus,8,CE,0,5,1.7857142857142876
subesco,wavlm_base_plus,8,CE,1,5,-0.7142857142857139
subesco,wavlm_base_plus,8,CE,2,5,0.35714285714285837
subesco,wavlm_base_plus,8,CE,3,5,3.928571428571428
subesco,wavlm_base_plus,8,CE,4,5,1.0714285714285694
subesco,wavlm_base_plus,8,CE,5,5,2.4999999999999987
subesco,wavlm_base_plus,8,CE,6,5,0.35714285714285693
subesco,wavlm_base_plus,8,CE,7,5,1.0714285714285716
subesco,wavlm_base_plus,8,CE,8,5,5.000000000000002
subesco,wavlm_base_plus,8,CE,9,5,0.7142857142857153
subesco,wavlm_base_plus,8,CE,10,5,1.7857142857142847
subesco,wavlm_base_plus,8,CE,11,5,-0.35714285714285693
subesco,wavlm_base_plus,8,CE,12,5,0.0
subesco,wavlm_base_plus,8,CE,13,5,4.642857142857143
subesco,wavlm_base_plus,8,CE,14,5,0.0
subesco,wavlm_base_plus,8,CE,15,5,-1.0714285714285707
subesco,wavlm_base_plus,8,CE,16,5,1.7857142857142847
subesco,wavlm_base_plus,8,CE,17,5,2.4999999999999987
subesco,wavlm_base_plus,8,CE,18,5,-2.5
subesco,wavlm_base_plus,8,CE,19,5,-0.3571428571428562
subesco,wavlm_base_plus,8,CE,20,5,4.2857142857142865
subesco,wavlm_base_plus,8,CE,21,5,2.1428571428571446
subesco,wavlm_base_plus,8,CE,22,5,0.7142857142857124
subesco,wavlm_base_plus,8,CE,23,5,3.214285714285714
subesco,wavlm_base_plus,8,UAR,0,5,-0.35714285714285554
subesco,wavlm_base_plus,8,UAR,1,5,-5.3571428571428585
subesco,wavlm_base_plus,8,UAR,2,5,-1.0714285714285694
subesco,wavlm_base_plus,8,UAR,3,5,0.0
subesco,wavlm_base_plus,8,UAR,4,5,2.8571428571428585
subesco,wavlm_base_plus,8,UAR,5,5,0.0
subesco,wavlm_base_plus,8,UAR,6,5,0.0
subesco,wavlm_base_plus,8,UAR,7,5,-0.7142857142857139
subesco,wavlm_base_plus,8,UAR,8,5,0.3571428571428562
subesco,wavlm_base_plus,8,UAR,9,5,2.5
subesco,wavlm_base_plus,8,UAR,10,5,-0.3571428571428562
subesco,wavlm_base_plus,8,UAR,11,5,-0.35714285714285693
subesco,wavlm_base_plus,8,UAR,12,5,-0.7142857142857146
subesco,wavlm_base_plus,8,UAR,13,5,4.9999999999999964
subesco,wavlm_base_plus,8,UAR,14,5,-0.7142857142857139
subesco,wavlm_base_plus,8,UAR,15,5,2.1428571428571423
subesco,wavlm_base_plus,8,UAR,16,5,4.285714285714285
subesco,wavlm_base_plus,8,UAR,17,5,4.6428571428571415
subesco,wavlm_base_plus,8,UAR,18,5,3.2142857142857153
subesco,wavlm_base_plus,8,UAR,19,5,0.3571428571428562
subesco,wavlm_base_plus,8,UAR,20,5,0.0
subesco,wavlm_base_plus,8,UAR,21,5,1.0714285714285707
subesco,wavlm_base_plus,8,UAR,22,5,0.35714285714285693
subesco,wavlm_base_plus,8,UAR,23,5,1.785714285714286
subesco,wavlm_base_plus,9,CE,0,5,1.785714285714286
subesco,wavlm_base_plus,9,CE,1,5,0.7142857142857139
subesco,wavlm_base_plus,9,CE,2,5,1.4285714285714293
subesco,wavlm_base_plus,9,CE,3,5,6.071428571428571
subesco,wavlm_base_plus,9,CE,4,5,1.7857142857142834
subesco,wavlm_base_plus,9,CE,5,5,4.999999999999998
subesco,wavlm_base_plus,9,CE,6,5,0.0
subesco,wavlm_base_plus,9,CE,7,5,2.500000000000001
subesco,wavlm_base_plus,9,CE,8,5,6.071428571428571
subesco,wavlm_base_plus,9,CE,9,5,-0.7142857142857124
subesco,wavlm_base_plus,9,CE,10,5,4.6428571428571415
subesco,wavlm_base_plus,9,CE,11,5,-0.35714285714285693
subesco,wavlm_base_plus,9,CE,12,5,1.4285714285714284
subesco,wavlm_base_plus,9,CE,13,5,3.9285714285714293
subesco,wavlm_base_plus,9,CE,14,5,0.0
subesco,wavlm_base_plus,9,CE,15,5,-1.7857142857142847
