corpus,window,draw,D_CE_pp,D_UAR_pp,J_pp,T_seen_ce_uar,T_unseen_ce_uar,T_seen_uar_uar,T_unseen_uar_uar,last_window_outer_uar,ce_disagreement,uar_disagreement
cremad,15,22,0.7017543859649109,0.26315789473683965,0.43859649122807126,56.233073771773455,55.531319385808544,57.442849548112704,57.17969165337587,53.81539856772055,0.2,0.4
cremad,15,23,0.2427969765431044,-2.1413828689370433,2.3841798454801477,55.60650433715449,55.363707360611386,55.09845759071766,57.2398404596547,52.79153766769866,0.4,0.8
subesco,8,0,-0.35714285714285693,2.8571428571428568,-3.214285714285714,49.28571428571429,49.642857142857146,49.28571428571429,46.42857142857143,43.92857142857143,0.2,0.4
subesco,8,1,3.214285714285714,2.8571428571428585,0.35714285714285554,42.857142857142854,39.642857142857146,44.28571428571429,41.42857142857143,42.857142857142854,0.8,0.4
subesco,8,2,-0.35714285714285554,0.0,-0.35714285714285554,43.92857142857143,44.285714285714285,43.92857142857143,43.92857142857143,41.42857142857143,0.4,0.2
subesco,8,3,5.0,2.5,2.5,46.42857142857143,41.42857142857143,46.07142857142857,43.57142857142857,44.642857142857146,0.4,0.6
subesco,8,4,6.071428571428571,-2.4999999999999987,8.57142857142857,42.857142857142854,36.78571428571429,41.07142857142857,43.57142857142857,43.57142857142857,0.6,0.8
subesco,8,5,-0.35714285714285693,3.571428571428574,-3.9285714285714306,45.35714285714286,45.714285714285715,45.35714285714286,41.78571428571429,42.142857142857146,0.2,0.4
subesco,8,6,-1.0714285714285707,-1.4285714285714277,0.35714285714285693,41.42857142857143,42.5,40.0,41.42857142857143,42.142857142857146,0.4,0.6
subesco,8,7,1.0714285714285707,-1.0714285714285736,2.1428571428571446,42.857142857142854,41.78571428571429,41.42857142857143,42.5,42.857142857142854,0.2,0.6
subesco,8,8,1.7857142857142876,-1.4285714285714293,3.2142857142857166,41.78571428571429,40.0,40.71428571428571,42.142857142857146,43.214285714285715,0.6,0.6
subesco,8,9,0.35714285714285554,0.35714285714285554,0.0,43.57142857142857,43.214285714285715,43.92857142857143,43.57142857142857,44.28571428571429,0.8,0.6
subesco,8,10,2.5000000000000013,4.642857142857144,-2.1428571428571432,47.85714285714286,45.357142857142854,44.642857142857146,40.0,44.642857142857146,0.6,0.8
subesco,8,11,3.5714285714285694,4.2857142857142865,-0.7142857142857167,45.0,41.42857142857143,45.357142857142854,41.07142857142857,42.85714285714286,1.0,0.8
subesco,8,12,0.7142857142857139,1.0714285714285707,-0.35714285714285693,40.357142857142854,39.642857142857146,40.357142857142854,39.28571428571429,40.357142857142854,0.4,0.2
subesco,8,13,-0.7142857142857139,2.1428571428571432,-2.8571428571428568,47.5,48.21428571428571,48.21428571428571,46.07142857142857,46.42857142857143,0.2,0.2
subesco,8,14,1.4285714285714293,-0.7142857142857139,2.1428571428571432,47.857142857142854,46.42857142857143,47.142857142857146,47.857142857142854,48.57142857142857,0.4,0.4
subesco,8,15,1.0714285714285707,-1.0714285714285707,2.1428571428571415,44.642857142857146,43.57142857142857,43.57142857142857,44.642857142857146,41.78571428571429,0.2,0.4
subesco,8,16,-1.0714285714285707,4.2857142857142865,-5.357142857142857,43.57142857142857,44.642857142857146,45.0,40.71428571428571,43.214285714285715,0.4,0.8
subesco,8,17,-0.7142857142857139,1.785714285714286,-2.5,43.214285714285715,43.92857142857143,44.642857142857146,42.857142857142854,43.57142857142857,0.4,0.4
subesco,8,18,0.7142857142857153,-1.4285714285714277,2.1428571428571432,43.214285714285715,42.5,41.42857142857143,42.857142857142854,42.85714285714286,0.2,0.4
subesco,8,19,3.214285714285714,-0.7142857142857153,3.9285714285714293,50.71428571428571,47.5,48.57142857142857,49.28571428571429,50.71428571428571,0.4,0.4
subesco,8,20,0.0,-3.214285714285714,3.214285714285714,40.0,40.0,40.714285714285715,43.92857142857143,43.92857142857143,0.6,0.6
