unit_id,corpus,draw,fold,window,seen_ce_epoch,T_seen_ce_uar,unseen_ce_epoch,T_unseen_ce_uar,seen_uar_epoch,T_seen_uar_uar,unseen_uar_epoch,T_unseen_uar_uar,D_CE_pp,D_UAR_pp,J_pp,ce_disagreement,uar_disagreement,last_window_outer_uar
fpc_formal_cremad_d04_f4_A,cremad,4,4,8,5,62.26975638740344,5,62.26975638740344,5,62.26975638740344,6,59.893048128342244,0.0,2.3767082590611963,-2.3767082590611963,0,1,56.87759952465835
fpc_formal_cremad_d05_f0_A,cremad,5,0,8,5,54.208155523945,5,54.208155523945,5,54.208155523945,5,54.208155523945,0.0,0.0,0.0,0,0,61.32053105737316
fpc_formal_cremad_d05_f1_A,cremad,5,1,8,7,58.428165007112376,7,58.428165007112376,7,58.428165007112376,7,58.428165007112376,0.0,0.0,0.0,0,0,54.006638217164536
fpc_formal_cremad_d05_f2_A,cremad,5,2,8,3,44.73684210526316,3,44.73684210526316,4,44.73684210526316,5,50.877192982456144,0.0,-6.1403508771929864,6.1403508771929864,0,1,45.614035087719294
fpc_formal_cremad_d05_f3_A,cremad,5,3,8,8,57.84313725490197,8,57.84313725490197,8,57.84313725490197,8,57.84313725490197,0.0,0.0,0.0,0,0,57.84313725490197
fpc_formal_cremad_d05_f4_A,cremad,5,4,8,4,52.94117647058824,4,52.94117647058824,7,51.470588235294116,8,50.49019607843137,0.0,0.9803921568627487,-0.9803921568627487,0,1,50.49019607843137
fpc_formal_cremad_d06_f0_A,cremad,6,0,8,7,53.87624466571835,4,47.80701754385965,7,53.87624466571835,8,53.50877192982456,6.069227121858702,0.3674727358937915,5.701754385964911,1,1,53.50877192982456
fpc_formal_cremad_d06_f1_A,cremad,6,1,8,5,58.333333333333336,5,58.333333333333336,5,58.333333333333336,5,58.333333333333336,0.0,0.0,0.0,0,0,54.824561403508774
fpc_formal_cremad_d06_f2_A,cremad,6,2,8,7,58.77192982456141,6,54.385964912280706,7,58.77192982456141,8,56.14035087719298,4.385964912280706,2.631578947368432,1.7543859649122737,1,1,56.14035087719298
fpc_formal_cremad_d06_f3_A,cremad,6,3,8,7,50.37136066547831,5,47.43018419489008,7,50.37136066547831,7,50.37136066547831,2.941176470588232,0.0,2.941176470588232,1,0,46.03386809269162
fpc_formal_cremad_d06_f4_A,cremad,6,4,8,6,57.07070707070707,6,57.07070707070707,7,53.68389780154486,5,54.233511586452764,0.0,-0.5496137849079048,0.5496137849079048,0,1,57.04099821746881
fpc_formal_cremad_d07_f0_A,cremad,7,0,8,8,51.31578947368421,5,54.824561403508774,8,51.31578947368421,8,51.31578947368421,-3.5087719298245617,0.0,-3.5087719298245617,1,0,51.31578947368421
fpc_formal_cremad_d07_f1_A,cremad,7,1,8,6,61.8421052631579,6,61.8421052631579,8,58.77192982456141,6,61.8421052631579,0.0,-3.070175438596486,3.070175438596486,0,1,58.77192982456141
fpc_formal_cremad_d07_f2_A,cremad,7,2,8,3,50.9009009009009,3,50.9009009009009,6,57.53911806543386,6,57.53911806543386,0.0,0.0,0.0,0,0,53.92366050260787
fpc_formal_cremad_d07_f3_A,cremad,7,3,8,5,53.342245989304814,8,55.3475935828877,8,55.3475935828877,8,55.3475935828877,-2.005347593582883,0.0,-2.005347593582883,1,0,55.3475935828877
fpc_formal_cremad_d07_f4_A,cremad,7,4,8,5,56.372549019607845,7,56.372549019607845,8,56.86274509803921,7,56.372549019607845,0.0,0.49019607843136725,-0.49019607843136725,1,1,56.86274509803921
fpc_formal_cremad_d08_f0_A,cremad,8,0,8,4,43.859649122807014,8,50.877192982456144,6,46.92982456140351,8,50.877192982456144,-7.01754385964913,-3.947368421052637,-3.0701754385964932,1,1,50.877192982456144
fpc_formal_cremad_d08_f1_A,cremad,8,1,8,7,53.86439070649597,7,53.86439070649597,7,53.86439070649597,8,55.215742057847315,0.0,-1.3513513513513473,1.3513513513513473,0,1,55.215742057847315
fpc_formal_cremad_d08_f2_A,cremad,8,2,8,4,60.810810810810814,4,60.810810810810814,7,63.06306306306306,4,60.810810810810814,0.0,2.252252252252248,-2.252252252252248,0,1,59.009009009009006
fpc_formal_cremad_d08_f3_A,cremad,8,3,8,4,47.712418300653596,3,52.91146761734997,7,52.52525252525253,7,52.52525252525253,-5.1990493166963745,0.0,-5.1990493166963745,1,0,44.667260843731434
fpc_formal_cremad_d08_f4_A,cremad,8,4,8,8,56.060606060606055,6,52.52525252525253,8,56.060606060606055,8,56.060606060606055,3.535353535353522,0.0,3.535353535353522,1,0,56.060606060606055
fpc_formal_cremad_d09_f0_A,cremad,9,0,8,5,48.24561403508772,5,48.24561403508772,5,48.24561403508772,5,48.24561403508772,0.0,0.0,0.0,0,0,47.368421052631575
fpc_formal_cremad_d09_f1_A,cremad,9,1,8,8,55.70175438596491,5,52.19298245614035,8,55.70175438596491,8,55.70175438596491,3.5087719298245617,0.0,3.5087719298245617,1,0,55.70175438596491
fpc_formal_cremad_d09_f2_A,cremad,9,2,8,6,50.7010582010582,6,50.7010582010582,6,50.7010582010582,7,49.72222222222222,0.0,0.9788359788359813,-0.9788359788359813,0,1,52.169312169312164
fpc_formal_cremad_d09_f3_A,cremad,9,3,8,6,55.88235294117647,6,55.88235294117647,7,55.88235294117647,6,55.88235294117647,0.0,0.0,0.0,0,1,52.450980392156865
fpc_formal_cremad_d09_f4_A,cremad,9,4,8,5,61.76470588235294,5,61.76470588235294,5,61.76470588235294,8,58.333333333333336,0.0,3.4313725490196063,-3.4313725490196063,0,1,58.333333333333336
fpc_formal_cremad_d10_f0_A,cremad,10,0,8,4,49.407302038880985,6,53.4257942152679,8,53.71028923660502,6,53.4257942152679,-4.018492176386914,0.284495021337122,-4.302987197724036,1,1,53.71028923660502
fpc_formal_cremad_d10_f1_A,cremad,10,1,8,7,57.20720720720721,7,57.20720720720721,7,57.20720720720721,7,57.20720720720721,0.0,0.0,0.0,0,0,52.821242294926506
fpc_formal_cremad_d10_f2_A,cremad,10,2,8,4,50.877192982456144,6,53.07017543859649,6,53.07017543859649,7,47.368421052631575,-2.1929824561403493,5.701754385964918,-7.894736842105267,1,1,42.10526315789473
