corpus,model,contrast,protocol_a,protocol_b,metric,status,reason,point_mean_difference,speaker_difference_sample_sd,ci95_low,ci95_high,bootstrap_seed,bootstrap_replicates,n_speakers,n_speakers_expected,n_required_seed_cells,n_missing_seed_cells,n_missing_units,n_failed_units,n_invalid_units,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_error,sign_test_p_sensitivity,n_zero_differences,holm_family_size,holm_adjusted_p,holm_reject_0_05
ravdess,fno,GL,groupkfold,loso,accuracy,complete,,-0.020833333333333332,0.056495668870993047,-0.04236689814814816,0.0013888888888888909,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,fno,GL,groupkfold,loso,macro_f1,complete,,-0.022121745591950473,0.056699882119005243,-0.043629491350614703,0.00013595197166359861,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
cremad,cnn,RG,random,groupkfold,uar,complete,,0.02800480959821619,0.035582250482523829,0.020657170210741618,0.035272175931516603,202608101744,10000,91,91,6,0,0,0,0,531.5,1.7616433376310196e-09,,,2,24,4.0517796765513451e-08,true
cremad,cnn,RG,random,groupkfold,accuracy,complete,,0.027776152330424183,0.035310104298660223,0.02045976453247169,0.034941343410178093,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,cnn,RG,random,groupkfold,macro_f1,complete,,0.032781543078668957,0.040588852006551178,0.024395794068580539,0.041127704770512488,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,cnn,RL,random,loso,uar,complete,,0.010548669889329228,0.031540222892912237,0.0040447787357127925,0.01674066292884974,202608101744,10000,91,91,6,0,0,0,0,1300.5,0.0017084903789249845,,,0,24,0.010250942273549907,true
cremad,cnn,RL,random,loso,accuracy,complete,,0.010112386913128603,0.031193792826028788,0.0037002739372230106,0.016199631740389117,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,cnn,RL,random,loso,macro_f1,complete,,0.013632492279724653,0.036602063606352327,0.0061578288466273738,0.020931577973039125,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,cnn,GL,groupkfold,loso,uar,complete,,-0.017456139708886965,0.030151397553870057,-0.023598623598623629,-0.011217276567551294,202608101744,10000,91,91,6,0,0,0,0,781.5,9.8153413985038625e-07,,,3,24,1.8649148657157338e-05,true
cremad,cnn,GL,groupkfold,loso,accuracy,complete,,-0.017663765417295581,0.02987514050789316,-0.02374098834571663,-0.011441063499436053,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,cnn,GL,groupkfold,loso,macro_f1,complete,,-0.019149050798944307,0.032595277109444265,-0.025679493244930181,-0.012407434372956423,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,resnet_se,RG,random,groupkfold,uar,complete,,0.024555979226308894,0.040568278321320199,0.016522310615717201,0.032736965669657975,202608101744,10000,91,91,6,0,0,0,0,755,3.3265144578213519e-07,,,2,24,6.9856803614248388e-06,true
cremad,resnet_se,RG,random,groupkfold,accuracy,complete,,0.023905410690462758,0.039987462954251603,0.01599606296332869,0.031917582112811024,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,resnet_se,RG,random,groupkfold,macro_f1,complete,,0.027919474994835592,0.042361984770329965,0.019351577890673252,0.036542907923288369,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,resnet_se,RL,random,loso,uar,complete,,0.0090565722433854287,0.038503551900317665,0.0012841020395965696,0.017119012448682774,202608101744,10000,91,91,6,0,0,0,0,1579.5,0.083514297268283036,,,2,24,0.35115140454709809,false
cremad,resnet_se,RL,random,loso,accuracy,complete,,0.0086070630215545167,0.037928470271894957,0.00095256548419435068,0.016533730107934901,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,resnet_se,RL,random,loso,macro_f1,complete,,0.012119894615668713,0.043651404051741421,0.0032487400504735298,0.021376799680900564,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,resnet_se,GL,groupkfold,loso,uar,complete,,-0.015499406982923462,0.03909567096448209,-0.023436142357845639,-0.0076619287814342863,202608101744,10000,91,91,6,0,0,0,0,1220,0.00054966861699840518,,,0,24,0.0043973489359872414,true
cremad,resnet_se,GL,groupkfold,loso,accuracy,complete,,-0.015298347668908236,0.03863082388018238,-0.023137418744322191,-0.0075420481460989437,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,resnet_se,GL,groupkfold,loso,macro_f1,complete,,-0.015799580379166872,0.042358480493308946,-0.024347419806735698,-0.0072889189401116545,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,transformer,RG,random,groupkfold,uar,complete,,0.030611685831466038,0.03766255794801153,0.022939043303054282,0.038218198417374234,202608101744,10000,91,91,6,0,0,0,0,518,4.5534453252370661e-10,,,0,24,1.0928268780568958e-08,true
cremad,transformer,RG,random,groupkfold,accuracy,complete,,0.030270735091730668,0.037340507329813914,0.022683031467441689,0.037836470867600509,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,transformer,RG,random,groupkfold,macro_f1,complete,,0.036268233013208619,0.041088444198706102,0.027830094298519899,0.044671253724753057,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,transformer,RL,random,loso,uar,complete,,0.0046578878996461296,0.037728901924044184,-0.0031936368474830114,0.012385640407618428,202608101744,10000,91,91,6,0,0,0,0,1873.5,0.3849735720104891,,,0,24,0.56726518224293354,false
cremad,transformer,RL,random,loso,accuracy,complete,,0.004592237084035688,0.037443154004381633,-0.0031352281637547536,0.012275640009736438,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,transformer,RL,random,loso,macro_f1,complete,,0.0091898665742307199,0.040446736555178504,0.00081630689093970411,0.017557029187290504,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,transformer,GL,groupkfold,loso,uar,complete,,-0.02595379793181991,0.035415557919064582,-0.033073875656293238,-0.018599358262819804,202608101744,10000,91,91,6,0,0,0,0,609.5,4.3152083573231817e-09,,,0,24,9.4934583861109992e-08,true
cremad,transformer,GL,groupkfold,loso,accuracy,complete,,-0.025678498007694981,0.035164644166440107,-0.032744923568272591,-0.018404055096395699,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,transformer,GL,groupkfold,loso,macro_f1,complete,,-0.027078366438977906,0.036855364741329277,-0.03463861642114157,-0.019427213315748138,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,fno,RG,random,groupkfold,uar,complete,,0.018169152784537408,0.034617900937609997,0.010888677612578718,0.025053885115698324,202608101744,10000,91,91,6,0,0,0,0,906.5,7.3222569392218582e-06,,,2,24,0.00013180062490599344,true
cremad,fno,RG,random,groupkfold,accuracy,complete,,0.017886567808119657,0.034530960272962631,0.010644499599356247,0.024750033771571346,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,fno,RG,random,groupkfold,macro_f1,complete,,0.022034476707618843,0.037570821738405383,0.014186807233436466,0.029571299013378165,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,fno,RL,random,loso,uar,complete,,-0.0047862190719333607,0.030790930501424455,-0.011211674467168965,0.0016011194239216094,202608101744,10000,91,91,6,0,0,0,0,1710,0.17446266566005386,,,1,24,0.52338799698016159,false
cremad,fno,RL,random,loso,accuracy,complete,,-0.0046777617380955013,0.030634792929689236,-0.011043122058847343,0.0016823452674258547,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,fno,RL,random,loso,macro_f1,complete,,-0.0030180181158370317,0.032579216048730458,-0.0097678325747983345,0.0037478007325594869,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,fno,GL,groupkfold,loso,uar,complete,,-0.022955371856470768,0.03802449961804031,-0.030712258081763602,-0.015273298892804408,202608101744,10000,91,91,6,0,0,0,0,808.5,6.1802833054914958e-07,,,1,24,1.2360566610982992e-05,true
cremad,fno,GL,groupkfold,loso,accuracy,complete,,-0.022564329546215154,0.037843467777616949,-0.030298173586399257,-0.014900655124945527,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
cremad,fno,GL,groupkfold,loso,macro_f1,complete,,-0.025052494823455871,0.041273016807471426,-0.033470105963985253,-0.01661723378347801,202608101744,10000,91,91,6,0,0,0,0,,,,,,,,
