corpus,model,protocol,speaker_id,status,reason,n_required_seeds,n_complete_seeds,n_utterances_per_seed,uar_seed_mean,accuracy_seed_mean,macro_f1_seed_mean
cremad,resnet_se,groupkfold,1049,complete,,3,3,82,0.69576719576719581,0.69512195121951204,0.69494295030715547
cremad,resnet_se,groupkfold,1050,complete,,3,3,82,0.65013227513227501,0.64227642276422758,0.58089440985723473
cremad,resnet_se,groupkfold,1051,complete,,3,3,82,0.66005291005291011,0.65447154471544711,0.63564598781799175
cremad,resnet_se,groupkfold,1052,complete,,3,3,82,0.58862433862433861,0.58536585365853666,0.57800714141992027
cremad,resnet_se,groupkfold,1053,complete,,3,3,82,0.6514550264550264,0.64634146341463417,0.63519555805808192
cremad,resnet_se,groupkfold,1054,complete,,3,3,82,0.50198412698412698,0.50406504065040647,0.50014726713808777
cremad,resnet_se,groupkfold,1055,complete,,3,3,82,0.63293650793650791,0.63008130081300806,0.62372307434459828
cremad,resnet_se,groupkfold,1056,complete,,3,3,82,0.6071428571428571,0.60162601626016265,0.58627998058649389
cremad,resnet_se,groupkfold,1057,complete,,3,3,82,0.46891534391534395,0.46747967479674796,0.4391814471524616
cremad,resnet_se,groupkfold,1058,complete,,3,3,82,0.62367724867724872,0.61788617886178854,0.59892034461633903
cremad,resnet_se,groupkfold,1059,complete,,3,3,82,0.42658730158730163,0.42682926829268292,0.38656926764765814
cremad,resnet_se,groupkfold,1060,complete,,3,3,82,0.45833333333333331,0.46341463414634143,0.43138522189436745
cremad,resnet_se,groupkfold,1061,complete,,3,3,82,0.73082010582010593,0.73170731707317083,0.72754229091471656
cremad,resnet_se,groupkfold,1062,complete,,3,3,82,0.59523809523809534,0.58536585365853655,0.53808510032450696
cremad,resnet_se,groupkfold,1063,complete,,3,3,82,0.73148148148148151,0.72764227642276413,0.7258468334532453
cremad,resnet_se,groupkfold,1064,complete,,3,3,82,0.61706349206349209,0.6097560975609756,0.58912741185909157
cremad,resnet_se,groupkfold,1065,complete,,3,3,82,0.60119047619047628,0.59349593495934971,0.55899130753270365
cremad,resnet_se,groupkfold,1066,complete,,3,3,82,0.5985449735449736,0.59349593495934971,0.58636790171401076
cremad,resnet_se,groupkfold,1067,complete,,3,3,82,0.49206349206349204,0.48780487804878048,0.46016282169858608
cremad,resnet_se,groupkfold,1068,complete,,3,3,82,0.65608465608465616,0.65040650406504064,0.63203288071006181
cremad,resnet_se,groupkfold,1069,complete,,3,3,82,0.60251322751322745,0.60162601626016254,0.60107227867919633
cremad,resnet_se,groupkfold,1070,complete,,3,3,82,0.62037037037037035,0.61788617886178854,0.56959320358838672
cremad,resnet_se,groupkfold,1071,complete,,3,3,82,0.48544973544973552,0.48780487804878048,0.47343898066582829
