corpus,model,protocol,seed,speaker_id,status,reason,n_utterances,uar,accuracy,macro_f1
ravdess,cnn,groupkfold,0,23,complete,,60,0.203125,0.21666666666666667,0.19393235763204802
ravdess,cnn,groupkfold,0,24,complete,,60,0.5,0.53333333333333333,0.48733254941652776
ravdess,cnn,groupkfold,1,01,complete,,60,0.625,0.59999999999999998,0.54919467787114851
ravdess,cnn,groupkfold,1,02,complete,,60,0.53125,0.5,0.47977335164835161
ravdess,cnn,groupkfold,1,03,complete,,60,0.46875,0.45000000000000001,0.41154788838612366
ravdess,cnn,groupkfold,1,04,complete,,60,0.234375,0.23333333333333334,0.17468487394957982
ravdess,cnn,groupkfold,1,05,complete,,60,0.40625,0.38333333333333336,0.31717728758169933
ravdess,cnn,groupkfold,1,06,complete,,60,0.5625,0.53333333333333333,0.47125508426154544
ravdess,cnn,groupkfold,1,07,complete,,60,0.40625,0.43333333333333335,0.35858695652173916
ravdess,cnn,groupkfold,1,08,complete,,60,0.53125,0.5,0.4627444837584157
ravdess,cnn,groupkfold,1,09,complete,,60,0.203125,0.21666666666666667,0.14331501831501831
ravdess,cnn,groupkfold,1,10,complete,,60,0.421875,0.40000000000000002,0.39846256684491976
ravdess,cnn,groupkfold,1,11,complete,,60,0.453125,0.43333333333333335,0.38365800865800864
ravdess,cnn,groupkfold,1,12,complete,,60,0.53125,0.51666666666666672,0.49944067370537959
ravdess,cnn,groupkfold,1,13,complete,,60,0.296875,0.26666666666666666,0.22202020202020203
ravdess,cnn,groupkfold,1,14,complete,,60,0.328125,0.31666666666666665,0.29615468409586054
ravdess,cnn,groupkfold,1,15,complete,,60,0.4375,0.43333333333333335,0.41873065015479877
ravdess,cnn,groupkfold,1,16,complete,,60,0.3125,0.33333333333333331,0.2433827605321508
ravdess,cnn,groupkfold,1,17,complete,,60,0.3125,0.29999999999999999,0.28279012851474905
ravdess,cnn,groupkfold,1,18,complete,,60,0.3125,0.31666666666666665,0.28252923976608185
ravdess,cnn,groupkfold,1,19,complete,,60,0.453125,0.41666666666666669,0.33245614035087723
ravdess,cnn,groupkfold,1,20,complete,,60,0.4375,0.43333333333333335,0.41368464052287579
ravdess,cnn,groupkfold,1,21,complete,,60,0.34375,0.36666666666666664,0.21740196078431373
ravdess,cnn,groupkfold,1,22,complete,,60,0.390625,0.38333333333333336,0.34304971988795518
ravdess,cnn,groupkfold,1,23,complete,,60,0.171875,0.18333333333333332,0.16631701631701631
ravdess,cnn,groupkfold,1,24,complete,,60,0.34375,0.36666666666666664,0.31553030303030305
ravdess,cnn,groupkfold,2,01,complete,,60,0.53125,0.5,0.45360334110334111
ravdess,cnn,groupkfold,2,02,complete,,60,0.421875,0.40000000000000002,0.37914643227143224
ravdess,cnn,groupkfold,2,03,complete,,60,0.4375,0.43333333333333335,0.37517259056732744
ravdess,cnn,groupkfold,2,04,complete,,60,0.15625,0.16666666666666666,0.10901363750628457
ravdess,cnn,groupkfold,2,05,complete,,60,0.234375,0.23333333333333334,0.16908863985476888
ravdess,cnn,groupkfold,2,06,complete,,60,0.546875,0.51666666666666672,0.46785091735749629
ravdess,cnn,groupkfold,2,07,complete,,60,0.296875,0.31666666666666665,0.28893280632411067
ravdess,cnn,groupkfold,2,08,complete,,60,0.546875,0.53333333333333333,0.5059576023391813
ravdess,cnn,groupkfold,2,09,complete,,60,0.265625,0.23333333333333334,0.1650456822870616
ravdess,cnn,groupkfold,2,10,complete,,60,0.28125,0.28333333333333333,0.23380826689650219
ravdess,cnn,groupkfold,2,11,complete,,60,0.546875,0.51666666666666672,0.44330746652728076
ravdess,cnn,groupkfold,2,12,complete,,60,0.390625,0.34999999999999998,0.29510315965424327
ravdess,cnn,groupkfold,2,13,complete,,60,0.34375,0.33333333333333331,0.25611413043478259
ravdess,cnn,groupkfold,2,14,complete,,60,0.359375,0.34999999999999998,0.28322226047609678
ravdess,cnn,groupkfold,2,15,complete,,60,0.34375,0.29999999999999999,0.22763616557734206
