corpus,model,protocol,metric,status,reason,n_required_seeds,n_complete_seeds,mean,sample_sd
cremad,resnet_se,groupkfold,accuracy,complete,,3,3,0.58402759114933256,0.007886111653879653
cremad,resnet_se,groupkfold,macro_f1,complete,,3,3,0.58136340584173996,0.0087615284834587429
cremad,resnet_se,loso,uar,complete,,3,3,0.60341941772980368,0.0043122844523366243
cremad,resnet_se,loso,accuracy,complete,,3,3,0.59934605392815554,0.004241433521870468
cremad,resnet_se,loso,macro_f1,complete,,3,3,0.59700490917098437,0.0044925386555104852
cremad,transformer,random,uar,complete,,3,3,0.52005075842075155,0.0058352240794393995
cremad,transformer,random,accuracy,complete,,3,3,0.51675176923766009,0.0055830647220018372
cremad,transformer,random,macro_f1,complete,,3,3,0.51218537743175341,0.0063005452942786443
cremad,transformer,groupkfold,uar,complete,,3,3,0.4894520697885259,0.0030686102935906807
cremad,transformer,groupkfold,accuracy,complete,,3,3,0.48647317029472364,0.0036807596083583026
cremad,transformer,groupkfold,macro_f1,complete,,3,3,0.48126318089683467,0.0053305641836066094
cremad,transformer,loso,uar,complete,,3,3,0.51542954979064592,0.0039641060487707793
cremad,transformer,loso,accuracy,complete,,3,3,0.51218310490011643,0.003515152585905837
cremad,transformer,loso,macro_f1,complete,,3,3,0.50724428936226518,0.0038092288623768037
cremad,fno,random,uar,complete,,3,3,0.53373021473930793,0.0047514111876222342
cremad,fno,random,accuracy,complete,,3,3,0.52992027232822714,0.0049814568683282127
cremad,fno,random,macro_f1,complete,,3,3,0.52408908331491555,0.0043962973830414948
cremad,fno,groupkfold,uar,complete,,3,3,0.51552778696615054,0.0053553154028643871
cremad,fno,groupkfold,accuracy,complete,,3,3,0.51204873241960047,0.0048005653944147566
cremad,fno,groupkfold,macro_f1,complete,,3,3,0.50564345962223578,0.0054456317612104031
cremad,fno,loso,uar,complete,,3,3,0.53856394218748249,0.0010832182118440006
cremad,fno,loso,accuracy,complete,,3,3,0.53462330914628675,0.00085337986577345849
cremad,fno,loso,macro_f1,complete,,3,3,0.53053320079623367,0.00063132029448091664
