sequence,unit_id,corpus,model,protocol,seed,outer_fold,status,reason,n_expected_predictions,n_observed_predictions
141,ravdess__resnet_se__loso__s0__f008,ravdess,resnet_se,loso,0,8,success,,60,60
142,ravdess__resnet_se__loso__s0__f009,ravdess,resnet_se,loso,0,9,success,,60,60
143,ravdess__resnet_se__loso__s0__f010,ravdess,resnet_se,loso,0,10,success,,60,60
144,ravdess__resnet_se__loso__s0__f011,ravdess,resnet_se,loso,0,11,success,,60,60
145,ravdess__resnet_se__loso__s0__f012,ravdess,resnet_se,loso,0,12,success,,60,60
146,ravdess__resnet_se__loso__s0__f013,ravdess,resnet_se,loso,0,13,success,,60,60
147,ravdess__resnet_se__loso__s0__f014,ravdess,resnet_se,loso,0,14,success,,60,60
148,ravdess__resnet_se__loso__s0__f015,ravdess,resnet_se,loso,0,15,success,,60,60
149,ravdess__resnet_se__loso__s0__f016,ravdess,resnet_se,loso,0,16,success,,60,60
150,ravdess__resnet_se__loso__s0__f017,ravdess,resnet_se,loso,0,17,success,,60,60
151,ravdess__resnet_se__loso__s0__f018,ravdess,resnet_se,loso,0,18,success,,60,60
152,ravdess__resnet_se__loso__s0__f019,ravdess,resnet_se,loso,0,19,success,,60,60
153,ravdess__resnet_se__loso__s0__f020,ravdess,resnet_se,loso,0,20,success,,60,60
154,ravdess__resnet_se__loso__s0__f021,ravdess,resnet_se,loso,0,21,success,,60,60
155,ravdess__resnet_se__loso__s0__f022,ravdess,resnet_se,loso,0,22,success,,60,60
156,ravdess__resnet_se__loso__s0__f023,ravdess,resnet_se,loso,0,23,success,,60,60
157,ravdess__resnet_se__loso__s1__f000,ravdess,resnet_se,loso,1,0,success,,60,60
158,ravdess__resnet_se__loso__s1__f001,ravdess,resnet_se,loso,1,1,success,,60,60
159,ravdess__resnet_se__loso__s1__f002,ravdess,resnet_se,loso,1,2,success,,60,60
160,ravdess__resnet_se__loso__s1__f003,ravdess,resnet_se,loso,1,3,success,,60,60
161,ravdess__resnet_se__loso__s1__f004,ravdess,resnet_se,loso,1,4,success,,60,60
162,ravdess__resnet_se__loso__s1__f005,ravdess,resnet_se,loso,1,5,success,,60,60
163,ravdess__resnet_se__loso__s1__f006,ravdess,resnet_se,loso,1,6,success,,60,60
164,ravdess__resnet_se__loso__s1__f007,ravdess,resnet_se,loso,1,7,success,,60,60
165,ravdess__resnet_se__loso__s1__f008,ravdess,resnet_se,loso,1,8,success,,60,60
166,ravdess__resnet_se__loso__s1__f009,ravdess,resnet_se,loso,1,9,success,,60,60
167,ravdess__resnet_se__loso__s1__f010,ravdess,resnet_se,loso,1,10,success,,60,60
168,ravdess__resnet_se__loso__s1__f011,ravdess,resnet_se,loso,1,11,success,,60,60
169,ravdess__resnet_se__loso__s1__f012,ravdess,resnet_se,loso,1,12,success,,60,60
170,ravdess__resnet_se__loso__s1__f013,ravdess,resnet_se,loso,1,13,success,,60,60
171,ravdess__resnet_se__loso__s1__f014,ravdess,resnet_se,loso,1,14,success,,60,60
172,ravdess__resnet_se__loso__s1__f015,ravdess,resnet_se,loso,1,15,success,,60,60
173,ravdess__resnet_se__loso__s1__f016,ravdess,resnet_se,loso,1,16,success,,60,60
174,ravdess__resnet_se__loso__s1__f017,ravdess,resnet_se,loso,1,17,success,,60,60
175,ravdess__resnet_se__loso__s1__f018,ravdess,resnet_se,loso,1,18,success,,60,60
