corpus,model,protocol,seed,status,reason,n_utterances,n_speakers,uar,accuracy,macro_f1
cremad,cnn,loso,2,complete,,7442,91,0.57486372456982127,0.57094866971244285,0.56759775673274648
cremad,resnet_se,random,0,complete,,7442,91,0.61000086615995097,0.60588551464660034,0.60485445853745679
cremad,resnet_se,random,1,complete,,7442,91,0.60745305304493824,0.60266057511421656,0.59763400842326553
cremad,resnet_se,random,2,complete,,7442,91,0.61962597813947395,0.61515721580220373,0.61232103368466795
cremad,resnet_se,groupkfold,0,complete,,7442,91,0.58186417888157271,0.57766729373824244,0.57387658349539772
cremad,resnet_se,groupkfold,1,complete,,7442,91,0.58500105314434159,0.58156409567320611,0.57921402483020001
cremad,resnet_se,groupkfold,2,complete,,7442,91,0.59681508884412526,0.59285138403654936,0.59099960919962213
cremad,resnet_se,loso,0,complete,,7442,91,0.59921982874159985,0.5952700886858372,0.59275728155547125
cremad,resnet_se,loso,1,complete,,7442,91,0.60320223435489539,0.59903251814028491,0.59654974095065227
cremad,resnet_se,loso,2,complete,,7442,91,0.60783619009291556,0.60373555495834452,0.60170770500682946
cremad,transformer,random,0,complete,,7442,91,0.51475922080347314,0.51101854340231123,0.50495938515814498
cremad,transformer,random,1,complete,,7442,91,0.51908410943918915,0.51706530502553072,0.51506649396673077
cremad,transformer,random,2,complete,,7442,91,0.52630894501959236,0.52217145928513842,0.51653025317038448
cremad,transformer,groupkfold,0,complete,,7442,91,0.48621683771516172,0.48320343993550119,0.47754506980326861
cremad,transformer,groupkfold,1,complete,,7442,91,0.48981815707702148,0.48575651706530504,0.47887410133071523
cremad,transformer,groupkfold,2,complete,,7442,91,0.49232121457339456,0.49045955388336471,0.48737037155652024
cremad,transformer,loso,0,complete,,7442,91,0.51124668886834879,0.50846546627250744,0.50292526390501402
cremad,transformer,loso,1,complete,,7442,91,0.51591104464921855,0.51263101316850312,0.50868287293301429
cremad,transformer,loso,2,complete,,7442,91,0.51913091585437021,0.51545283525933894,0.51012473124876734
cremad,fno,random,0,complete,,7442,91,0.52959335599825419,0.52512765385649018,0.52063861021991376
cremad,fno,random,1,complete,,7442,91,0.53267763336148954,0.52956194571351789,0.52258971023555623
cremad,fno,random,2,complete,,7442,91,0.53891965485818016,0.53507121741467345,0.52903892948927655
cremad,fno,groupkfold,0,complete,,7442,91,0.51923984934124789,0.51558720773985489,0.50913159235186967
cremad,fno,groupkfold,1,complete,,7442,91,0.51795484435539974,0.513974737973663,0.5084303537322018
cremad,fno,groupkfold,2,complete,,7442,91,0.50938866720180398,0.50658425154528353,0.49936843278263576
cremad,fno,loso,0,complete,,7442,91,0.53971053851263207,0.53560870733673749,0.53085438477966873
cremad,fno,loso,1,complete,,7442,91,0.5375578053195732,0.53413061005106155,0.53093935032479866
cremad,fno,loso,2,complete,,7442,91,0.53842348273024232,0.53413061005106155,0.52980586728423373
