corpus,model,contrast,protocol_a,protocol_b,speaker_id,status,reason,n_required_seeds_per_protocol,uar_difference,accuracy_difference,macro_f1_difference
cremad,transformer,RL,random,loso,1081,complete,,3,-0.06812169312169325,-0.065040650406503975,-0.068640818740388965
cremad,transformer,RL,random,loso,1082,complete,,3,0.065476190476190466,0.06097560975609756,0.090345328677045617
cremad,transformer,RL,random,loso,1083,complete,,3,-0.025793650793650813,-0.024390243902439046,-0.0076523404361519276
cremad,transformer,RL,random,loso,1084,complete,,3,0.011243386243386166,0.012195121951219523,0.017303854093362436
cremad,transformer,RL,random,loso,1085,complete,,3,-0.029761904761904767,-0.028455284552845406,-0.01897230025186214
cremad,transformer,RL,random,loso,1086,complete,,3,-0.0052910052910052907,-0.0040650406504065262,0.0018175744205380928
cremad,transformer,RL,random,loso,1087,complete,,3,0.016534391534391513,0.012195121951219523,0.032291776082291834
cremad,transformer,RL,random,loso,1088,complete,,3,0.025132275132275117,0.028455284552845461,0.051765010787759469
cremad,transformer,RL,random,loso,1089,complete,,3,0.0085978835978836043,0.0081300813008130524,0.017288466327068208
cremad,transformer,RL,random,loso,1090,complete,,3,-0.0013227513227513921,0,0.0032247222495265238
cremad,transformer,RL,random,loso,1091,complete,,3,0.0085978835978836043,0.0081300813008130524,0.026069065004899361
cremad,transformer,GL,groupkfold,loso,1001,complete,,3,-0.057539682539682557,-0.052845528455284563,-0.047678735815781886
cremad,transformer,GL,groupkfold,loso,1002,complete,,3,-0.023088023088023046,-0.020576131687242816,-0.025502132453465387
cremad,transformer,GL,groupkfold,loso,1003,complete,,3,0.037698412698412787,0.040650406504065151,0.03628877952324161
cremad,transformer,GL,groupkfold,loso,1004,complete,,3,-0.012566137566137614,-0.012195121951219412,0.0054644156356828955
cremad,transformer,GL,groupkfold,loso,1005,complete,,3,-0.00066137566137575154,0,-0.0075605786821315579
cremad,transformer,GL,groupkfold,loso,1006,complete,,3,-0.019841269841269771,-0.024390243902439046,-0.03172841822282646
cremad,transformer,GL,groupkfold,loso,1007,complete,,3,5.5511151231257827e-17,0,-0.0088295396779951574
cremad,transformer,GL,groupkfold,loso,1008,complete,,3,-0.0073815073815073906,-0.013157894736842146,-0.0068832392974791379
cremad,transformer,GL,groupkfold,loso,1009,complete,,3,0.014374514374514313,0.013157894736842146,0.011549404547591902
cremad,transformer,GL,groupkfold,loso,1010,complete,,3,-0.042328042328042326,-0.040650406504065151,-0.04721674401463738
cremad,transformer,GL,groupkfold,loso,1011,complete,,3,-0.083994708994708955,-0.08536585365853655,-0.091253093841257571
cremad,transformer,GL,groupkfold,loso,1012,complete,,3,-0.056216931216931221,-0.052845528455284507,-0.045695176869996745
cremad,transformer,GL,groupkfold,loso,1013,complete,,3,-0.026455026455026398,-0.028455284552845628,-0.022270963250209386
cremad,transformer,GL,groupkfold,loso,1014,complete,,3,-0.022486772486772555,-0.020325203252032575,-0.033192349623454964
cremad,transformer,GL,groupkfold,loso,1015,complete,,3,-0.041666666666666685,-0.040650406504065095,-0.032287520551194437
cremad,transformer,GL,groupkfold,loso,1016,complete,,3,-0.062830687830687848,-0.06097560975609756,-0.061759319264753587
cremad,transformer,GL,groupkfold,loso,1017,complete,,3,0.00066137566137569603,0.0040650406504065262,0.0074876320109450445
cremad,transformer,GL,groupkfold,loso,1018,complete,,3,-0.028439153439153375,-0.028455284552845517,-0.013325822405013343
cremad,transformer,GL,groupkfold,loso,1019,complete,,3,-0.043512043512043519,-0.043859649122807043,-0.062200986894845378
cremad,transformer,GL,groupkfold,loso,1020,complete,,3,-0.115079365079365,-0.11382113821138207,-0.11563928064402385
cremad,transformer,GL,groupkfold,loso,1021,complete,,3,-0.031746031746031911,-0.032520325203252043,-0.039485541933977408
cremad,transformer,GL,groupkfold,loso,1022,complete,,3,-0.011243386243386166,-0.012195121951219523,-0.021292498787692793
cremad,transformer,GL,groupkfold,loso,1023,complete,,3,-0.027777777777777735,-0.024390243902438991,-0.047725625127009674
cremad,transformer,GL,groupkfold,loso,1024,complete,,3,-0.022486772486772388,-0.024390243902438991,-0.031559963652175116
cremad,transformer,GL,groupkfold,loso,1025,complete,,3,-0.050264550264550234,-0.048780487804877981,-0.048977234454582852
cremad,transformer,GL,groupkfold,loso,1026,complete,,3,0.010582010582010692,0.012195121951219523,0.0042110512090427488
cremad,transformer,GL,groupkfold,loso,1027,complete,,3,0.029100529100529071,0.028455284552845628,0.019431330323285811
cremad,transformer,GL,groupkfold,loso,1028,complete,,3,-0.035052910052910058,-0.036585365853658569,-0.040630366142340224
cremad,transformer,GL,groupkfold,loso,1029,complete,,3,0.0019841269841270326,0,-0.0098534582819992389
cremad,transformer,GL,groupkfold,loso,1030,complete,,3,0.068783068783068835,0.069105691056910667,0.074000087423816752
cremad,transformer,GL,groupkfold,loso,1031,complete,,3,-0.050925925925925986,-0.048780487804878092,-0.037560845658430042
cremad,transformer,GL,groupkfold,loso,1032,complete,,3,-0.044973544973544943,-0.048780487804878037,-0.054953847266706546
