corpus,comparison,model,window,endpoint,unit,hypothesis_test,mean_pp,n_draws,df,sd_draw_pp,se_pp,interval_scope,p_two_sided,holm_p_ten,pointwise_95_ci_pp,status,t_statistic
ravdess,model_window,wavlm_base_plus,15,J,percentage_points,False,-0.4861111111111111,24,23,2.35995638145777,0.4817240791497095,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-1.4826332935662658, 0.5104110713440435]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,15,T_seen_ce,UAR_percent,False,34.982638888888886,24,23,2.7590134638817614,0.5631812649982552,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[33.81760967900482, 36.147668098772954]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,15,T_unseen_ce,UAR_percent,False,34.765625,24,23,2.475965766413032,0.5054043956925844,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[33.7201163505113, 35.8111336494887]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,15,T_seen_uar,UAR_percent,False,34.02777777777778,24,23,2.3422985978344153,0.47811969916090175,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[33.038711823417316, 35.01684373213824]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,15,T_unseen_uar,UAR_percent,False,33.32465277777778,24,23,2.7277586302175356,0.5568013987921788,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[32.17282132667437, 34.47648422888119]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,15,T_last,UAR_percent,False,34.140625,24,23,2.7130759061597476,0.5538043002942066,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[32.99499351951359, 35.28625648048641]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,45,D_CE,percentage_points,False,2.4739583333333335,24,23,1.9919377241116576,0.40660258528953114,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[1.6328368008580845, 3.3150798658085825]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,45,D_UAR,percentage_points,False,1.1111111111111112,24,23,2.233422108697764,0.4558953788800292,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.16801966603606322, 2.054202556186159]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,45,J,percentage_points,False,1.3628472222222223,24,23,2.691894905707426,0.5494807466817192,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.2261596938203425, 2.499534750624102]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,45,T_seen_ce,UAR_percent,False,42.69965277777778,24,23,4.065102365420164,0.8297855456216939,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[40.98311059381174, 44.41619496174382]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,45,T_unseen_ce,UAR_percent,False,40.22569444444444,24,23,4.172060216883395,0.8516182256274698,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[38.463987920828615, 41.98740096806027]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,45,T_seen_uar,UAR_percent,False,43.515625,24,23,4.195242814611656,0.8563503535730068,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[41.74412932389615, 45.28712067610385]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,45,T_unseen_uar,UAR_percent,False,42.404513888888886,24,23,3.8561756253968764,0.7871385533983464,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[40.77619372994715, 44.03283404783062]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,45,T_last,UAR_percent,False,42.49131944444444,24,23,3.838763859106508,0.7835843914873467,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[40.87035162958856, 44.112287259300324]",descriptive_estimate,NA
ravdess,window45_minus15,wavlm_base_plus,45_minus15,D_CE,percentage_points,False,2.2569444444444446,24,23,2.2810745553826535,0.4656223938277924,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[1.2937311358710464, 3.220157753017843]",descriptive_estimate,NA
ravdess,window45_minus15,wavlm_base_plus,45_minus15,D_UAR,percentage_points,False,0.4079861111111111,24,23,3.082426892973027,0.6291977547680376,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.8936086127483682, 1.7095808349705905]",descriptive_estimate,NA
ravdess,window45_minus15,wavlm_base_plus,45_minus15,J,percentage_points,False,1.8489583333333333,24,23,3.5654637959617554,0.7277972497060913,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.34339501388677496, 3.3545216527798916]",descriptive_estimate,NA
ravdess,window45_minus15,wavlm_base_plus,45_minus15,T_seen_ce,percentage_points,False,7.717013888888889,24,23,3.1316229134847124,0.6392398504037979,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[6.3946455074679385, 9.03938227030984]",descriptive_estimate,NA
ravdess,window45_minus15,wavlm_base_plus,45_minus15,T_unseen_ce,percentage_points,False,5.460069444444445,24,23,3.4446862557807636,0.703143637553431,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[4.005506007401807, 6.9146328814870825]",descriptive_estimate,NA
ravdess,window45_minus15,wavlm_base_plus,45_minus15,T_seen_uar,percentage_points,False,9.487847222222221,24,23,4.03785452906198,0.8242236043156601,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[7.782810790467613, 11.19288365397683]",descriptive_estimate,NA
ravdess,window45_minus15,wavlm_base_plus,45_minus15,T_unseen_uar,percentage_points,False,9.07986111111111,24,23,3.056258839793057,0.6238562232802926,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[7.789316187015048, 10.370406035207173]",descriptive_estimate,NA
ravdess,window45_minus15,wavlm_base_plus,45_minus15,T_last,percentage_points,False,8.350694444444445,24,23,3.4033169000109527,0.6946991531681227,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[6.913599754291539, 9.78778913459735]",descriptive_estimate,NA
subesco,hubert_minus_wavlm15,hubert_minus_wavlm,15,D_CE,percentage_points,False,1.681547619047619,24,23,2.692209929856552,0.549545050716887,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.5447270676140088, 2.8183681704812296]",descriptive_estimate,NA
subesco,hubert_minus_wavlm15,hubert_minus_wavlm,15,D_UAR,percentage_points,False,-0.0744047619047619,24,23,2.3240648353197026,0.474397747973224,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-1.0557712736152296, 0.9069617498057058]",descriptive_estimate,NA
subesco,hubert_minus_wavlm15,hubert_minus_wavlm,15,J,percentage_points,False,1.755952380952381,24,23,3.384742939695742,0.6909077593952084,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.32670078638191, 3.185203975522852]",descriptive_estimate,NA
subesco,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_seen_ce,percentage_points,False,0.5059523809523809,24,23,2.987916857246006,0.6099059745094202,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.7557342548565773, 1.7676390167613392]",descriptive_estimate,NA
subesco,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_unseen_ce,percentage_points,False,-1.1755952380952381,24,23,3.6807479641064242,0.751329531987396,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-2.729838792373547, 0.3786483161830707]",descriptive_estimate,NA
subesco,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_seen_uar,percentage_points,False,1.8898809523809523,24,23,3.231457181081282,0.6596184349418037,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.5253562569658881, 3.2544056477960166]",descriptive_estimate,NA
