unit_id,corpus,draw,fold,model,epoch,seen_ce,unseen_ce,seen_uar,unseen_uar,outer_uar,uar_unit,ce_unit
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,2,1.7913388016983594,1.8359219825175492,32.142857142857146,20.535714285714285,25.0,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,3,1.6412722986730117,1.8458541561756228,38.392857142857146,24.107142857142858,32.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,4,1.5566492819551936,1.6577356281161069,39.285714285714285,30.357142857142858,41.07142857142857,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,5,1.463710757041543,1.5495381732611873,41.964285714285715,41.07142857142857,39.285714285714285,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,6,1.4885225776403996,1.6962749512548985,43.75,36.607142857142854,42.857142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,7,1.3585085268484605,1.6741839080276175,51.785714285714285,34.82142857142857,48.214285714285715,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,8,1.2300089578631577,1.6023149557734677,55.357142857142854,46.42857142857143,51.785714285714285,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,9,1.2177343631886737,1.6741553759845438,57.142857142857146,43.75,48.214285714285715,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,10,1.3390877638275551,1.5790259871627046,53.57142857142857,40.17857142857143,44.642857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,11,1.2499298571970208,1.9029905218291638,56.25,44.642857142857146,58.92857142857143,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,12,1.134012467549145,1.57475295214577,59.82142857142857,49.107142857142854,57.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,13,1.191429953262516,1.7077829518776235,59.82142857142857,51.785714285714285,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,14,1.3531406300245028,2.11514506020207,60.714285714285715,43.75,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,15,1.1628699353225884,1.583598982983242,61.607142857142854,53.57142857142857,57.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,16,1.1553450008568518,1.5749986981058857,61.607142857142854,53.57142857142857,57.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,17,1.3797836555831426,2.13095239772326,60.714285714285715,43.75,57.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,18,1.2480238459181254,1.5881112713324046,65.17857142857143,55.357142857142854,55.357142857142854,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,19,1.250818680967542,1.6871962252477009,62.5,54.464285714285715,57.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,20,1.3111156183366426,1.693234508276667,62.5,53.57142857142857,57.142857142857146,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,21,1.3523379708169496,1.8197795533625756,64.28571428571429,51.785714285714285,60.714285714285715,UAR_percent,natural_log_loss
ads2_formal_subesco_d19_f2_wavlm_base_plus_A,subesco,19,2,wavlm_base_plus,22,1.3032171019998613,1.7863311699755433,65.17857142857143,53.57142857142857,57.142857142857146,UAR_percent,natural_log_loss
