unit_id,corpus,draw,fold,model,window,rule,selected_epoch,unit,oracle_shortfall_unit,outer_uar,oracle_outer_uar,oracle_shortfall_pp,oracle_used_for_selection
ads2_formal_cremad_d01_f0_hubert_base_A,cremad,1,0,hubert_base,15,unseen_uar,8,UAR_percent,percentage_points,63.1578947368421,65.35087719298245,2.192982456140351,False
ads2_formal_cremad_d01_f1_wavlm_base_plus_A,cremad,1,1,wavlm_base_plus,15,last,15,UAR_percent,percentage_points,53.27169274537695,55.915125651967756,2.6434329065908013,False
ads2_formal_cremad_d01_f1_wavlm_base_plus_A,cremad,1,1,wavlm_base_plus,15,seen_ce,5,UAR_percent,percentage_points,53.27169274537695,55.915125651967756,2.6434329065908013,False
ads2_formal_cremad_d01_f1_wavlm_base_plus_A,cremad,1,1,wavlm_base_plus,15,unseen_ce,5,UAR_percent,percentage_points,53.27169274537695,55.915125651967756,2.6434329065908013,False
ads2_formal_cremad_d01_f1_wavlm_base_plus_A,cremad,1,1,wavlm_base_plus,15,seen_uar,7,UAR_percent,percentage_points,51.505452821242294,55.915125651967756,4.409672830725462,False
ads2_formal_cremad_d01_f1_wavlm_base_plus_A,cremad,1,1,wavlm_base_plus,15,unseen_uar,14,UAR_percent,percentage_points,55.915125651967756,55.915125651967756,0.0,False
ads2_formal_cremad_d01_f1_hubert_base_A,cremad,1,1,hubert_base,15,last,15,UAR_percent,percentage_points,54.94310099573257,58.4755808440019,3.532479848269322,False
ads2_formal_cremad_d01_f1_hubert_base_A,cremad,1,1,hubert_base,15,seen_ce,5,UAR_percent,percentage_points,53.61545756282598,58.4755808440019,4.8601232811759125,False
ads2_formal_cremad_d01_f1_hubert_base_A,cremad,1,1,hubert_base,15,unseen_ce,5,UAR_percent,percentage_points,53.61545756282598,58.4755808440019,4.8601232811759125,False
ads2_formal_cremad_d01_f1_hubert_base_A,cremad,1,1,hubert_base,15,seen_uar,10,UAR_percent,percentage_points,58.46372688477952,58.4755808440019,0.011853959222380275,False
ads2_formal_cremad_d01_f1_hubert_base_A,cremad,1,1,hubert_base,15,unseen_uar,8,UAR_percent,percentage_points,53.674727358937886,58.4755808440019,4.800853485064011,False
ads2_formal_cremad_d01_f2_wavlm_base_plus_A,cremad,1,2,wavlm_base_plus,15,last,15,UAR_percent,percentage_points,58.333333333333336,60.08771929824562,1.7543859649122806,False
ads2_formal_cremad_d01_f2_wavlm_base_plus_A,cremad,1,2,wavlm_base_plus,15,seen_ce,5,UAR_percent,percentage_points,54.824561403508774,60.08771929824562,5.2631578947368425,False
ads2_formal_cremad_d01_f2_wavlm_base_plus_A,cremad,1,2,wavlm_base_plus,15,unseen_ce,5,UAR_percent,percentage_points,54.824561403508774,60.08771929824562,5.2631578947368425,False
ads2_formal_cremad_d01_f2_wavlm_base_plus_A,cremad,1,2,wavlm_base_plus,15,seen_uar,10,UAR_percent,percentage_points,59.21052631578947,60.08771929824562,0.8771929824561403,False
ads2_formal_cremad_d01_f2_wavlm_base_plus_A,cremad,1,2,wavlm_base_plus,15,unseen_uar,10,UAR_percent,percentage_points,59.21052631578947,60.08771929824562,0.8771929824561403,False
ads2_formal_cremad_d01_f2_hubert_base_A,cremad,1,2,hubert_base,15,last,15,UAR_percent,percentage_points,56.14035087719298,61.8421052631579,5.701754385964913,False
ads2_formal_cremad_d01_f2_hubert_base_A,cremad,1,2,hubert_base,15,seen_ce,5,UAR_percent,percentage_points,61.8421052631579,61.8421052631579,0.0,False
ads2_formal_cremad_d01_f2_hubert_base_A,cremad,1,2,hubert_base,15,unseen_ce,5,UAR_percent,percentage_points,61.8421052631579,61.8421052631579,0.0,False
ads2_formal_cremad_d01_f2_hubert_base_A,cremad,1,2,hubert_base,15,seen_uar,11,UAR_percent,percentage_points,58.771929824561404,61.8421052631579,3.0701754385964914,False
ads2_formal_cremad_d01_f2_hubert_base_A,cremad,1,2,hubert_base,15,unseen_uar,5,UAR_percent,percentage_points,61.8421052631579,61.8421052631579,0.0,False
ads2_formal_cremad_d01_f3_wavlm_base_plus_A,cremad,1,3,wavlm_base_plus,15,last,15,UAR_percent,percentage_points,42.15686274509804,53.92156862745098,11.764705882352942,False
ads2_formal_cremad_d01_f3_wavlm_base_plus_A,cremad,1,3,wavlm_base_plus,15,seen_ce,8,UAR_percent,percentage_points,51.96078431372549,53.92156862745098,1.9607843137254901,False
ads2_formal_cremad_d01_f3_wavlm_base_plus_A,cremad,1,3,wavlm_base_plus,15,unseen_ce,4,UAR_percent,percentage_points,53.92156862745098,53.92156862745098,0.0,False
ads2_formal_cremad_d01_f3_wavlm_base_plus_A,cremad,1,3,wavlm_base_plus,15,seen_uar,8,UAR_percent,percentage_points,51.96078431372549,53.92156862745098,1.9607843137254901,False
ads2_formal_cremad_d01_f3_wavlm_base_plus_A,cremad,1,3,wavlm_base_plus,15,unseen_uar,8,UAR_percent,percentage_points,51.96078431372549,53.92156862745098,1.9607843137254901,False
ads2_formal_cremad_d01_f3_hubert_base_A,cremad,1,3,hubert_base,15,last,15,UAR_percent,percentage_points,50.98039215686274,62.745098039215684,11.764705882352942,False
ads2_formal_cremad_d01_f3_hubert_base_A,cremad,1,3,hubert_base,15,seen_ce,8,UAR_percent,percentage_points,62.745098039215684,62.745098039215684,0.0,False
ads2_formal_cremad_d01_f3_hubert_base_A,cremad,1,3,hubert_base,15,unseen_ce,5,UAR_percent,percentage_points,55.3921568627451,62.745098039215684,7.352941176470588,False
ads2_formal_cremad_d01_f3_hubert_base_A,cremad,1,3,hubert_base,15,seen_uar,8,UAR_percent,percentage_points,62.745098039215684,62.745098039215684,0.0,False
ads2_formal_cremad_d01_f3_hubert_base_A,cremad,1,3,hubert_base,15,unseen_uar,10,UAR_percent,percentage_points,57.84313725490196,62.745098039215684,4.901960784313726,False
ads2_formal_cremad_d01_f4_wavlm_base_plus_A,cremad,1,4,wavlm_base_plus,15,last,15,UAR_percent,percentage_points,56.86274509803921,59.80392156862745,2.9411764705882355,False
ads2_formal_cremad_d01_f4_wavlm_base_plus_A,cremad,1,4,wavlm_base_plus,15,seen_ce,6,UAR_percent,percentage_points,58.8235294117647,59.80392156862745,0.9803921568627451,False
ads2_formal_cremad_d01_f4_wavlm_base_plus_A,cremad,1,4,wavlm_base_plus,15,unseen_ce,3,UAR_percent,percentage_points,55.3921568627451,59.80392156862745,4.411764705882353,False
ads2_formal_cremad_d01_f4_wavlm_base_plus_A,cremad,1,4,wavlm_base_plus,15,seen_uar,12,UAR_percent,percentage_points,59.80392156862745,59.80392156862745,0.0,False
ads2_formal_cremad_d01_f4_wavlm_base_plus_A,cremad,1,4,wavlm_base_plus,15,unseen_uar,14,UAR_percent,percentage_points,54.411764705882355,59.80392156862745,5.392156862745098,False
ads2_formal_cremad_d01_f4_hubert_base_A,cremad,1,4,hubert_base,15,last,15,UAR_percent,percentage_points,64.70588235294117,68.13725490196079,3.4313725490196076,False
ads2_formal_cremad_d01_f4_hubert_base_A,cremad,1,4,hubert_base,15,seen_ce,7,UAR_percent,percentage_points,68.13725490196079,68.13725490196079,0.0,False
ads2_formal_cremad_d01_f4_hubert_base_A,cremad,1,4,hubert_base,15,unseen_ce,6,UAR_percent,percentage_points,65.19607843137256,68.13725490196079,2.9411764705882355,False
ads2_formal_cremad_d01_f4_hubert_base_A,cremad,1,4,hubert_base,15,seen_uar,7,UAR_percent,percentage_points,68.13725490196079,68.13725490196079,0.0,False
ads2_formal_cremad_d01_f4_hubert_base_A,cremad,1,4,hubert_base,15,unseen_uar,9,UAR_percent,percentage_points,66.66666666666667,68.13725490196079,1.4705882352941178,False
ads2_formal_cremad_d02_f0_wavlm_base_plus_A,cremad,2,0,wavlm_base_plus,15,last,15,UAR_percent,percentage_points,61.8421052631579,64.03508771929825,2.192982456140351,False
ads2_formal_cremad_d02_f0_wavlm_base_plus_A,cremad,2,0,wavlm_base_plus,15,seen_ce,5,UAR_percent,percentage_points,55.26315789473684,64.03508771929825,8.771929824561404,False
ads2_formal_cremad_d02_f0_wavlm_base_plus_A,cremad,2,0,wavlm_base_plus,15,unseen_ce,6,UAR_percent,percentage_points,58.333333333333336,64.03508771929825,5.701754385964913,False
ads2_formal_cremad_d02_f0_wavlm_base_plus_A,cremad,2,0,wavlm_base_plus,15,seen_uar,13,UAR_percent,percentage_points,64.03508771929825,64.03508771929825,0.0,False
ads2_formal_cremad_d02_f0_wavlm_base_plus_A,cremad,2,0,wavlm_base_plus,15,unseen_uar,14,UAR_percent,percentage_points,61.40350877192982,64.03508771929825,2.6315789473684212,False
ads2_formal_cremad_d02_f0_hubert_base_A,cremad,2,0,hubert_base,15,last,15,UAR_percent,percentage_points,58.771929824561404,60.96491228070175,2.192982456140351,False
ads2_formal_cremad_d02_f0_hubert_base_A,cremad,2,0,hubert_base,15,seen_ce,4,UAR_percent,percentage_points,53.94736842105263,60.96491228070175,7.017543859649122,False
ads2_formal_cremad_d02_f0_hubert_base_A,cremad,2,0,hubert_base,15,unseen_ce,4,UAR_percent,percentage_points,53.94736842105263,60.96491228070175,7.017543859649122,False
ads2_formal_cremad_d02_f0_hubert_base_A,cremad,2,0,hubert_base,15,seen_uar,13,UAR_percent,percentage_points,60.96491228070175,60.96491228070175,0.0,False
ads2_formal_cremad_d02_f0_hubert_base_A,cremad,2,0,hubert_base,15,unseen_uar,13,UAR_percent,percentage_points,60.96491228070175,60.96491228070175,0.0,False
ads2_formal_cremad_d02_f1_wavlm_base_plus_A,cremad,2,1,wavlm_base_plus,15,last,15,UAR_percent,percentage_points,53.50877192982456,54.3859649122807,0.8771929824561403,False
ads2_formal_cremad_d02_f1_wavlm_base_plus_A,cremad,2,1,wavlm_base_plus,15,seen_ce,3,UAR_percent,percentage_points,47.80701754385965,54.3859649122807,6.578947368421052,False
ads2_formal_cremad_d02_f1_wavlm_base_plus_A,cremad,2,1,wavlm_base_plus,15,unseen_ce,3,UAR_percent,percentage_points,47.80701754385965,54.3859649122807,6.578947368421052,False
ads2_formal_cremad_d02_f1_wavlm_base_plus_A,cremad,2,1,wavlm_base_plus,15,seen_uar,12,UAR_percent,percentage_points,49.56140350877193,54.3859649122807,4.824561403508772,False
ads2_formal_cremad_d02_f1_wavlm_base_plus_A,cremad,2,1,wavlm_base_plus,15,unseen_uar,12,UAR_percent,percentage_points,49.56140350877193,54.3859649122807,4.824561403508772,False
ads2_formal_cremad_d02_f1_hubert_base_A,cremad,2,1,hubert_base,15,last,15,UAR_percent,percentage_points,60.526315789473685,60.526315789473685,0.0,False
ads2_formal_cremad_d02_f1_hubert_base_A,cremad,2,1,hubert_base,15,seen_ce,6,UAR_percent,percentage_points,53.50877192982456,60.526315789473685,7.017543859649122,False
ads2_formal_cremad_d02_f1_hubert_base_A,cremad,2,1,hubert_base,15,unseen_ce,4,UAR_percent,percentage_points,57.89473684210526,60.526315789473685,2.6315789473684212,False
