corpus,comparison,model,window,draw,units,D_CE_pp,D_UAR_pp,J_pp,T_seen_ce_pp,T_unseen_ce_pp,T_seen_uar_pp,T_unseen_uar_pp,T_last_pp
cremad,model_window,wavlm_base_plus,15,21,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",2.0636918934132558,-0.08828980965203875,2.1519817030652946,58.26263217904085,56.19894028562759,59.65845806403082,59.74674787368286,55.25162933831665
cremad,model_window,wavlm_base_plus,15,22,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",5.0885011101729365,0.7894736842105263,4.299027425962411,58.425430778371954,53.33692966819902,58.82055852644088,58.03108484223036,51.629765143697036
cremad,model_window,wavlm_base_plus,15,23,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",-0.8823529411764706,0.09720246562351825,-0.9795554067999889,56.982260898669566,57.86461383984604,57.82054500320754,57.723342537584024,51.34437843416172
cremad,model_window,hubert_base,15,0,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",1.2162162162162162,-0.14586074957591985,1.362076965792136,58.5930385775587,57.376822361342484,58.732982912549474,58.8788436621254,56.32291875325931
cremad,model_window,hubert_base,15,1,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",2.0588235294117645,2.056871112598667,0.0019524168130979278,60.496053328870666,58.437229799458905,62.69377736869997,60.636906256101305,56.84517334672133
cremad,model_window,hubert_base,15,2,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",1.979391437595772,0.6922162804515746,1.2871751571441974,55.86937486318291,53.88998342558714,58.931263095349784,58.23904681489821,58.382900209525594
cremad,model_window,hubert_base,15,3,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",1.3131313131313131,1.615848891390687,-0.3027175782593739,59.20208274697439,57.888951433843076,60.871094849423024,59.25524595803233,61.14457266160053
cremad,model_window,hubert_base,15,4,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",2.0825638472697294,1.225412014885699,0.8571518323840305,55.10420707789129,53.02164323062156,59.64335148545675,58.41793947057105,55.44997925028885
cremad,model_window,hubert_base,15,5,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",-0.28686581318160265,0.35422419323348114,-0.6410900064150838,52.59155440269991,52.87842021588152,55.66326388307812,55.309039689844646,53.517139430452126
cremad,model_window,hubert_base,15,6,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",3.8691618722578474,1.0889583645001601,2.780203507757687,59.08603650089718,55.21687462863933,59.7555802354564,58.666621870956234,55.16660623471769
cremad,model_window,hubert_base,15,7,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",3.1170334421108414,-0.5673165425487406,3.684349984659582,58.485465482369506,55.36843204025867,59.16535026442147,59.732666806970215,57.20890183738481
cremad,model_window,hubert_base,15,8,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",1.8480343557742938,0.69377990430622,1.1542544514680737,57.31422669503165,55.466192339257354,59.05156915992829,58.35778925562207,53.02051136416461
cremad,model_window,hubert_base,15,9,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.6604747162022704,-1.2282913165266107,1.888766032728881,56.72696446999853,56.066489753796255,57.97545333923043,59.20374465575704,54.40487657051125
cremad,model_window,hubert_base,15,10,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",3.1758003429830057,-2.0006989821231307,5.176499325106136,58.54335337307474,55.36755303009173,59.09753124923404,61.098230231357164,57.73886889985961
cremad,model_window,hubert_base,15,11,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",-1.1395986473385855,0.575599522967944,-1.7151981703065295,56.59089429987263,57.73049294721121,57.93764352587882,57.36204400291088,56.590294206393274
cremad,model_window,hubert_base,15,12,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.2711323763955343,2.4409731994871313,-2.169840823091597,54.23851518278763,53.967382806392095,58.68905776026519,56.24808456077806,55.18888576164118
cremad,model_window,hubert_base,15,13,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",-0.19607843137254902,-0.06945025520876914,-0.1266281761637799,56.05304995397875,56.2491283853513,58.11828856720498,58.18773882241374,58.40682788051209
cremad,model_window,hubert_base,15,14,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",3.238501659554291,-0.17543859649122806,3.413940256045519,58.0608359555728,54.822334296018504,57.991723781197464,58.16716237768869,53.21112979007716
cremad,model_window,hubert_base,15,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",2.951496388028896,0.39215686274509803,2.559339525283798,56.27450980392157,53.323013415892675,58.14757481940144,57.755417956656345,54.11764705882353
cremad,model_window,hubert_base,15,16,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.7894736842105263,0.500515995872033,0.2889576883384933,56.93498452012384,56.14551083591331,58.07533539731682,57.57481940144479,56.03199174406605
cremad,model_window,hubert_base,15,17,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.8748221906116643,-1.354740611706556,2.2295628023182203,56.947176560179656,56.07235436956799,56.99091154199513,58.34565215370169,59.490744614583626
cremad,model_window,hubert_base,15,18,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",1.4015436770854728,1.8067673640429058,-0.4052236869574331,57.48269660034366,56.08115292325819,59.79138722172778,57.984619857684876,57.00454887761389
cremad,model_window,hubert_base,15,19,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",1.0165118679050567,-0.17027863777089783,1.1867905056759547,56.713106295149636,55.696594427244584,59.256965944272444,59.42724458204334,58.090815273477816
cremad,model_window,hubert_base,15,20,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",4.200206398348813,0.20639834881320948,3.9938080495356036,55.75288488601182,51.55267848766301,55.845764142977764,55.639365794164554,54.69587516027145
cremad,model_window,hubert_base,15,21,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.8108108108108109,1.054947432656411,-0.24413662184560017,55.72983199918185,54.91902118837103,60.127202913580625,59.07225548092421,57.28802543044029
cremad,model_window,hubert_base,15,22,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",2.1413828689370487,-1.743440597929762,3.8848234668668105,58.47765581511712,56.33627294618007,59.45804797197986,61.20148856990962,58.892797948525505
cremad,model_window,hubert_base,15,23,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.43343653250773995,-0.5263157894736842,0.9597523219814241,56.78297492538979,56.349538392882046,58.77248765793657,59.29880344741026,56.50001394583438
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,0,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""percentage_points"", ""T_unseen_ce"": ""percentage_points"", ""T_seen_uar"": ""percentage_points"", ""T_unseen_uar"": ""percentage_points"", ""T_last"": ""percentage_points""}",1.3452151842244722,1.7788038531072587,-0.4335886688827865,2.396384563567226,1.051169379342754,0.09485702984154996,-1.6839468232657087,3.5032907943124663
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,1,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""percentage_points"", ""T_unseen_ce"": ""percentage_points"", ""T_seen_uar"": ""percentage_points"", ""T_unseen_uar"": ""percentage_points"", ""T_last"": ""percentage_points""}",1.7647058823529411,2.386690095668424,-0.6219842133154827,5.930466069784956,4.1657601874320145,7.057289487630045,4.670599391961621,4.018492176386913
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,2,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""percentage_points"", ""T_unseen_ce"": ""percentage_points"", ""T_seen_uar"": ""percentage_points"", ""T_unseen_uar"": ""percentage_points"", ""T_last"": ""percentage_points""}",2.59342652531507,0.9833630421865716,1.6100634831284986,4.401132063670763,1.8077055383556933,4.079025549613785,3.0956625074272135,3.315977108546768
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,3,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""percentage_points"", ""T_unseen_ce"": ""percentage_points"", ""T_seen_uar"": ""percentage_points"", ""T_unseen_uar"": ""percentage_points"", ""T_last"": ""percentage_points""}",1.5556493729868344,1.5952090565093662,-0.03955968352253182,5.283172280076305,3.7275229070894706,5.110079119367045,3.514870062857679,8.305657191106107
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,4,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""percentage_points"", ""T_unseen_ce"": ""percentage_points"", ""T_seen_uar"": ""percentage_points"", ""T_unseen_uar"": ""percentage_points"", ""T_last"": ""percentage_points""}",-1.4303685898113143,2.685108412662592,-4.115477002473907,-0.3917011579550279,1.0386674318562863,3.5139149845032196,0.8288065718406276,-1.9287927105264566
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,5,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""percentage_points"", ""T_unseen_ce"": ""percentage_points"", ""T_seen_uar"": ""percentage_points"", ""T_unseen_uar"": ""percentage_points"", ""T_last"": ""percentage_points""}",-1.3397763088165564,-0.4988424957465205,-0.840933813070036,0.3080634814380944,1.6478397902546509,-0.2711070203330265,0.22773547541349398,0.0840933813070036
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,6,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""percentage_points"", ""T_unseen_ce"": ""percentage_points"", ""T_seen_uar"": ""percentage_points"", ""T_unseen_uar"": ""percentage_points"", ""T_last"": ""percentage_points""}",1.6066192846378604,0.8736473597154711,0.7329719249223893,3.7104751810634164,2.103855896425556,3.763638392121364,2.8899910324058933,1.239459273515001
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,7,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""percentage_points"", ""T_unseen_ce"": ""percentage_points"", ""T_seen_uar"": ""percentage_points"", ""T_unseen_uar"": ""percentage_points"", ""T_last"": ""percentage_points""}",1.3634292891258835,-2.249796940199417,3.6132262293253006,3.512913420034163,2.1494841309082795,2.7765987208711667,5.026395661070584,5.202573809384955
