unit_id,corpus,draw,fold,model,window,units,D_CE_pp,D_UAR_pp,J_pp,T_seen_ce_pp,T_unseen_ce_pp,T_seen_uar_pp,T_unseen_uar_pp,T_last_pp,epoch_last,epoch_seen_ce,epoch_unseen_ce,epoch_seen_uar,epoch_unseen_uar,ce_epoch_disagreement,uar_epoch_disagreement
ads2_formal_cremad_d02_f0_wavlm_base_plus_A,cremad,2,0,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",-3.0701754385964914,2.6315789473684212,-5.701754385964913,55.26315789473684,58.333333333333336,64.03508771929825,61.40350877192982,61.8421052631579,15,5,6,13,14,1,1
ads2_formal_cremad_d02_f0_hubert_base_A,cremad,2,0,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,0.0,0.0,53.94736842105263,53.94736842105263,60.96491228070175,60.96491228070175,58.771929824561404,15,4,4,13,13,0,0
ads2_formal_cremad_d02_f1_wavlm_base_plus_A,cremad,2,1,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,0.0,0.0,47.80701754385965,47.80701754385965,49.56140350877193,49.56140350877193,53.50877192982456,15,3,3,12,12,0,0
ads2_formal_cremad_d02_f1_hubert_base_A,cremad,2,1,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",-4.385964912280702,0.0,-4.385964912280702,53.50877192982456,57.89473684210526,57.45614035087719,57.45614035087719,60.526315789473685,15,6,4,12,12,1,0
ads2_formal_cremad_d02_f2_wavlm_base_plus_A,cremad,2,2,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,-2.6315789473684212,2.6315789473684212,50.43859649122807,50.43859649122807,57.45614035087719,60.08771929824562,60.08771929824562,15,4,4,13,15,0,1
ads2_formal_cremad_d02_f2_hubert_base_A,cremad,2,2,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",8.771929824561404,0.0,8.771929824561404,61.40350877192982,52.63157894736842,60.96491228070175,60.96491228070175,58.771929824561404,15,8,5,10,10,1,0
ads2_formal_cremad_d02_f3_wavlm_base_plus_A,cremad,2,3,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,-1.4557338086749851,1.4557338086749851,49.94058229352347,49.94058229352347,47.93523469994058,49.390968508615565,47.92038027332145,15,7,7,11,9,0,1
ads2_formal_cremad_d02_f3_hubert_base_A,cremad,2,3,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,3.0005941770647655,-3.0005941770647655,53.475935828877006,53.475935828877006,55.3921568627451,52.391562685680334,54.426619132501486,15,5,5,11,14,0,1
ads2_formal_cremad_d02_f4_wavlm_base_plus_A,cremad,2,4,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,0.0,0.0,53.89185977421271,53.89185977421271,55.273321449792036,55.273321449792036,51.97563874034462,15,7,7,10,10,0,0
ads2_formal_cremad_d02_f4_hubert_base_A,cremad,2,4,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",5.510992275698158,0.46048722519310753,5.05050505050505,57.01128936423054,51.500297088532385,59.87819370172311,59.41770647653001,59.41770647653001,15,8,4,9,15,1,1
