level,model,cell,speaker,coverage,accepted_error,n_r,gap_coverage,gap_accepted_error,coverage_secondary,accepted_error_secondary,gap_accepted_error_secondary
ravdess,ridge_wavlm_base_plus,GR,06,0.8833333333333333,0.33205128205128204,3,0.0833333333333333,0.05193432298695457,0.7166666666666667,0.2860246988153965,0.11371295180306377
ravdess,ridge_wavlm_base_plus,GR,07,0.6779661016949152,0.38930976430976433,3,-0.12203389830508478,0.11591795144426724,0.3107344632768362,0.14477124183006537,-0.02649898800809593
ravdess,ridge_wavlm_base_plus,GR,08,0.8833333333333333,0.35729847494553374,3,0.0833333333333333,0.07074876734319457,0.6055555555555555,0.26236044657097285,0.08982364811831094
ravdess,ridge_wavlm_base_plus,GR,09,0.8722222222222222,0.6941391941391942,3,0.07222222222222219,0.43536726431463274,0.6055555555555556,0.6580031556802244,0.49570250995131193
ravdess,ridge_wavlm_base_plus,GR,10,0.7722222222222221,0.3532264130668386,3,-0.02777777777777783,0.07691062359315437,0.4222222222222222,0.26014705257342,0.08639099100900932
ravdess,ridge_wavlm_base_plus,GR,11,0.7277777777777777,0.3783718251803358,3,-0.07222222222222226,0.0986934626072364,0.37777777777777777,0.2812654320987654,0.11413445664656903
ravdess,ridge_wavlm_base_plus,GR,12,0.7166666666666667,0.2504475474400287,3,-0.08333333333333341,0.007757488960496457,0.36111111111111116,0.15935262994086521,0.0068560499135054504
ravdess,ridge_wavlm_base_plus,GR,13,0.7333333333333334,0.5067222613734241,3,-0.06666666666666672,0.21578658885880428,0.31666666666666665,0.38191438191438193,0.20398366201312346
ravdess,ridge_wavlm_base_plus,GR,14,0.75,0.3671985815602837,3,-0.050000000000000044,0.09234478039069305,0.42777777777777776,0.28040935672514616,0.11781678461877354
ravdess,ridge_wavlm_base_plus,GR,15,0.8055555555555557,0.5377492877492878,3,0.005555555555555536,0.2365796971060129,0.5166666666666667,0.4808404558404558,0.2994218555763547
ravdess,ridge_wavlm_base_plus,GR,16,0.7277777777777777,0.31786916786916786,3,-0.0722222222222223,0.04023758892179943,0.36111111111111116,0.18445378151260505,0.019227444064045373
ravdess,ridge_wavlm_base_plus,GR,17,0.7833333333333333,0.6245801033591731,3,-0.01666666666666668,0.36142220862233104,0.38888888888888884,0.5034384768400114,0.33630750138781496
ravdess,ridge_wavlm_base_plus,GR,18,0.9111111111111111,0.39987372344207833,3,0.11111111111111105,0.0963649515122537,0.5833333333333334,0.3323464912280702,0.1545687134502924
ravdess,ridge_wavlm_base_plus,GR,19,0.8333333333333334,0.4754482018250134,3,0.033333333333333326,0.18992188603553975,0.6166666666666667,0.41210846189808326,0.2403762916213672
ravdess,ridge_wavlm_base_plus,GR,20,0.8166666666666668,0.5302287581699346,3,0.016666666666666646,0.2729188166494668,0.5111111111111111,0.5134952766531714,0.35760460173038217
ravdess,ridge_wavlm_base_plus,GR,21,0.8833333333333333,0.442243417298443,3,0.0833333333333333,0.15145394361423245,0.5277777777777778,0.38294527949700363,0.2084142385719613
ravdess,ridge_wavlm_base_plus,GR,22,0.6666666666666666,0.3347535505430243,3,-0.13333333333333341,0.040893901420217225,0.31666666666666665,0.2133378317588844,0.035657762785325745
ravdess,ridge_wavlm_base_plus,GR,23,0.7833333333333333,0.5153246168443737,3,-0.01666666666666672,0.2151784180139643,0.39444444444444443,0.39072463768115945,0.21278993244593003
ravdess,ridge_wavlm_base_plus,GR,24,0.8166666666666668,0.3877182214948172,3,0.016666666666666646,0.10862465424335525,0.5499999999999999,0.3062547673531655,0.134659866218969
ravdess,ridge_wavlm_base_plus,GG,01,0.7444444444444445,0.5403164774681802,3,-0.055332590115198865,0.07436459462299198,0.0,nan,nan
ravdess,ridge_wavlm_base_plus,GG,02,0.7444444444444445,0.25948375391720274,3,-0.05488665923448536,-0.15334748736592144,0.20555555555555557,0.057971014492753624,-0.17285335826710302
ravdess,ridge_wavlm_base_plus,GG,03,0.8388888888888889,0.3170351473922903,3,0.03911185432924561,-0.07927470848869535,0.32222222222222224,nan,nan
ravdess,ridge_wavlm_base_plus,GG,04,0.7944444444444446,0.34889825495415555,3,-0.005555555555555573,-0.08165730060139997,0.11666666666666665,nan,nan
ravdess,ridge_wavlm_base_plus,GG,05,0.7611111111111111,0.4599974721941355,3,-0.03866592344853215,0.04682336712672497,0.13888888888888887,0.3111111111111111,0.08130561461532403
ravdess,ridge_wavlm_base_plus,GG,06,0.8888888888888888,0.31164021164021166,3,0.08888888888888886,-0.13974867724867726,0.26111111111111107,0.10606060606060606,-0.054186545279467764
ravdess,ridge_wavlm_base_plus,GG,07,0.7514124293785311,0.36477027443724946,3,-0.04858757062146898,-0.0657852811183061,0.14689265536723164,nan,nan
ravdess,ridge_wavlm_base_plus,GG,08,0.9055555555555556,0.39326599326599326,3,0.10577852099591227,-0.04202573151317921,0.2333333333333333,0.2536231884057971,0.09875238115174478
ravdess,ridge_wavlm_base_plus,GG,09,0.9055555555555556,0.7178571428571429,3,0.10555555555555551,0.2998015873015873,0.4166666666666667,0.668083735909823,0.438069790410987
ravdess,ridge_wavlm_base_plus,GG,10,0.7111111111111111,0.36653761775712995,3,-0.08866592344853219,-0.09941426508805834,0.011111111111111112,nan,nan
ravdess,ridge_wavlm_base_plus,GG,11,0.7000000000000001,0.3962842712842713,3,-0.09977703455964333,-0.03067412016156786,0.1722222222222222,0.37121212121212127,0.13705301396998912
ravdess,ridge_wavlm_base_plus,GG,12,0.7277777777777777,0.35852713178294576,3,-0.0722222222222223,-0.09980620155038761,0.1111111111111111,nan,nan
ravdess,ridge_wavlm_base_plus,GG,13,0.7333333333333333,0.45076832151300233,3,-0.06644370122630998,0.05445846563201676,0.19444444444444442,nan,nan
ravdess,ridge_wavlm_base_plus,GG,14,0.8000000000000002,0.4229106280193237,3,0.00022296544035675195,0.029378549916115843,0.31666666666666665,0.17663817663817663,-0.044368928706278114
ravdess,ridge_wavlm_base_plus,GG,15,0.8166666666666668,0.6063673696428925,3,0.016666666666666607,0.17581181408733704,0.1111111111111111,nan,nan
ravdess,ridge_wavlm_base_plus,GG,16,0.7888888888888889,0.4547761326583692,3,-0.010888145670754393,-0.008374727406716817,0.19999999999999998,0.16157916157916158,-0.0880738035015735
ravdess,ridge_wavlm_base_plus,GG,17,0.75,0.5449539667856041,3,-0.04955406911928654,0.09232147027235448,0.10555555555555556,0.25,0.003875080792055933
