fold,rotation,draw,policy,encoder,pool_scope,n_evaluation_people,n_candidate_people,n_selected_people,nn1_mean,nn1_max,nn3_mean,selected_global_loso_distance_mean,pool_global_loso_distance_mean,selected_outlier_mean_percentile
0,2,0,U,xvector,including_selected,62,62,24,0.011277232016857461,0.03292747419361164,0.01835066144010758,0.04749567453473589,0.04801421193575247,0.4825268817204302
0,2,0,U,xvector,excluding_selected,38,62,24,0.018399694343293752,0.03292747419361164,0.021569477586371257,0.04749567453473589,0.04801421193575247,0.4825268817204302
0,2,1,C,xvector,including_selected,62,62,24,0.011051646482883844,0.02739498972543053,0.019198152591864928,0.05028526826588551,0.04801421193575247,0.5880376344086021
0,2,1,C,xvector,excluding_selected,38,62,24,0.018031633735231534,0.02739498972543053,0.02083258780744995,0.05028526826588551,0.04801421193575247,0.5880376344086021
0,2,1,R,xvector,including_selected,62,62,24,0.010227004984571351,0.02426696243598414,0.017825022983784362,0.04867455805738427,0.04801421193575247,0.5268817204301075
0,2,1,R,xvector,excluding_selected,38,62,24,0.01668616602745852,0.02426696243598414,0.019804706805554996,0.04867455805738427,0.04801421193575247,0.5268817204301075
0,2,1,U,xvector,including_selected,62,62,24,0.011392034256818643,0.03292747419361164,0.019033823196550104,0.050866536423318696,0.04801421193575247,0.6155913978494624
0,2,1,U,xvector,excluding_selected,38,62,24,0.018587003261125157,0.03292747419361164,0.021394842159576977,0.050866536423318696,0.04801421193575247,0.6155913978494624
0,2,2,C,xvector,including_selected,62,62,24,0.011051646482883844,0.02739498972543053,0.019198152591864928,0.05028526826588551,0.04801421193575247,0.5880376344086021
0,2,2,C,xvector,excluding_selected,38,62,24,0.018031633735231534,0.02739498972543053,0.02083258780744995,0.05028526826588551,0.04801421193575247,0.5880376344086021
0,2,2,R,xvector,including_selected,62,62,24,0.010227004984571351,0.02426696243598414,0.017825022983784362,0.04867455805738427,0.04801421193575247,0.5268817204301075
0,2,2,R,xvector,excluding_selected,38,62,24,0.01668616602745852,0.02426696243598414,0.019804706805554996,0.04867455805738427,0.04801421193575247,0.5268817204301075
0,2,2,U,xvector,including_selected,62,62,24,0.011672611079536805,0.02996176019625385,0.018750109461025972,0.04865257568252541,0.04801421193575247,0.5268817204301075
0,2,2,U,xvector,excluding_selected,38,62,24,0.019044786498191628,0.02996176019625385,0.02160000083381559,0.04865257568252541,0.04801421193575247,0.5268817204301075
