fold,rotation,draw,policy_a,policy_b,n_intersection,intersection_fraction_of_24,jaccard
1,5,1,U,R,9,0.375,0.23076923076923078
1,5,1,U,C,10,0.4166666666666667,0.2631578947368421
1,5,1,R,C,9,0.375,0.23076923076923078
1,5,2,U,R,11,0.4583333333333333,0.2972972972972973
1,5,2,U,C,8,0.3333333333333333,0.2
1,5,2,R,C,9,0.375,0.23076923076923078
2,0,0,U,R,7,0.2916666666666667,0.17073170731707318
2,0,0,U,C,10,0.4166666666666667,0.2631578947368421
2,0,0,R,C,11,0.4583333333333333,0.2972972972972973
2,0,1,U,R,7,0.2916666666666667,0.17073170731707318
2,0,1,U,C,9,0.375,0.23076923076923078
2,0,1,R,C,11,0.4583333333333333,0.2972972972972973
