speaker,mean_uar_pp,nn3_distance,global_loso_mean_distance,n_contexts,references_per_context,draw0_uar_pp,draw1_uar_pp,draw2_uar_pp
1075,31.944444444444443,0.6244682171472093,0.8605000550539762,18,8,31.944444444444443,33.33333333333333,30.555555555555554
1077,36.574074074074076,0.5621480642688509,0.8265406493919024,18,8,37.5,36.111111111111114,36.111111111111114
1078,48.61111111111111,0.6948646229709096,0.8760284577715054,18,8,40.27777777777777,55.55555555555556,50.0
1079,36.574074074074076,0.639195746409698,0.8649963920002717,18,8,36.11111111111111,38.88888888888889,34.72222222222223
1080,54.166666666666664,0.5065718671606054,0.7984211997151257,18,8,52.77777777777778,51.388888888888886,58.333333333333336
1081,52.31481481481481,0.4949161927294554,0.7833855666275654,18,8,48.6111111111111,59.72222222222222,48.61111111111111
1082,29.166666666666668,0.5981266632778947,0.8471463020511754,18,8,33.33333333333333,25.0,29.166666666666668
1083,43.51851851851851,0.6935918647202867,0.8656544036506845,18,8,43.05555555555555,41.66666666666666,45.83333333333333
1084,32.407407407407405,0.5433030965952583,0.7867003861398333,18,8,33.33333333333333,29.166666666666668,34.722222222222214
1085,59.25925925925926,0.6227927160680786,0.8513589791052458,18,8,59.72222222222222,56.94444444444444,61.11111111111111
1086,40.27777777777778,0.5729844497769352,0.8114788861768106,18,8,40.277777777777786,41.66666666666667,38.88888888888889
1087,31.481481481481485,0.6620012899984153,0.9085945872636335,18,8,26.38888888888889,29.166666666666668,38.88888888888889
1088,38.425925925925924,0.6362963565125631,0.846701841011731,18,8,43.05555555555555,33.33333333333333,38.88888888888889
1089,50.46296296296296,0.5493152595190576,0.834677668399936,18,8,61.111111111111114,41.66666666666667,48.61111111111111
1090,51.388888888888886,0.5515495813846951,0.7648533203769324,18,8,51.38888888888889,52.77777777777778,49.99999999999999
1091,40.74074074074074,0.5424319108189588,0.8159577652882554,18,8,45.83333333333333,31.944444444444443,44.44444444444444
