fold,rotation,label_index,n_candidate_people,n_emotional_queries,identity_top1,mean_emotion_to_own_neutral_distance,mean_between_neutral_centroid_distance,own_emotion_distance_over_between_neutral
3,3,5,62,496,0.9112903225806451,0.4639604759558117,0.8447184122059349,0.5492486836461926
3,4,0,62,496,0.9435483870967742,0.5063961522299177,0.8349639967911274,0.606488608102939
3,4,1,62,496,0.8891129032258065,0.5066750890527912,0.8349639967911274,0.6068226785825591
3,4,2,62,496,0.8588709677419355,0.5325478561924142,0.8349639967911274,0.6378093645223784
3,4,3,62,496,0.9334677419354839,0.49387735047375203,0.8349639967911274,0.5914953846774057
3,4,5,62,496,0.9193548387096774,0.47392771433734493,0.8349639967911274,0.5676025746723323
3,5,0,60,480,0.9229166666666667,0.502052179035529,0.8374889665644082,0.5994731860111234
3,5,1,60,480,0.8708333333333333,0.5063325410781052,0.8374889665644082,0.6045841333948667
3,5,2,60,480,0.8604166666666667,0.527186458524669,0.8374889665644082,0.6294846613768793
3,5,3,60,480,0.9229166666666667,0.4945050747799637,0.8374889665644082,0.5904615995223779
3,5,5,60,480,0.9145833333333333,0.47432508461479517,0.8374889665644082,0.5663657714329023
4,0,0,61,488,0.9426229508196722,0.5082611625858926,0.8344122279686593,0.6091247773576288
4,0,1,61,488,0.9057377049180327,0.5051871645855301,0.8344122279686593,0.6054407493708315
4,0,2,61,488,0.8483606557377049,0.5451454199627878,0.8344122279686593,0.653328656616072
4,0,3,61,488,0.9159836065573771,0.5072761624710983,0.8344122279686593,0.6079443055455219
4,0,5,61,488,0.8872950819672131,0.48577876535172937,0.8344122279686593,0.5821807843520425
4,1,0,60,480,0.9041666666666667,0.5218998871321545,0.8273707080432025,0.6307932853539006
4,1,1,60,480,0.8625,0.5233120008837244,0.8273707080432025,0.6325000338982255
4,1,2,60,480,0.8145833333333333,0.5544879487431918,0.8273707080432025,0.6701807827528726
4,1,3,60,480,0.8916666666666667,0.5206673106240699,0.8273707080432025,0.6293035341503562
4,1,5,60,480,0.8583333333333333,0.5043121183432031,0.8273707080432025,0.609535862752431
4,2,0,64,512,0.904296875,0.523802936418728,0.8329222336579712,0.6288737594605032
4,2,1,64,512,0.8671875,0.5223398450514894,0.8329222336579712,0.627117183266333
4,2,2,64,512,0.79296875,0.5589219202448954,0.8329222336579712,0.6710373401731157
4,2,3,64,512,0.87109375,0.5195620996088036,0.8329222336579712,0.6237822435439454
4,2,5,64,512,0.888671875,0.5033724722934954,0.8329222336579712,0.604345102042502
4,3,0,62,496,0.9334677419354839,0.5041954447548457,0.8389713849805098,0.6009685834118867
4,3,1,62,496,0.9092741935483871,0.5036789008552993,0.8389713849805098,0.60035289626356
4,3,2,62,496,0.8165322580645161,0.5499736104286478,0.8389713849805098,0.6555332163580576
4,3,3,62,496,0.9112903225806451,0.5024537863658849,0.8389713849805098,0.5988926384867792
4,3,5,62,496,0.8911290322580645,0.4809018617321523,0.8389713849805098,0.573204128700199
4,4,0,60,480,0.9479166666666666,0.5148318667404328,0.8369557743910172,0.6151243380990267
4,4,1,60,480,0.8958333333333334,0.5133924340174904,0.8369557743910172,0.6134044948683736
4,4,2,60,480,0.8458333333333333,0.5492852441676387,0.8369557743910172,0.6562894491854216
