speaker,mean_uar_pp,nn3_distance,global_loso_mean_distance,n_contexts,references_per_context,draw0_uar_pp,draw1_uar_pp,draw2_uar_pp,human_plurality_uar_pp,human_intended_vote_share_pp,human_agreement_pp,unique_query_paths,unique_aligned_paths,query_sets_identical_across_draws,unique_query_prompts,draw_class_counts
1029,40.27777777777778,0.5526289739898406,0.8070343455005632,18.0,8.0,38.88888888888889,38.88888888888889,43.05555555555556,62.5,53.7222923681257,66.64612393779062,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1030,51.851851851851855,0.5375128750831507,0.8391503109091045,18.0,8.0,51.38888888888889,51.38888888888889,52.77777777777778,36.111111111111114,39.18540564373898,63.07043650793651,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1031,31.48148148148148,0.614585421435265,0.8423324204490812,18.0,8.0,34.72222222222223,27.777777777777775,31.944444444444443,22.222222222222218,25.06172839506173,76.74603174603175,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1032,42.592592592592595,0.6737133800567707,0.848262040518544,18.0,8.0,40.277777777777786,43.05555555555555,44.44444444444444,27.083333333333332,29.701428972262306,61.905212842712864,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1033,47.22222222222221,0.591749081875245,0.8282664211932488,18.0,8.0,45.83333333333333,48.61111111111111,47.222222222222214,45.601851851851855,43.476230559563895,65.82346280262948,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1034,50.46296296296297,0.6608728219927578,0.8798741807570772,18.0,8.0,50.0,58.333333333333336,43.05555555555556,32.407407407407405,30.112083132916457,63.17861151194486,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1035,46.2962962962963,0.5714740567517611,0.8192625212771835,18.0,8.0,44.44444444444445,43.05555555555555,51.38888888888889,45.94907407407407,42.46237173320506,61.24544051627385,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1036,37.03703703703704,0.7429012842942483,0.8613330968456213,18.0,8.0,41.66666666666667,34.72222222222223,34.722222222222214,59.02777777777778,47.45029661696328,62.39132395382395,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1037,56.018518518518526,0.6191968723425347,0.8556568220613914,18.0,8.0,54.166666666666664,56.94444444444444,56.94444444444445,56.018518518518526,47.57605820105821,61.392746913580254,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1038,52.77777777777777,0.6161836907136968,0.81164209906964,18.0,8.0,62.5,47.22222222222223,48.6111111111111,59.49074074074073,47.137045053711724,60.13032106782108,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
