unit_id,corpus,draw,fold,delta_CE_pp,delta_UAR_pp,J_pp,last_outer_uar,oracle_outer_uar,middle_8_10_minus_late_14_15_pp,ce_epoch_agreement,uar_epoch_agreement
fpc_formal_ravdess_d05_f0_A,ravdess,5,0,0.0,0.0,0.0,50.0,50.0,-13.194444444444443,1,1
fpc_formal_ravdess_d05_f1_A,ravdess,5,1,0.0,2.0833333333333335,-2.0833333333333335,27.083333333333332,33.33333333333333,-2.4305555555555465,1,0
fpc_formal_ravdess_d05_f2_A,ravdess,5,2,0.0,0.0,0.0,31.25,31.25,-11.979166666666668,1,1
fpc_formal_ravdess_d05_f3_A,ravdess,5,3,0.0,9.375,-9.375,31.25,43.75,-16.666666666666668,1,0
fpc_formal_ravdess_d05_f4_A,ravdess,5,4,0.0,12.5,-12.5,40.625,40.625,-16.666666666666668,1,0
fpc_formal_ravdess_d06_f0_A,ravdess,6,0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,-5.9027777777777715,1,1
fpc_formal_ravdess_d06_f1_A,ravdess,6,1,0.0,6.25,-6.25,31.25,39.58333333333333,-5.555555555555554,1,0
fpc_formal_ravdess_d06_f2_A,ravdess,6,2,0.0,0.0,0.0,37.5,43.75,-7.291666666666668,1,0
fpc_formal_ravdess_d06_f3_A,ravdess,6,3,0.0,-3.125,3.125,21.875,25.0,-12.5,1,0
fpc_formal_ravdess_d06_f4_A,ravdess,6,4,0.0,0.0,0.0,34.375,34.375,-15.104166666666668,1,1
fpc_formal_ravdess_d07_f0_A,ravdess,7,0,0.0,0.0,0.0,18.75,18.75,-5.208333333333332,1,1
fpc_formal_ravdess_d07_f1_A,ravdess,7,1,0.0,0.0,0.0,31.25,31.25,-12.5,1,1
fpc_formal_ravdess_d07_f2_A,ravdess,7,2,0.0,0.0,0.0,40.625,40.625,-10.9375,1,1
fpc_formal_ravdess_d07_f3_A,ravdess,7,3,-3.125,0.0,-3.125,21.875,28.125,-5.729166666666668,0,0
fpc_formal_ravdess_d07_f4_A,ravdess,7,4,6.25,0.0,6.25,25.0,25.0,-1.5625,0,0
fpc_formal_ravdess_d08_f0_A,ravdess,8,0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,-9.374999999999996,1,0
fpc_formal_ravdess_d08_f1_A,ravdess,8,1,0.0,-10.416666666666666,10.416666666666666,43.75,47.91666666666667,-12.5,1,0
fpc_formal_ravdess_d08_f2_A,ravdess,8,2,0.0,9.375,-9.375,25.0,28.125,1.5625,1,0
fpc_formal_ravdess_d08_f3_A,ravdess,8,3,0.0,-9.375,9.375,37.5,37.5,-9.895833333333332,1,0
fpc_formal_ravdess_d08_f4_A,ravdess,8,4,3.125,-3.125,6.25,46.875,50.0,-22.395833333333332,0,0
fpc_formal_ravdess_d09_f0_A,ravdess,9,0,4.166666666666667,0.0,4.166666666666667,50.0,50.0,-16.666666666666664,0,1
fpc_formal_ravdess_d09_f1_A,ravdess,9,1,0.0,2.0833333333333335,-2.0833333333333335,43.75,43.75,-16.31944444444445,1,0
fpc_formal_ravdess_d09_f2_A,ravdess,9,2,0.0,-3.125,3.125,34.375,37.5,-3.125,1,0
fpc_formal_ravdess_d09_f3_A,ravdess,9,3,0.0,-3.125,3.125,25.0,25.0,-3.645833333333332,1,0
fpc_formal_ravdess_d09_f4_A,ravdess,9,4,0.0,0.0,0.0,18.75,31.25,-1.0416666666666679,1,1
fpc_formal_ravdess_d10_f0_A,ravdess,10,0,0.0,2.0833333333333335,-2.0833333333333335,25.0,29.166666666666668,-1.3888888888888893,1,0
fpc_formal_ravdess_d10_f1_A,ravdess,10,1,0.0,6.25,-6.25,39.58333333333333,39.58333333333333,-11.458333333333329,1,0
fpc_formal_ravdess_d10_f2_A,ravdess,10,2,0.0,0.0,0.0,40.625,40.625,-16.666666666666664,1,1
fpc_formal_ravdess_d10_f3_A,ravdess,10,3,6.25,6.25,0.0,37.5,37.5,-5.208333333333332,0,0
fpc_formal_ravdess_d10_f4_A,ravdess,10,4,0.0,0.0,0.0,21.875,31.25,-1.5625,1,1
fpc_formal_ravdess_d11_f0_A,ravdess,11,0,0.0,0.0,0.0,25.0,25.0,-1.7361111111111107,1,1
fpc_formal_ravdess_d11_f1_A,ravdess,11,1,-10.416666666666666,-8.333333333333334,-2.0833333333333335,27.083333333333332,37.5,4.861111111111111,0,0
fpc_formal_ravdess_d11_f2_A,ravdess,11,2,-3.125,-3.125,0.0,28.125,31.25,-11.979166666666666,0,0
fpc_formal_ravdess_d11_f3_A,ravdess,11,3,0.0,12.5,-12.5,46.875,46.875,-14.583333333333332,1,0
fpc_formal_ravdess_d11_f4_A,ravdess,11,4,0.0,6.25,-6.25,28.125,40.625,-16.666666666666668,1,0
fpc_formal_ravdess_d12_f0_A,ravdess,12,0,0.0,0.0,0.0,45.83333333333333,45.83333333333333,-21.874999999999996,1,1
fpc_formal_ravdess_d12_f1_A,ravdess,12,1,0.0,0.0,0.0,50.0,50.0,-18.402777777777775,1,1
fpc_formal_ravdess_d12_f2_A,ravdess,12,2,9.375,0.0,9.375,21.875,21.875,-7.291666666666666,0,1
fpc_formal_ravdess_d12_f3_A,ravdess,12,3,0.0,0.0,0.0,31.25,31.25,-8.333333333333332,1,1
fpc_formal_ravdess_d12_f4_A,ravdess,12,4,0.0,-9.375,9.375,31.25,31.25,-1.5625,1,0
fpc_formal_ravdess_d13_f0_A,ravdess,13,0,0.0,-4.166666666666667,4.166666666666667,25.0,33.33333333333333,3.125,0,0
fpc_formal_ravdess_d13_f1_A,ravdess,13,1,0.0,4.166666666666667,-4.166666666666667,33.33333333333333,33.33333333333333,-6.597222222222218,1,0
fpc_formal_ravdess_d13_f2_A,ravdess,13,2,0.0,0.0,0.0,37.5,37.5,-6.25,1,1
fpc_formal_ravdess_d13_f3_A,ravdess,13,3,0.0,0.0,0.0,25.0,31.25,-9.375,1,1
fpc_formal_ravdess_d13_f4_A,ravdess,13,4,0.0,9.375,-9.375,25.0,34.375,-14.0625,1,0
fpc_formal_ravdess_d14_f0_A,ravdess,14,0,0.0,4.166666666666667,-4.166666666666667,41.66666666666667,41.66666666666667,-15.972222222222221,1,0
fpc_formal_ravdess_d14_f1_A,ravdess,14,1,0.0,-2.0833333333333335,2.0833333333333335,27.083333333333332,29.166666666666668,-1.0416666666666643,1,0
fpc_formal_ravdess_d14_f2_A,ravdess,14,2,0.0,6.25,-6.25,31.25,40.625,-2.604166666666668,1,0
fpc_formal_ravdess_d14_f3_A,ravdess,14,3,0.0,0.0,0.0,40.625,40.625,-1.0416666666666643,1,1
fpc_formal_ravdess_d14_f4_A,ravdess,14,4,6.25,6.25,0.0,25.0,25.0,-7.291666666666668,0,0
fpc_formal_ravdess_d15_f0_A,ravdess,15,0,0.0,0.0,0.0,35.41666666666667,35.41666666666667,-2.0833333333333393,1,1
fpc_formal_ravdess_d15_f1_A,ravdess,15,1,6.25,0.0,6.25,25.0,25.0,-4.861111111111114,0,1
fpc_formal_ravdess_d15_f2_A,ravdess,15,2,12.5,0.0,12.5,37.5,37.5,-8.333333333333332,0,0
fpc_formal_ravdess_d15_f3_A,ravdess,15,3,0.0,0.0,0.0,34.375,34.375,-9.375,1,1
fpc_formal_ravdess_d15_f4_A,ravdess,15,4,0.0,-9.375,9.375,37.5,37.5,-7.8125,1,0
fpc_formal_ravdess_d16_f0_A,ravdess,16,0,0.0,0.0,0.0,22.916666666666664,27.083333333333332,-8.333333333333332,1,1
fpc_formal_ravdess_d16_f1_A,ravdess,16,1,0.0,-4.166666666666667,4.166666666666667,37.5,37.5,-8.333333333333332,1,0
fpc_formal_ravdess_d16_f2_A,ravdess,16,2,0.0,0.0,0.0,25.0,34.375,-17.1875,1,1
fpc_formal_ravdess_d16_f3_A,ravdess,16,3,0.0,-6.25,6.25,18.75,31.25,-11.458333333333334,1,0
fpc_formal_ravdess_d16_f4_A,ravdess,16,4,0.0,0.0,0.0,40.625,40.625,-3.125,1,0
fpc_formal_ravdess_d17_f0_A,ravdess,17,0,0.0,0.0,0.0,37.5,37.5,-8.333333333333336,1,1
fpc_formal_ravdess_d17_f1_A,ravdess,17,1,-10.416666666666666,0.0,-10.416666666666666,25.0,35.41666666666667,1.0416666666666643,0,1
fpc_formal_ravdess_d17_f2_A,ravdess,17,2,-6.25,0.0,-6.25,37.5,37.5,-10.9375,0,1
fpc_formal_ravdess_d17_f3_A,ravdess,17,3,0.0,0.0,0.0,15.625,21.875,-4.166666666666666,1,0
fpc_formal_ravdess_d17_f4_A,ravdess,17,4,0.0,0.0,0.0,37.5,37.5,-9.895833333333332,1,1
fpc_formal_ravdess_d18_f0_A,ravdess,18,0,0.0,-6.25,6.25,37.5,37.5,-12.847222222222225,1,0
fpc_formal_ravdess_d18_f1_A,ravdess,18,1,0.0,0.0,0.0,29.166666666666668,43.75,-12.152777777777782,1,1
fpc_formal_ravdess_d18_f2_A,ravdess,18,2,0.0,0.0,0.0,50.0,50.0,-23.958333333333332,1,1
fpc_formal_ravdess_d18_f3_A,ravdess,18,3,0.0,-9.375,9.375,28.125,28.125,-8.333333333333332,1,0
fpc_formal_ravdess_d18_f4_A,ravdess,18,4,-6.25,-9.375,3.125,31.25,37.5,-13.541666666666668,0,0
