unit_id,corpus,draw,fold,rule,selected_epoch,seen_uar,unseen_uar,outer_uar,oracle_outer_uar,oracle_shortfall_pp,oracle_used_for_selection
fpc_formal_ravdess_d06_f3_A,ravdess,6,3,unseen_uar,13,35.9375,34.375,25.0,25.0,0.0,False
fpc_formal_ravdess_d06_f3_A,ravdess,6,3,last,15,39.0625,31.25,21.875,25.0,3.125,False
fpc_formal_ravdess_d06_f4_A,ravdess,6,4,seen_ce,15,43.75,42.1875,34.375,34.375,0.0,False
fpc_formal_ravdess_d06_f4_A,ravdess,6,4,unseen_ce,15,43.75,42.1875,34.375,34.375,0.0,False
fpc_formal_ravdess_d06_f4_A,ravdess,6,4,seen_uar,15,43.75,42.1875,34.375,34.375,0.0,False
fpc_formal_ravdess_d06_f4_A,ravdess,6,4,unseen_uar,15,43.75,42.1875,34.375,34.375,0.0,False
fpc_formal_ravdess_d06_f4_A,ravdess,6,4,last,15,43.75,42.1875,34.375,34.375,0.0,False
fpc_formal_ravdess_d07_f0_A,ravdess,7,0,seen_ce,3,17.1875,14.0625,14.583333333333334,18.75,4.166666666666666,False
fpc_formal_ravdess_d07_f0_A,ravdess,7,0,unseen_ce,3,17.1875,14.0625,14.583333333333334,18.75,4.166666666666666,False
fpc_formal_ravdess_d07_f0_A,ravdess,7,0,seen_uar,2,21.875,21.875,16.666666666666664,18.75,2.0833333333333357,False
fpc_formal_ravdess_d07_f0_A,ravdess,7,0,unseen_uar,2,21.875,21.875,16.666666666666664,18.75,2.0833333333333357,False
fpc_formal_ravdess_d07_f0_A,ravdess,7,0,last,15,21.875,17.1875,18.75,18.75,0.0,False
fpc_formal_ravdess_d07_f1_A,ravdess,7,1,seen_ce,15,25.0,28.125,31.25,31.25,0.0,False
fpc_formal_ravdess_d07_f1_A,ravdess,7,1,unseen_ce,15,25.0,28.125,31.25,31.25,0.0,False
fpc_formal_ravdess_d07_f1_A,ravdess,7,1,seen_uar,15,25.0,28.125,31.25,31.25,0.0,False
fpc_formal_ravdess_d07_f1_A,ravdess,7,1,unseen_uar,15,25.0,28.125,31.25,31.25,0.0,False
fpc_formal_ravdess_d07_f1_A,ravdess,7,1,last,15,25.0,28.125,31.25,31.25,0.0,False
fpc_formal_ravdess_d07_f2_A,ravdess,7,2,seen_ce,15,37.5,39.0625,40.625,40.625,0.0,False
fpc_formal_ravdess_d07_f2_A,ravdess,7,2,unseen_ce,15,37.5,39.0625,40.625,40.625,0.0,False
fpc_formal_ravdess_d07_f2_A,ravdess,7,2,seen_uar,15,37.5,39.0625,40.625,40.625,0.0,False
fpc_formal_ravdess_d07_f2_A,ravdess,7,2,unseen_uar,15,37.5,39.0625,40.625,40.625,0.0,False
