sequence,unit_id,corpus,model,protocol,seed,outer_fold,status
119,ravdess__resnet_se__groupkfold__s0__f001,ravdess,resnet_se,groupkfold,0,1,success
120,ravdess__resnet_se__groupkfold__s0__f002,ravdess,resnet_se,groupkfold,0,2,success
121,ravdess__resnet_se__groupkfold__s0__f003,ravdess,resnet_se,groupkfold,0,3,success
122,ravdess__resnet_se__groupkfold__s0__f004,ravdess,resnet_se,groupkfold,0,4,success
123,ravdess__resnet_se__groupkfold__s1__f000,ravdess,resnet_se,groupkfold,1,0,success
124,ravdess__resnet_se__groupkfold__s1__f001,ravdess,resnet_se,groupkfold,1,1,success
125,ravdess__resnet_se__groupkfold__s1__f002,ravdess,resnet_se,groupkfold,1,2,success
126,ravdess__resnet_se__groupkfold__s1__f003,ravdess,resnet_se,groupkfold,1,3,success
127,ravdess__resnet_se__groupkfold__s1__f004,ravdess,resnet_se,groupkfold,1,4,success
128,ravdess__resnet_se__groupkfold__s2__f000,ravdess,resnet_se,groupkfold,2,0,success
129,ravdess__resnet_se__groupkfold__s2__f001,ravdess,resnet_se,groupkfold,2,1,success
130,ravdess__resnet_se__groupkfold__s2__f002,ravdess,resnet_se,groupkfold,2,2,success
131,ravdess__resnet_se__groupkfold__s2__f003,ravdess,resnet_se,groupkfold,2,3,success
132,ravdess__resnet_se__groupkfold__s2__f004,ravdess,resnet_se,groupkfold,2,4,success
133,ravdess__resnet_se__loso__s0__f000,ravdess,resnet_se,loso,0,0,success
134,ravdess__resnet_se__loso__s0__f001,ravdess,resnet_se,loso,0,1,success
135,ravdess__resnet_se__loso__s0__f002,ravdess,resnet_se,loso,0,2,success
136,ravdess__resnet_se__loso__s0__f003,ravdess,resnet_se,loso,0,3,success
137,ravdess__resnet_se__loso__s0__f004,ravdess,resnet_se,loso,0,4,success
138,ravdess__resnet_se__loso__s0__f005,ravdess,resnet_se,loso,0,5,success
139,ravdess__resnet_se__loso__s0__f006,ravdess,resnet_se,loso,0,6,success
140,ravdess__resnet_se__loso__s0__f007,ravdess,resnet_se,loso,0,7,success
141,ravdess__resnet_se__loso__s0__f008,ravdess,resnet_se,loso,0,8,success
142,ravdess__resnet_se__loso__s0__f009,ravdess,resnet_se,loso,0,9,success
143,ravdess__resnet_se__loso__s0__f010,ravdess,resnet_se,loso,0,10,success
144,ravdess__resnet_se__loso__s0__f011,ravdess,resnet_se,loso,0,11,success
145,ravdess__resnet_se__loso__s0__f012,ravdess,resnet_se,loso,0,12,success
146,ravdess__resnet_se__loso__s0__f013,ravdess,resnet_se,loso,0,13,success
147,ravdess__resnet_se__loso__s0__f014,ravdess,resnet_se,loso,0,14,success
148,ravdess__resnet_se__loso__s0__f015,ravdess,resnet_se,loso,0,15,success
149,ravdess__resnet_se__loso__s0__f016,ravdess,resnet_se,loso,0,16,success
150,ravdess__resnet_se__loso__s0__f017,ravdess,resnet_se,loso,0,17,success
151,ravdess__resnet_se__loso__s0__f018,ravdess,resnet_se,loso,0,18,success
152,ravdess__resnet_se__loso__s0__f019,ravdess,resnet_se,loso,0,19,success
153,ravdess__resnet_se__loso__s0__f020,ravdess,resnet_se,loso,0,20,success
154,ravdess__resnet_se__loso__s0__f021,ravdess,resnet_se,loso,0,21,success
155,ravdess__resnet_se__loso__s0__f022,ravdess,resnet_se,loso,0,22,success
