method,fold,rotation,draw,policy,n_test_people_expected,n_test_people_used,nn1_mean,nn1_max,nn3_mean
matched_eight_train_prompts_complete,1,2,1,U,19,19,0.6004119251650548,0.7522560778013511,0.6486622293701823
actual_test_query_neutral_available,1,2,1,U,19,19,0.6536507317545426,0.7945988579617038,0.6985849643554422
matched_eight_train_prompts_complete,1,2,2,C,19,19,0.562665543445599,0.7049343214746027,0.6444067490656086
actual_test_query_neutral_available,1,2,2,C,19,19,0.6256568253721135,0.8028570621859638,0.6986108897197616
matched_eight_train_prompts_complete,1,2,2,R,19,19,0.5466902740899181,0.7680093188512611,0.6202766663358803
actual_test_query_neutral_available,1,2,2,R,19,19,0.6156229005185608,0.7595109770244242,0.6749433051519725
matched_eight_train_prompts_complete,1,2,2,U,19,19,0.588997905591054,0.7331935063802665,0.6401350667116522
actual_test_query_neutral_available,1,2,2,U,19,19,0.6424118798098654,0.7889408416501368,0.68982552421175
matched_eight_train_prompts_complete,1,3,0,C,19,19,0.6023997439623094,0.7653862169618986,0.6661796848089955
actual_test_query_neutral_available,1,3,0,C,19,19,0.670000727711146,0.8119523391825924,0.7214523350364329
matched_eight_train_prompts_complete,1,3,0,R,19,19,0.5649775272469987,0.7876192337716236,0.6359375980377472
actual_test_query_neutral_available,1,3,0,R,19,19,0.6414121807842728,0.7947437399731883,0.7004335813380165
matched_eight_train_prompts_complete,1,3,0,U,19,19,0.5568094501174858,0.7653862169618986,0.6284549373357271
actual_test_query_neutral_available,1,3,0,U,19,19,0.6539664936612433,0.8119523391825924,0.706516779693872
matched_eight_train_prompts_complete,1,3,1,C,19,19,0.6023997439623094,0.7653862169618986,0.6661796848089955
actual_test_query_neutral_available,1,3,1,C,19,19,0.670000727711146,0.8119523391825924,0.7214523350364329
matched_eight_train_prompts_complete,1,3,1,R,19,19,0.5649775272469987,0.7876192337716236,0.6359375980377472
actual_test_query_neutral_available,1,3,1,R,19,19,0.6414121807842728,0.7947437399731883,0.7004335813380165
matched_eight_train_prompts_complete,1,3,1,U,19,19,0.5351314088986372,0.7653862169618986,0.6250129824839759
actual_test_query_neutral_available,1,3,1,U,19,19,0.6281368587965769,0.8119523391825924,0.695279108027193
matched_eight_train_prompts_complete,1,3,2,C,19,19,0.6023997439623094,0.7653862169618986,0.6661796848089955
actual_test_query_neutral_available,1,3,2,C,19,19,0.670000727711146,0.8119523391825924,0.7214523350364329
matched_eight_train_prompts_complete,1,3,2,R,19,19,0.5649775272469987,0.7876192337716236,0.6359375980377472
actual_test_query_neutral_available,1,3,2,R,19,19,0.6414121807842728,0.7947437399731883,0.7004335813380165
matched_eight_train_prompts_complete,1,3,2,U,19,19,0.5686466938752841,0.7171371546269585,0.6556855932292089
actual_test_query_neutral_available,1,3,2,U,19,19,0.6461286374412151,0.7947437399731883,0.7124664598062965
matched_eight_train_prompts_complete,1,4,0,C,19,19,0.6230463188645534,0.735674139798299,0.6790594363326826
actual_test_query_neutral_available,1,4,0,C,19,19,0.6620136724695952,0.7863521348349215,0.7219971000624261
matched_eight_train_prompts_complete,1,4,0,R,19,19,0.5497014058411304,0.7918523497266723,0.6255446084555092
actual_test_query_neutral_available,1,4,0,R,19,19,0.6237335225445605,0.8460061097462358,0.6885946828667395
matched_eight_train_prompts_complete,1,4,0,U,19,19,0.5506465629875608,0.7564153309203459,0.6240867788275523
actual_test_query_neutral_available,1,4,0,U,19,19,0.6284027591093103,0.8109535915772819,0.6828055971099347
matched_eight_train_prompts_complete,1,4,1,C,19,19,0.6230463188645534,0.735674139798299,0.6790594363326826
actual_test_query_neutral_available,1,4,1,C,19,19,0.6620136724695952,0.7863521348349215,0.7219971000624261
matched_eight_train_prompts_complete,1,4,1,R,19,19,0.5497014058411304,0.7918523497266723,0.6255446084555092
actual_test_query_neutral_available,1,4,1,R,19,19,0.6237335225445605,0.8460061097462358,0.6885946828667395
matched_eight_train_prompts_complete,1,4,1,U,19,19,0.5518543561156684,0.7918523497266723,0.6172644662408708
actual_test_query_neutral_available,1,4,1,U,19,19,0.6275024574686267,0.8460061097462358,0.6835201477880279
matched_eight_train_prompts_complete,1,4,2,C,19,19,0.6230463188645534,0.735674139798299,0.6790594363326826
actual_test_query_neutral_available,1,4,2,C,19,19,0.6620136724695952,0.7863521348349215,0.7219971000624261
matched_eight_train_prompts_complete,1,4,2,R,19,19,0.5497014058411304,0.7918523497266723,0.6255446084555092
actual_test_query_neutral_available,1,4,2,R,19,19,0.6237335225445605,0.8460061097462358,0.6885946828667395
matched_eight_train_prompts_complete,1,4,2,U,19,19,0.5635400304289981,0.8029150797870551,0.6294054474221806
actual_test_query_neutral_available,1,4,2,U,19,19,0.6446238996970566,0.8460061097462358,0.6958258788360183
matched_eight_train_prompts_complete,1,5,0,C,19,19,0.5872015732561655,0.7320216278479907,0.6580310942079632
actual_test_query_neutral_available,1,5,0,C,19,19,0.6737215354544014,0.8009358306581996,0.7321000959904493
matched_eight_train_prompts_complete,1,5,0,R,19,19,0.6005793638922938,0.7860022094661283,0.6524478656037012
actual_test_query_neutral_available,1,5,0,R,19,19,0.6853472855953601,0.83104586955501,0.733340572260712
matched_eight_train_prompts_complete,1,5,0,U,19,19,0.5764111716159315,0.7450778597351719,0.6363581324018392
actual_test_query_neutral_available,1,5,0,U,19,19,0.6607400534554363,0.8224382791243767,0.7164452602858392
matched_eight_train_prompts_complete,1,5,1,C,19,19,0.5872015732561655,0.7320216278479907,0.6580310942079632
