level,model,cell,gap_accepted_error,gap_coverage,n_test,n_test_accepted,n_test_accepted_errors,n_val,n_val_accepted,n_val_accepted_errors,r,rule,test_accepted_error,test_coverage,test_review_deviation,val_accepted_error,val_coverage
cremad,ridge_wav2vec2_base,GG,0.007475970096119611,0.012575576987294279,7435,2809,546,7691,2809,525,2,secondary,0.19437522249911,0.3778076664425017,0.42219233355749836,0.18689925240299038,0.3652320894552074
cremad,ridge_wavlm_base_plus,GR,0.014843834282947332,0.01110959497573838,7435,6030,1615,7437,5949,1505,0,primary,0.2678275290215589,0.8110289172831204,-0.011028917283120443,0.25298369473861154,0.799919322307382
cremad,ridge_wavlm_base_plus,GR,0.021934679788784744,0.014792700739563625,7435,3767,683,7437,3658,583,0,secondary,0.18131138837271038,0.5066577000672495,0.29334229993275046,0.15937670858392564,0.4918649993276859
cremad,ridge_wavlm_base_plus,GR,0.01611510049732401,0.019717494245995004,7435,6093,1645,7437,5948,1510,1,primary,0.269981946495979,0.819502353732347,-0.019502353732347044,0.253866845998655,0.799784859486352
cremad,ridge_wavlm_base_plus,GR,0.019393248676421032,0.022862459363879595,7435,3822,682,7437,3653,581,1,secondary,0.1784406070120356,0.5140551445864155,0.28594485541358444,0.15904735833561456,0.49119268522253595
cremad,ridge_wavlm_base_plus,GR,0.016096171797109315,0.007047671194630567,7435,5999,1589,7438,5949,1480,2,primary,0.26487747957992996,0.8068594485541358,-0.0068594485541358385,0.24878130778282065,0.7998117773595053
cremad,ridge_wavlm_base_plus,GR,0.007637507820262762,0.01674002509514655,7435,3748,619,7438,3625,571,2,secondary,0.1651547491995731,0.5041022192333557,0.29589778076664425,0.15751724137931034,0.4873621941382092
cremad,ridge_wavlm_base_plus,GG,-0.00305118410667643,0.003974386500555038,7435,5976,1613,7677,6140,1676,0,primary,0.2699129852744311,0.8037659717552118,-0.0037659717552118166,0.2729641693811075,0.7997915852546568
cremad,ridge_wavlm_base_plus,GG,-0.008050897708065358,0.0016771640527663,7435,3345,533,7677,3441,576,0,secondary,0.15934230194319882,0.44989912575655683,0.3501008742434432,0.16739319965126417,0.44822196170379053
cremad,ridge_wavlm_base_plus,GG,0.0010604896085992799,-0.009848704404649244,7435,5874,1535,7676,6140,1598,1,primary,0.2613210759278175,0.7900470746469401,0.00995292535305986,0.2602605863192182,0.7998957790515894
cremad,ridge_wavlm_base_plus,GG,0.00043636043226785715,-0.001917714512399138,7435,3649,594,7676,3782,614,1,secondary,0.16278432447245822,0.49078681909885674,0.3092131809011433,0.16234796404019036,0.4927045336112559
cremad,ridge_wavlm_base_plus,GG,0.0063707864176882345,-0.004473424907251,7435,5913,1545,7691,6151,1568,2,primary,0.2612886859462202,0.7952925353059852,0.004707464694014785,0.25491789952853194,0.7997659602132362
cremad,ridge_wavlm_base_plus,GG,0.0007919189396615733,0.0015455579701407762,7435,3569,576,7691,3680,591,2,secondary,0.1613897450266181,0.4800268997982515,0.31997310020174846,0.16059782608695652,0.47848134182811075
cremad,wavlm_ft,GR,0.023266347285258004,0.007074625238011389,7435,6000,1481,7437,5949,1330,0,primary,0.24683333333333332,0.8069939475453934,-0.006993947545393453,0.22356698604807532,0.799919322307382
cremad,wavlm_ft,GR,0.023747175011483712,0.0029819639872937787,7435,4375,751,7437,4354,644,0,secondary,0.17165714285714287,0.5884330867518494,0.21156691324815063,0.14790996784565916,0.5854511227645556
cremad,wavlm_ft,GG,-0.005200736231433023,0.005453875404388242,7435,5987,1607,7677,6140,1680,0,primary,0.2684148989477201,0.805245460659045,-0.00524546065904502,0.2736156351791531,0.7997915852546568
cremad,wavlm_ft,GG,0.014034698708931176,0.01824969281337918,7435,3905,714,7677,3892,657,0,secondary,0.182842509603073,0.5252185608607935,0.27478143913920644,0.16880781089414182,0.5069688680474144
ravdess,cnn,GR,0.11175595238095237,-0.021681723419041066,1439,1120,551,1440,1152,438,0,primary,0.4919642857142857,0.778318276580959,0.02168172341904101,0.3802083333333333,0.8
ravdess,cnn,GR,0.09806701030927836,-0.003240579878001748,1439,480,150,1440,485,104,0,secondary,0.3125,0.33356497567755383,0.46643502432244616,0.21443298969072164,0.3368055555555556
ravdess,cnn,GR,0.058680086758675865,-0.0279360667129952,1439,1111,504,1440,1152,455,1,primary,0.45364536453645365,0.7720639332870048,0.027936066712995145,0.3949652777777778,0.8
ravdess,cnn,GR,0.10773680404916847,-0.01576084858312099,1439,438,146,1440,461,104,1,secondary,0.3333333333333333,0.30437804030576787,0.4956219596942321,0.22559652928416485,0.32013888888888886
ravdess,cnn,GR,0.0826305108728031,-0.022376650451702562,1439,1119,549,1440,1152,470,2,primary,0.4906166219839142,0.7776233495482975,0.022376650451702507,0.4079861111111111,0.8
ravdess,cnn,GR,0.10617314750764509,-0.035875125472936475,1439,489,164,1440,541,124,2,secondary,0.33537832310838445,0.33981931897150797,0.460180681028492,0.22920517560073936,0.37569444444444444
ravdess,cnn,GG,-0.0002658910915792623,0.013198050495558555,1439,1170,673,1499,1199,690,0,primary,0.5752136752136752,0.8130646282140376,-0.013064628214037588,0.5754795663052544,0.799866577718479
ravdess,cnn,GG,0.032769879600027196,0.0047022314158013945,1439,241,80,1499,244,73,0,secondary,0.33195020746887965,0.1674774148714385,0.6325225851285614,0.29918032786885246,0.1627751834556371
ravdess,cnn,GG,0.012721144781433713,0.011246869812982063,1439,1167,649,1498,1198,651,1,primary,0.5561268209083119,0.8109798471160529,-0.010979847116052877,0.5434056761268782,0.7997329773030708
ravdess,cnn,GG,0.04468531468531467,-0.001517891355720058,1439,286,90,1498,300,81,1,secondary,0.3146853146853147,0.19874913134120917,0.6012508686587907,0.27,0.20026702269692923
ravdess,cnn,GG,0.021132973623144036,0.017367612691527978,1439,1176,682,1499,1199,670,2,primary,0.5799319727891157,0.817234190410007,-0.01723419041000701,0.5587989991659716,0.799866577718479
ravdess,cnn,GG,0.10152006029344113,0.0812002998524381,1439,377,144,1499,271,76,2,secondary,0.3819628647214854,0.2619874913134121,0.5380125086865879,0.28044280442804426,0.180787191460974
ravdess,ridge_hubert_base,GR,0.1745965959328028,-0.014037526059763716,1439,1131,492,1440,1152,300,0,primary,0.4350132625994695,0.7859624739402363,0.01403752605976366,0.2604166666666667,0.8
ravdess,ridge_hubert_base,GR,0.20126189561814992,-0.045508551463207425,1439,673,242,1440,739,117,0,secondary,0.35958395245170877,0.467685892981237,0.332314107018763,0.15832205683355885,0.5131944444444444
ravdess,ridge_hubert_base,GR,0.1891681763285024,-0.0008339124391939512,1439,1150,530,1440,1152,313,1,primary,0.4608695652173913,0.7991660875608061,0.0008339124391938957,0.2717013888888889,0.8
ravdess,ridge_hubert_base,GR,0.1771045589571109,-0.006689155277584735,1439,529,183,1440,539,91,1,secondary,0.34593572778827975,0.3676164002779708,0.43238359972202917,0.16883116883116883,0.37430555555555556
ravdess,ridge_hubert_base,GR,0.17334066164154105,0.029742876997915224,1439,1194,549,1440,1152,330,2,primary,0.45979899497487436,0.8297428769979153,-0.02974287699791528,0.2864583333333333,0.8
ravdess,ridge_hubert_base,GR,0.23055947598885393,0.016336576326152485,1439,755,303,1440,732,125,2,secondary,0.4013245033112583,0.5246699096594858,0.2753300903405142,0.17076502732240437,0.5083333333333333
ravdess,ridge_hubert_base,GG,-0.017302270927603836,-0.0027852712556576398,1439,1147,535,1499,1199,580,0,primary,0.4664341761115955,0.7970813064628214,0.002918693537178607,0.4837364470391993,0.799866577718479
ravdess,ridge_hubert_base,GG,0.06808288664244344,0.045398345248465394,1439,361,116,1499,308,78,0,secondary,0.32132963988919666,0.250868658790827,0.549131341209173,0.2532467532467532,0.2054703135423616
