module,original_scale,N,comparison,condition,endpoint,estimate,estimator,id,level,model,n,primary,reference_condition,reference_estimator,ci95_low,ci95_high,interpretation,target_class,threshold_points,available,ci95,reason,b,n_reps,n_undefined_bootstrap,quantity,n_dropped,n_population,rule,interval,n_repeats
A,UAR percentage points; harm endpoints are proportions,5,single:sad@5[shrink]-[naive],single:sad@5,5,25.485958485958484,shrink,ep5:cremad:hubert_base:single:sad@5[shrink]-[naive],cremad,hubert_base,91,False,single:sad@5,naive,23.7289072039072,27.246108058608062,,sad,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,mean_e(single:e@5)[neutral_filter]-[naive],single:*@5,5,18.427960927960928,neutral_filter,ep5:cremad:hubert_base:mean_e(single:e@5)[neutral_filter]-[naive],cremad,hubert_base,91,False,single:*@5,naive,17.564504477004476,19.30128713878714,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:angry@5[neutral_filter]-[naive],single:angry@5,5,19.65323565323565,neutral_filter,ep5:cremad:hubert_base:single:angry@5[neutral_filter]-[naive],cremad,hubert_base,91,False,single:angry@5,naive,18.22039072039072,21.117826617826616,,angry,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:disgust@5[neutral_filter]-[naive],single:disgust@5,5,19.706349206349206,neutral_filter,ep5:cremad:hubert_base:single:disgust@5[neutral_filter]-[naive],cremad,hubert_base,91,False,single:disgust@5,naive,18.434661172161174,21.032967032967033,,disgust,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:fearful@5[neutral_filter]-[naive],single:fearful@5,5,18.78266178266178,neutral_filter,ep5:cremad:hubert_base:single:fearful@5[neutral_filter]-[naive],cremad,hubert_base,91,False,single:fearful@5,naive,17.37664835164835,20.161797924297925,,fearful,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:happy@5[neutral_filter]-[naive],single:happy@5,5,17.573870573870572,neutral_filter,ep5:cremad:hubert_base:single:happy@5[neutral_filter]-[naive],cremad,hubert_base,91,False,single:happy@5,naive,16.129410866910867,19.020177045177043,,happy,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:neutral@5[neutral_filter]-[naive],single:neutral@5,5,16.184981684981686,neutral_filter,ep5:cremad:hubert_base:single:neutral@5[neutral_filter]-[naive],cremad,hubert_base,91,False,single:neutral@5,naive,14.815003052503053,17.553128815628813,,neutral,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:sad@5[neutral_filter]-[naive],single:sad@5,5,18.666666666666664,neutral_filter,ep5:cremad:hubert_base:single:sad@5[neutral_filter]-[naive],cremad,hubert_base,91,False,single:sad@5,naive,17.06958180708181,20.25152625152625,,sad,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,mean_e(single:e@5)[prior_corrected]-[naive],single:*@5,5,25.86029711029711,prior_corrected,ep5:cremad:hubert_base:mean_e(single:e@5)[prior_corrected]-[naive],cremad,hubert_base,91,False,single:*@5,naive,24.484429690679693,27.237996031746032,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:angry@5[prior_corrected]-[naive],single:angry@5,5,30.0970695970696,prior_corrected,ep5:cremad:hubert_base:single:angry@5[prior_corrected]-[naive],cremad,hubert_base,91,False,single:angry@5,naive,28.165430402930404,31.946291208791216,,angry,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:disgust@5[prior_corrected]-[naive],single:disgust@5,5,24.304029304029303,prior_corrected,ep5:cremad:hubert_base:single:disgust@5[prior_corrected]-[naive],cremad,hubert_base,91,False,single:disgust@5,naive,22.433363858363858,26.12089438339439,,disgust,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:fearful@5[prior_corrected]-[naive],single:fearful@5,5,24.49328449328449,prior_corrected,ep5:cremad:hubert_base:single:fearful@5[prior_corrected]-[naive],cremad,hubert_base,91,False,single:fearful@5,naive,23.01282051282051,26.01222527472527,,fearful,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:happy@5[prior_corrected]-[naive],single:happy@5,5,24.547008547008552,prior_corrected,ep5:cremad:hubert_base:single:happy@5[prior_corrected]-[naive],cremad,hubert_base,91,False,single:happy@5,naive,22.805677655677645,26.250335775335774,,happy,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:neutral@5[prior_corrected]-[naive],single:neutral@5,5,26.87179487179487,prior_corrected,ep5:cremad:hubert_base:single:neutral@5[prior_corrected]-[naive],cremad,hubert_base,91,False,single:neutral@5,naive,24.980326617826616,28.695360195360195,,neutral,,,,,,,,,,,,,
