model,B,S,scenario,speaker,draw0_uar_pp,draw1_uar_pp,draw2_uar_pp,mean_uar_pp
ridge_wavlm,288,12,prompt_new,1045,30.555555555555557,26.38888888888889,27.777777777777775,28.240740740740737
ridge_wavlm,288,12,prompt_new,1046,29.166666666666668,29.166666666666668,22.22222222222222,26.85185185185185
ridge_wavlm,288,12,prompt_new,1047,33.33333333333333,34.72222222222223,41.66666666666667,36.574074074074076
ridge_wavlm,288,12,prompt_new,1048,38.88888888888889,24.999999999999996,25.0,29.62962962962963
ridge_wavlm,288,12,prompt_new,1049,31.944444444444446,31.944444444444446,29.166666666666668,31.01851851851852
ridge_wavlm,288,12,prompt_new,1050,34.72222222222223,37.5,31.944444444444446,34.72222222222222
ridge_wavlm,288,12,prompt_new,1051,33.33333333333333,26.38888888888889,26.38888888888889,28.7037037037037
ridge_wavlm,288,12,prompt_new,1052,24.999999999999996,29.166666666666668,30.555555555555554,28.240740740740737
ridge_wavlm,288,12,prompt_new,1053,26.38888888888889,27.77777777777778,26.38888888888889,26.85185185185185
ridge_wavlm,288,12,prompt_new,1054,25.0,16.666666666666664,30.555555555555554,24.074074074074073
ridge_wavlm,288,12,prompt_new,1055,29.166666666666668,29.166666666666668,29.166666666666668,29.166666666666668
ridge_wavlm,288,12,prompt_new,1056,29.166666666666664,34.72222222222223,29.166666666666668,31.01851851851852
ridge_wavlm,288,12,prompt_new,1057,31.944444444444443,27.777777777777775,23.611111111111107,27.77777777777777
ridge_wavlm,288,12,prompt_new,1058,29.166666666666668,20.833333333333336,34.72222222222223,28.240740740740744
ridge_wavlm,288,12,prompt_new,1059,33.33333333333333,22.22222222222222,23.611111111111114,26.388888888888886
ridge_wavlm,288,12,prompt_new,1060,26.38888888888889,20.833333333333336,29.166666666666664,25.462962962962962
ridge_wavlm,288,12,prompt_new,1061,26.38888888888889,34.72222222222223,34.72222222222223,31.944444444444446
ridge_wavlm,288,12,prompt_new,1062,25.0,23.611111111111107,22.22222222222222,23.61111111111111
ridge_wavlm,288,12,prompt_new,1063,37.5,34.722222222222214,26.38888888888889,32.87037037037037
ridge_wavlm,288,12,prompt_new,1064,41.66666666666666,36.11111111111111,36.11111111111111,37.96296296296296
ridge_wavlm,288,12,prompt_new,1065,29.166666666666668,25.000000000000007,20.833333333333336,25.0
ridge_wavlm,288,12,prompt_new,1066,29.166666666666668,29.166666666666668,27.77777777777778,28.703703703703706
ridge_wavlm,288,12,prompt_new,1067,19.444444444444443,19.444444444444443,25.0,21.296296296296294
ridge_wavlm,288,12,prompt_new,1068,30.555555555555554,31.944444444444446,31.944444444444446,31.48148148148148
ridge_wavlm,288,12,prompt_new,1069,29.166666666666664,20.83333333333333,31.944444444444446,27.314814814814813
ridge_wavlm,288,12,prompt_new,1070,23.611111111111114,29.166666666666668,29.166666666666664,27.31481481481482
ridge_wavlm,288,12,prompt_new,1071,29.166666666666668,23.611111111111107,27.77777777777778,26.851851851851848
ridge_wavlm,288,12,prompt_new,1072,27.77777777777778,23.611111111111114,29.166666666666668,26.85185185185185
ridge_wavlm,288,12,prompt_new,1073,25.0,24.999999999999996,23.611111111111114,24.537037037037038
ridge_wavlm,288,12,prompt_new,1074,29.166666666666668,23.611111111111107,26.38888888888889,26.388888888888886
ridge_wavlm,288,12,prompt_new,1075,36.11111111111111,29.166666666666668,34.722222222222214,33.33333333333333
ridge_wavlm,288,12,prompt_new,1076,28.535353535353536,24.242424242424242,25.757575757575758,26.17845117845118
ridge_wavlm,288,12,prompt_new,1077,22.22222222222222,26.38888888888889,22.22222222222222,23.611111111111114
ridge_wavlm,288,12,prompt_new,1078,23.611111111111107,33.33333333333333,27.777777777777775,28.240740740740737
ridge_wavlm,288,12,prompt_new,1079,38.88888888888889,36.11111111111111,34.72222222222223,36.574074074074076
ridge_wavlm,288,12,prompt_new,1080,27.77777777777778,36.11111111111111,36.111111111111114,33.333333333333336
ridge_wavlm,288,12,prompt_new,1081,36.11111111111111,27.777777777777775,31.944444444444446,31.944444444444443
ridge_wavlm,288,12,prompt_new,1082,23.611111111111114,20.83333333333333,22.22222222222222,22.222222222222218
ridge_wavlm,288,12,prompt_new,1083,34.72222222222223,26.38888888888889,33.33333333333333,31.48148148148148
ridge_wavlm,288,12,prompt_new,1084,26.38888888888889,31.944444444444446,29.166666666666668,29.166666666666668
ridge_wavlm,288,12,prompt_new,1085,30.555555555555554,30.555555555555554,31.944444444444443,31.018518518518515
ridge_wavlm,288,12,prompt_new,1086,23.611111111111114,25.0,20.83333333333333,23.14814814814815
ridge_wavlm,288,12,prompt_new,1087,33.33333333333333,27.77777777777778,29.166666666666668,30.09259259259259
ridge_wavlm,288,12,prompt_new,1088,30.555555555555557,37.5,27.77777777777778,31.944444444444446
ridge_wavlm,288,12,prompt_new,1089,23.611111111111114,31.944444444444443,34.722222222222214,30.09259259259259
ridge_wavlm,288,12,prompt_new,1090,26.38888888888889,33.33333333333333,26.38888888888889,28.7037037037037
ridge_wavlm,288,12,prompt_new,1091,33.33333333333333,33.33333333333333,27.77777777777778,31.481481481481477
ridge_wavlm,288,48,prompt_seen,1001,36.11111111111111,25.0,27.77777777777778,29.62962962962963
ridge_wavlm,288,48,prompt_seen,1002,29.545454545454547,33.33333333333333,41.03535353535353,34.638047138047135
ridge_wavlm,288,48,prompt_seen,1003,50.000000000000014,43.05555555555556,51.38888888888889,48.14814814814815
ridge_wavlm,288,48,prompt_seen,1004,48.6111111111111,51.38888888888889,50.0,50.0
ridge_wavlm,288,48,prompt_seen,1005,48.61111111111111,44.44444444444445,50.0,47.68518518518518
ridge_wavlm,288,48,prompt_seen,1006,37.12121212121212,43.30808080808081,47.348484848484844,42.59259259259259
ridge_wavlm,288,48,prompt_seen,1007,33.33333333333333,27.77777777777778,37.5,32.870370370370374
ridge_wavlm,288,48,prompt_seen,1008,42.424242424242415,46.96969696969697,30.303030303030305,39.898989898989896
ridge_wavlm,288,48,prompt_seen,1009,37.878787878787875,45.45454545454545,48.484848484848484,43.93939393939394
ridge_wavlm,288,48,prompt_seen,1010,47.22222222222223,45.83333333333333,37.5,43.51851851851851
ridge_wavlm,288,48,prompt_seen,1011,50.000000000000014,61.11111111111111,48.61111111111111,53.24074074074074
