level,model,b,n_reps,n_speakers,accepted_classes_present,accepted_error,accepted_present_class_uar,accepted_support_0,accepted_support_1,accepted_support_2,accepted_support_3,accepted_support_4,accepted_support_5,accepted_uar,actual_review_rate,coverage,error_capture_rate,n_rejected,n_utts,overall_error_rate,overall_uar,quota_accepted_error,quota_coverage,quota_error_capture_rate,speaker_coverage_min,speaker_coverage_p10,speaker_equal_accepted_error,speaker_risk_undefined_count,speakers_below_0.70,speakers_zero,tau,aurc,oracle_aurc,e_aurc,speaker_equal_coverage,fold_accepted_error,fold_actual_review_rate,fold_speakers_below_0_70,accepted_error_ci_low,accepted_error_ci_high,capture_ci_low,capture_ci_high,accepted_support_6,accepted_support_7
ravdess,transformer,0.2,3,24,8.0,0.5847800925925926,41.24801108952189,64.0,165.33333333333334,154.0,147.66666666666666,161.33333333333334,154.66666666666666,41.24801108952189,0.19944405837387072,0.8005559416261293,0.23972774754507542,287.0,1439.0,0.6157053509381515,38.77663248981966,0.5830439814814815,0.8005559416261293,0.24199897522107383,0.41111111111111104,0.5566666666666666,0.5843907695783185,0.0,4.0,0.0,0.3373862363446012,0.4856213691590061,0.24850872227363374,0.23711264688537245,0.8006238229755178,0.5804398148148148,0.19944405837387072,1.3333333333333333,0.5484649152594675,0.6237484464293945,0.19899628981974363,0.28283451864564296,154.66666666666666,150.33333333333334
ravdess,wav2vec2_base,0.2,3,24,8.0,0.41232638888888884,57.84561210913339,73.66666666666667,163.66666666666666,144.33333333333334,150.66666666666666,163.0,153.33333333333334,57.84561210913339,0.19944405837387072,0.8005559416261293,0.28655483386513003,287.0,1439.0,0.4625897614083854,53.32463005381036,0.41290509259259256,0.8005559416261293,0.28539818029971736,0.6,0.6299905838041432,0.40862148901076106,0.0,4.666666666666667,0.0,0.4173952769566173,0.3091495267673641,0.12911713678458508,0.180032389982779,0.8005100439422473,0.4140625,0.19944405837387072,0.3333333333333333,0.3649934758241953,0.46206869171505,0.23493136903229614,0.33782317442667203,151.0,152.33333333333334
ravdess,wavlm_base_plus,0.2,3,24,8.0,0.2922453703703704,70.61920821184754,84.66666666666667,161.0,135.33333333333334,138.0,169.33333333333334,153.66666666666666,70.61920821184754,0.19944405837387072,0.8005559416261293,0.34667416904173504,287.0,1439.0,0.3581190641649294,65.11711932809773,0.2913773148148148,0.8005559416261293,0.34863490856415225,0.6277777777777778,0.6844444444444444,0.2902970205294407,0.0,3.6666666666666665,0.0,0.46192289128646863,0.19739069964496547,0.07367008311615196,0.1237206165288135,0.8005649717514126,0.2922453703703704,0.19944405837387072,1.3333333333333333,0.24539781015619208,0.34284868271652635,0.2928680070891176,0.40162136575304824,157.33333333333334,152.66666666666666
ravdess,wavlm_base_plus_ft,0.2,2,24,8.0,0.3402777777777778,65.05738686270443,79.5,168.0,140.5,148.5,172.0,130.0,65.05738686270443,0.19944405837387075,0.8005559416261293,0.3280598594654985,287.0,1439.0,0.4054899235580264,59.566903904886566,0.3511284722222222,0.8005559416261293,0.30637109340546265,0.47500000000000003,0.6375,0.3435726313656605,0.0,4.0,0.0,0.502488335670507,0.2375220126674638,0.09661407807845274,0.1409079345890111,0.8005237758945386,0.3446180555555556,0.19944405837387075,0.5,0.2986190093393153,0.3843722778250693,0.2811001368479084,0.3755412245549445,167.0,146.5
subesco_980,cnn,0.2,9,20,7.0,0.5707199546485261,41.06417080917382,119.33333333333333,100.22222222222223,111.88888888888889,108.22222222222223,128.66666666666666,117.88888888888889,41.06417080917382,0.2,0.8,0.24212896218072533,196.0,980.0,0.6024943310657597,39.75056689342404,0.5704166666666667,0.8163265306122449,0.22706902400076537,0.42630385487528344,0.5571428571428572,0.5714148968480053,0.0,4.222222222222222,0.0,0.31644454753233153,0.501475274406524,0.23631914031831666,0.26515613408820726,0.8,0.5673036093418259,0.1989795918367347,1.6666666666666667,0.528373280085588,0.6116745074431335,0.19382176457573982,0.2909248213574419,97.77777777777777,
subesco_980,hubert_base,0.2,3,20,7.0,0.3843537414965987,60.562238995434605,114.33333333333333,101.0,117.66666666666667,106.0,128.33333333333334,115.33333333333333,60.562238995434605,0.20000000000000004,0.8000000000000002,0.2921573353408787,196.0,980.0,0.4343537414965986,56.56462585034014,0.38999999999999996,0.8163265306122449,0.26690955493110596,0.5578231292517007,0.6591836734693878,0.3845278646281594,0.0,3.6666666666666665,0.0,0.42536638674980215,0.2959396117381697,0.1124282371563195,0.1835113745818502,0.7999999999999999,0.38343949044585984,0.19897959183673466,1.3333333333333333,0.33324931427887594,0.439756537084327,0.24147877971156984,0.3430648029731831,101.33333333333333,
subesco_980,resnet_se,0.2,3,20,7.0,0.5255102040816326,46.321058645494986,116.0,103.33333333333333,110.33333333333333,105.33333333333333,127.0,116.33333333333333,46.321058645494986,0.20000000000000004,0.8000000000000002,0.2490959690243966,196.0,980.0,0.5595238095238095,44.04761904761906,0.5245833333333333,0.8163265306122449,0.2351820556136832,0.5034013605442177,0.6278911564625851,0.5245484378709611,0.0,3.0,0.0,0.3560180884702515,0.4565987917048108,0.19916617557826108,0.2574326161265497,0.8,0.5231422505307856,0.19897959183673466,1.3333333333333333,0.49037422717618334,0.5614437334186302,0.21634298872616395,0.2820285026396047,105.66666666666667,
subesco_980,transformer,0.2,3,20,7.0,0.5841836734693878,39.882290588690154,117.66666666666667,102.33333333333333,110.66666666666667,106.66666666666667,130.0,119.66666666666667,39.882290588690154,0.20000000000000004,0.8000000000000002,0.246434937179846,196.0,980.0,0.6200680272108844,37.993197278911566,0.5858333333333333,0.8163265306122449,0.22890977811151716,0.5306122448979592,0.6095238095238095,0.5827809103622862,0.0,3.6666666666666665,0.0,0.3257047651111004,0.5078412395026185,0.2531768297877968,0.2546644097148217,0.8,0.5825902335456475,0.19897959183673466,2.0,0.5434333965191673,0.6226496489404268,0.2046734333201717,0.28734525072398426,97.0,
subesco_980,wav2vec2_base,0.2,3,20,7.0,0.4243197278911565,56.39561679214817,114.66666666666667,99.66666666666667,114.0,106.66666666666667,128.66666666666666,113.0,56.39561679214817,0.20000000000000004,0.8000000000000002,0.28413213542523885,196.0,980.0,0.4741496598639456,52.585034013605444,0.43041666666666667,0.8163265306122449,0.259015569360397,0.6258503401360543,0.6959183673469388,0.42558476394916117,0.0,2.6666666666666665,0.0,0.4058822428309359,0.32001349485853964,0.1364132898662591,0.18360020499228047,0.8,0.42080679405520166,0.19897959183673466,1.0,0.3759204258619037,0.472142420259177,0.2529799993557928,0.31517645936605354,107.33333333333333,
subesco_980,wavlm_base_plus,0.2,3,20,7.0,0.39965986394557823,59.04323056652472,116.66666666666667,99.0,119.0,108.33333333333333,124.66666666666667,117.0,59.04323056652472,0.20000000000000004,0.8000000000000002,0.2958809493265146,196.0,980.0,0.45408163265306123,54.59183673469388,0.40625,0.8163265306122449,0.2696945400993613,0.6394557823129251,0.6789115646258503,0.3965178920656805,0.0,4.0,0.0,0.4295371651997473,0.30538286507673934,0.12388481832274152,0.1814980467539978,0.8,0.40212314225053075,0.19897959183673466,0.3333333333333333,0.339313310686654,0.4607974779569418,0.2441749577141211,0.34956944165359327,99.33333333333333,
subesco_980,wavlm_base_plus_ft,0.2,2,20,7.0,0.4292091836734694,55.4565914652657,108.5,99.0,117.5,108.5,132.5,118.0,55.4565914652657,0.2,0.8,0.2674531749874216,196.0,980.0,0.4688775510204082,53.11224489795919,0.43,0.8163265306122449,0.25124835056341904,0.29591836734693877,0.35408163265306125,0.41047025114099406,0.0,5.0,0.0,0.41287530526032906,0.3319636620962634,0.1334954258078067,0.19846823628845667,0.8,0.4286624203821656,0.1989795918367347,1.0,0.3711133692991759,0.48959131722576055,0.14834195187971255,0.4058613402004547,100.0,
