level,model,replicate,variant,accepted_classes_present,accepted_error,accepted_present_class_uar,accepted_support_0,accepted_support_1,accepted_support_2,accepted_support_3,accepted_support_4,accepted_support_5,accepted_uar,actual_review_rate,b,coverage,error_capture_rate,n_rejected,n_utts,overall_error_rate,overall_uar,quota_accepted_error,quota_coverage,quota_error_capture_rate,speaker_coverage_min,speaker_coverage_p10,speaker_equal_accepted_error,speaker_risk_undefined_count,speakers_below_0.70,speakers_zero,tau,accepted_support_6,accepted_support_7
cremad,resnet_se,r1s1,within_fold,6,0.3273146369573569,66.47622870344011,1026,887,793,781,851,868,66.47622870344011,0.2997982515131137,0.3,0.7002017484868863,0.44404567699836867,2229,7435,0.41223940820443844,59.24387825377345,0.3323188130112231,0.7070611970410222,0.4300163132137031,0.5487804878048781,0.6097560975609756,0.3284574871475611,0,43,0,0.5206017400537386,,
cremad,resnet_se,r2s2,global_oof,6,0.39181111775254035,60.96612795173756,1192,1148,1117,1112,979,1144,60.96612795173756,0.09993275050437121,0.1,0.9000672494956288,0.16096,743,7435,0.4203093476798924,58.30821715118636,0.3932935916542474,0.902488231338265,0.15552,0.7926829268292683,0.8414634146341463,0.39195635506648946,0,0,0,0.4079474001033609,,
cremad,resnet_se,r2s2,global_oof,6,0.3656691324815064,63.16831901709631,1103,1028,955,937,903,1022,63.16831901709631,0.2,0.2,0.8,0.304,1487,7435,0.4203093476798924,58.30821715118636,0.3679371447676362,0.8045729657027573,0.29568,0.6341463414634146,0.7236842105263158,0.3646159306155734,0,5,0,0.4703719446264567,,
cremad,resnet_se,r2s2,global_oof,6,0.33659942363112394,65.5153968041046,1027,916,791,770,822,879,65.5153968041046,0.29993275050437124,0.3,0.7000672494956288,0.43936,2230,7435,0.4203093476798924,58.30821715118636,0.3406886056686323,0.7070611970410222,0.42688,0.5,0.6097560975609756,0.3353498014347425,0,46,0,0.5215913669833099,,
cremad,resnet_se,r2s2,within_fold,6,0.3924996264754221,60.87362179914978,1191,1148,1119,1107,984,1144,60.87362179914978,0.09979825151311365,0.1,0.9002017484868864,0.15936,742,7435,0.4203093476798924,58.30821715118636,0.3932935916542474,0.902488231338265,0.15552,0.8170731707317073,0.8536585365853658,0.3927246718904758,0,0,0,0.4079474001033609,,
cremad,resnet_se,r2s2,within_fold,6,0.3658823529411765,63.13279298325137,1103,1031,952,937,904,1023,63.13279298325137,0.19973100201748487,0.2,0.8002689979825152,0.30336,1485,7435,0.4203093476798924,58.30821715118636,0.3679371447676362,0.8045729657027573,0.29568,0.6829268292682927,0.7317073170731707,0.3654639146950087,0,2,0,0.4703719446264567,,
cremad,resnet_se,r2s2,within_fold,6,0.339608144448713,65.1794396039667,1029,913,788,773,827,876,65.1794396039667,0.2997982515131137,0.3,0.7002017484868863,0.43424,2229,7435,0.4203093476798924,58.30821715118636,0.3406886056686323,0.7070611970410222,0.42688,0.5487804878048781,0.6219512195121951,0.3384530763836433,0,47,0,0.5215913669833099,,
cremad,transformer,r0s0,global_oof,6,0.4887925881649731,51.0047495480323,1224,1106,1097,1116,987,1162,51.0047495480323,0.09993275050437121,0.1,0.9000672494956288,0.13213053860440435,743,7435,0.5069266980497646,49.65599861842172,0.48971684053651265,0.902488231338265,0.12815070310427168,0.7804878048780488,0.8414634146341463,0.48878617375918115,0,0,0,0.3512207365017516,,
cremad,transformer,r0s0,global_oof,6,0.46772024209818425,52.833573008106214,1135,971,956,964,862,1060,52.833573008106214,0.2,0.2,0.8,0.2618731759087291,1487,7435,0.5069266980497646,49.65599861842172,0.4702440655299231,0.8045729657027573,0.2536481825417883,0.5975609756097561,0.7,0.4677566040894974,0,9,0,0.39733589962288934,,
cremad,transformer,r0s0,global_oof,6,0.44803073967339097,54.432579213091714,1022,850,803,827,751,952,54.432579213091714,0.29993275050437124,0.3,0.7000672494956288,0.38126824091270894,2230,7435,0.5069266980497646,49.65599861842172,0.4508274681377211,0.7070611970410222,0.37118599097903954,0.43902439024390244,0.5609756097560976,0.447523478298757,0,43,0,0.4363026996828695,,
