level,model,b,speaker,coverage,accepted_error,n_utts,n_reps,n_defined_risk_reps
cremad,cnn,0.2,1025,0.8252032520325203,0.4631987123207491,82,3,3
cremad,cnn,0.2,1026,0.8292682926829268,0.2547959265904069,82,3,3
cremad,cnn,0.2,1027,0.7398373983739838,0.33308954320954215,82,3,3
cremad,cnn,0.2,1028,0.7764227642276422,0.42898212898212895,82,3,3
cremad,cnn,0.2,1029,0.7682926829268292,0.39090157154673283,82,3,3
cremad,cnn,0.2,1030,0.7520325203252032,0.29715519268172785,82,3,3
cremad,cnn,0.2,1031,0.8089430894308943,0.5465812318382238,82,3,3
cremad,cnn,0.2,1032,0.8373983739837398,0.3782927312339077,82,3,3
cremad,cnn,0.2,1033,0.7032520325203252,0.24814597970335672,82,3,3
cremad,cnn,0.2,1034,0.8089430894308943,0.4071182548794489,82,3,3
cremad,cnn,0.2,1035,0.7967479674796749,0.3861087672991353,82,3,3
cremad,cnn,0.2,1036,0.7317073170731708,0.5621973894379555,82,3,3
cremad,cnn,0.2,1037,0.8577235772357724,0.27022132796780685,82,3,3
cremad,cnn,0.2,1038,0.8292682926829268,0.29411764705882354,82,3,3
cremad,cnn,0.2,1039,0.8333333333333334,0.4634619258662369,82,3,3
cremad,cnn,0.2,1040,0.8089430894308943,0.32131649445082283,82,3,3
cremad,cnn,0.2,1041,0.8414634146341463,0.3718913652417489,82,3,3
cremad,cnn,0.2,1042,0.7601626016260162,0.4704682290889188,82,3,3
cremad,cnn,0.2,1043,0.8414634146341463,0.3526471963091682,82,3,3
cremad,cnn,0.2,1044,0.7439024390243901,0.32334628060263654,82,3,3
cremad,cnn,0.2,1045,0.8536585365853658,0.3666666666666667,82,3,3
cremad,cnn,0.2,1046,0.8780487804878049,0.5602548574041918,82,3,3
cremad,cnn,0.2,1047,0.8577235772357724,0.22244552244552243,82,3,3
cremad,cnn,0.2,1048,0.7926829268292682,0.3020395658263305,82,3,3
cremad,cnn,0.2,1049,0.8130081300813008,0.29901960784313725,82,3,3
cremad,cnn,0.2,1050,0.8658536585365854,0.3659491193737769,82,3,3
cremad,cnn,0.2,1051,0.7804878048780489,0.27629383367088284,82,3,3
cremad,cnn,0.2,1052,0.7967479674796749,0.36284093304966164,82,3,3
cremad,cnn,0.2,1053,0.8008130081300813,0.2997115605811258,82,3,3
cremad,cnn,0.2,1054,0.804878048780488,0.5200524185598813,82,3,3
cremad,cnn,0.2,1055,0.8658536585365854,0.3469660938364667,82,3,3
