attempt_id,voice_id,emotion,retrieved_anchor_voice_id,anchor_retrieval_matches_description,own_anchor_cosine,best_other_anchor_cosine,own_minus_other_margin
a037,F2,FEA,F2,1,0.2296186089515686,0.1442413181066513,0.0853772908449173
a038,F2,HAP,F2,1,0.424281507730484,0.2129753679037094,0.2113061398267746
a039,F2,HAP,F2,1,0.31627267599105835,0.20586073398590088,0.11041194200515747
a040,F2,HAP,F2,1,0.30790281295776367,0.1291956603527069,0.17870715260505676
a041,F2,HAP,F1,0,-0.009231684729456902,0.2085021585226059,-0.21773384511470795
a042,F2,NEU,F1,0,0.23372486233711243,0.3088705837726593,-0.07514572143554688
a043,F2,NEU,F2,1,0.2817627489566803,0.23268260061740875,0.049080148339271545
a044,F2,NEU,F2,1,0.2205016016960144,0.1704946905374527,0.05000691115856171
a045,F2,NEU,F1,0,0.38341641426086426,0.3982931971549988,-0.014876782894134521
a046,F2,SAD,F2,1,0.2733094394207001,0.20929473638534546,0.06401470303535461
a047,F2,SAD,F2,1,0.33297479152679443,0.12633009254932404,0.2066446989774704
a048,F2,SAD,F2,1,0.27469971776008606,0.2135191559791565,0.061180561780929565
a049,F2,SAD,F2,1,0.14213401079177856,0.12043447047472,0.021699540317058563
a051,M1,ANG,M2,0,0.10505635291337967,0.34894880652427673,-0.24389246106147766
a052,M1,ANG,F2,0,0.10840028524398804,0.1868966817855835,-0.07849639654159546
a053,M1,ANG,M1,1,0.27442485094070435,0.19395408034324646,0.08047077059745789
a054,M1,ANG,M1,1,0.30072900652885437,0.2508060932159424,0.04992291331291199
a055,M1,DIS,M1,1,0.435549259185791,0.1606019288301468,0.2749473452568054
a056,M1,DIS,F2,0,0.07607172429561615,0.10868699848651886,-0.03261527419090271
a057,M1,DIS,M2,0,0.21675461530685425,0.25358620285987854,-0.03683158755302429
a058,M1,DIS,M1,1,0.24534818530082703,0.0926002711057663,0.15274791419506073
a059,M1,FEA,M1,1,0.3885146975517273,0.10507270693778992,0.2834419906139374
a060,M1,FEA,M1,1,0.13363893330097198,0.11912661045789719,0.014512322843074799
a061,M1,FEA,M2,0,0.0834522694349289,0.16293852031230927,-0.07948625087738037
a062,M1,FEA,F1,0,0.15035952627658844,0.1658317893743515,-0.015472263097763062
a063,M1,HAP,M1,1,0.27818045020103455,0.2512189447879791,0.02696150541305542
a064,M1,HAP,M1,1,0.24031734466552734,0.17436808347702026,0.06594926118850708
a065,M1,HAP,M1,1,0.24458733201026917,0.1159074455499649,0.12867988646030426
a066,M1,HAP,M1,1,0.2839881479740143,0.11487805843353271,0.16911008954048157
a067,M1,NEU,M1,1,0.30023670196533203,0.22729875147342682,0.07293795049190521
a068,M1,NEU,M2,0,0.1616058200597763,0.23959127068519592,-0.07798545062541962
a069,M1,NEU,M2,0,0.13159166276454926,0.38842833042144775,-0.2568366527557373
a070,M1,NEU,M1,1,0.3010312616825104,0.28029948472976685,0.02073177695274353
a071,M1,SAD,M1,1,0.49036139249801636,0.292367547750473,0.19799384474754333
a072,M1,SAD,M1,1,0.18849465250968933,0.11904938519001007,0.06944526731967926
a073,M1,SAD,M1,1,0.20872953534126282,0.04929341748356819,0.15943612158298492
a074,M1,SAD,M1,1,0.2960972487926483,0.18048125505447388,0.11561599373817444
a076,M2,ANG,M1,0,0.24065980315208435,0.2941421866416931,-0.053482383489608765
a077,M2,ANG,M2,1,0.18279412388801575,0.15536442399024963,0.027429699897766113
a078,M2,ANG,M2,1,0.2556423544883728,0.17330341041088104,0.08233894407749176
a079,M2,ANG,M2,1,0.23335152864456177,0.12420191615819931,0.10914961248636246
a080,M2,DIS,M1,0,0.30594921112060547,0.4260385036468506,-0.12008929252624512
a081,M2,DIS,F2,0,0.057452842593193054,0.13038480281829834,-0.07293196022510529
a082,M2,DIS,M1,0,0.17255762219429016,0.21130132675170898,-0.03874370455741882
a083,M2,DIS,M1,0,0.10553291440010071,0.24653498828411102,-0.14100207388401031
a084,M2,FEA,M1,0,0.23134586215019226,0.2888146638870239,-0.057468801736831665
a085,M2,FEA,M2,1,0.3112712502479553,0.1783393919467926,0.13293185830116272
a086,M2,FEA,M1,0,0.1329585164785385,0.30802637338638306,-0.17506785690784454
a087,M2,FEA,M1,0,0.07347941398620605,0.19619859755039215,-0.1227191835641861
a088,M2,HAP,F2,0,0.08462944626808167,0.339885950088501,-0.2552565038204193
a089,M2,HAP,M2,1,0.3287401795387268,0.23526248335838318,0.09347769618034363
a090,M2,HAP,M1,0,0.12010638415813446,0.20679596066474915,-0.08668957650661469
a091,M2,HAP,F2,0,0.1781643182039261,0.23726707696914673,-0.05910275876522064
a092,M2,NEU,M2,1,0.23787707090377808,0.17839345335960388,0.059483617544174194
a093,M2,NEU,M1,0,0.05011774227023125,0.23258884251117706,-0.18247109651565552
a094,M2,NEU,M1,0,0.01268775388598442,0.2781829237937927,-0.2654951810836792
a095,M2,NEU,M1,0,0.15207049250602722,0.16684690117835999,-0.014776408672332764
a096,M2,SAD,M2,1,0.3135329782962799,0.24820177257061005,0.06533120572566986
a097,M2,SAD,F2,0,0.13292978703975677,0.19264955818653107,-0.05971977114677429
a098,M2,SAD,M1,0,0.15410585701465607,0.26344406604766846,-0.10933820903301239
a099,M2,SAD,M1,0,0.22098276019096375,0.24204334616661072,-0.021060585975646973
